,times,opens,highs,lows,closes,volumes
0,1651220100000.0,1.304,1.308,1.3,1.303,54651.9
1,1651221000000.0,1.303,1.303,1.292,1.296,18456.6
2,1651221900000.0,1.296,1.297,1.29,1.294,44238.8
3,1651222800000.0,1.292,1.292,1.282,1.286,30406.9
4,1651223700000.0,1.286,1.288,1.279,1.283,66969.3
5,1651224600000.0,1.283,1.286,1.279,1.283,21719.6
6,1651225500000.0,1.284,1.284,1.275,1.278,22248.8
7,1651226400000.0,1.278,1.279,1.274,1.277,19126.7
8,1651227300000.0,1.277,1.283,1.272,1.272,81546.2
9,1651228200000.0,1.273,1.278,1.264,1.266,80165.7
10,1651229100000.0,1.266,1.268,1.252,1.265,120027.3
11,1651230000000.0,1.264,1.266,1.26,1.26,44314.4
12,1651230900000.0,1.26,1.267,1.258,1.262,24564.6
13,1651231800000.0,1.263,1.265,1.252,1.262,78718.7
14,1651232700000.0,1.263,1.266,1.259,1.261,33986.3
15,1651233600000.0,1.261,1.269,1.258,1.268,28257.0
16,1651234500000.0,1.268,1.274,1.266,1.272,21599.0
17,1651235400000.0,1.271,1.274,1.266,1.273,32768.2
18,1651236300000.0,1.273,1.274,1.265,1.265,26103.3
19,1651237200000.0,1.265,1.268,1.261,1.261,12079.3
20,1651238100000.0,1.262,1.272,1.262,1.272,13146.2
21,1651239000000.0,1.272,1.275,1.266,1.268,40082.6
22,1651239900000.0,1.268,1.277,1.266,1.274,32019.1
23,1651240800000.0,1.274,1.276,1.269,1.272,17762.8
24,1651241700000.0,1.271,1.271,1.259,1.263,33997.4
25,1651242600000.0,1.262,1.27,1.261,1.269,21647.2
26,1651243500000.0,1.269,1.269,1.262,1.266,10066.1
27,1651244400000.0,1.266,1.27,1.26,1.262,13969.0
28,1651245300000.0,1.262,1.266,1.262,1.263,13592.5
29,1651246200000.0,1.264,1.271,1.264,1.27,35239.8
30,1651247100000.0,1.27,1.272,1.265,1.266,21527.2
31,1651248000000.0,1.266,1.266,1.262,1.265,16896.7
32,1651248900000.0,1.265,1.269,1.262,1.269,10463.7
33,1651249800000.0,1.269,1.27,1.246,1.247,79958.2
34,1651250700000.0,1.247,1.256,1.246,1.254,69622.2
35,1651251600000.0,1.253,1.259,1.253,1.254,52010.3
36,1651252500000.0,1.256,1.262,1.254,1.26,46291.1
37,1651253400000.0,1.261,1.262,1.258,1.258,12780.9
38,1651254300000.0,1.259,1.26,1.249,1.258,51261.3
39,1651255200000.0,1.259,1.259,1.252,1.256,20540.9
40,1651256100000.0,1.256,1.259,1.246,1.254,32522.1
41,1651257000000.0,1.255,1.26,1.243,1.248,42505.2
42,1651257900000.0,1.248,1.257,1.24,1.256,103441.0
43,1651258800000.0,1.256,1.256,1.243,1.245,125323.5
44,1651259700000.0,1.245,1.256,1.244,1.244,137676.2
45,1651260600000.0,1.244,1.253,1.241,1.251,100465.2
46,1651261500000.0,1.25,1.251,1.227,1.239,304779.4
47,1651262400000.0,1.239,1.25,1.237,1.25,184518.5
48,1651263300000.0,1.25,1.257,1.247,1.25,70289.7
49,1651264200000.0,1.25,1.253,1.249,1.252,32215.7
50,1651265100000.0,1.252,1.254,1.25,1.254,8594.3
51,1651266000000.0,1.254,1.258,1.251,1.257,8795.9
52,1651266900000.0,1.256,1.256,1.253,1.253,17753.6
53,1651267800000.0,1.254,1.256,1.254,1.254,24633.7
54,1651268700000.0,1.255,1.255,1.248,1.251,56170.8
55,1651269600000.0,1.251,1.254,1.25,1.25,16864.6
56,1651270500000.0,1.25,1.257,1.246,1.256,45634.3
57,1651271400000.0,1.257,1.267,1.257,1.263,58627.9
58,1651272300000.0,1.263,1.265,1.261,1.265,13941.1
59,1651273200000.0,1.264,1.276,1.264,1.276,38533.5
60,1651274100000.0,1.276,1.277,1.263,1.264,24073.8
61,1651275000000.0,1.264,1.267,1.261,1.265,19803.1
62,1651275900000.0,1.265,1.265,1.256,1.26,17952.7
63,1651276800000.0,1.26,1.264,1.258,1.261,56772.5
64,1651277700000.0,1.261,1.269,1.261,1.269,28541.8
65,1651278600000.0,1.268,1.268,1.257,1.258,33901.7
66,1651279500000.0,1.257,1.264,1.255,1.264,22002.7
67,1651280400000.0,1.265,1.268,1.265,1.265,8018.9
68,1651281300000.0,1.262,1.263,1.259,1.263,1964.3
69,1651282200000.0,1.263,1.266,1.263,1.266,6713.9
70,1651283100000.0,1.265,1.269,1.265,1.265,5139.5
71,1651284000000.0,1.268,1.276,1.268,1.271,52680.0
72,1651284900000.0,1.271,1.272,1.268,1.269,12726.7
73,1651285800000.0,1.27,1.27,1.262,1.262,16888.4
74,1651286700000.0,1.261,1.261,1.255,1.256,30218.5
75,1651287600000.0,1.257,1.258,1.25,1.252,35388.1
76,1651288500000.0,1.252,1.254,1.249,1.252,11991.1
77,1651289400000.0,1.252,1.253,1.251,1.253,4579.0
78,1651290300000.0,1.255,1.26,1.255,1.258,9594.6
79,1651291200000.0,1.258,1.265,1.257,1.263,15280.8
80,1651292100000.0,1.264,1.264,1.258,1.259,17934.6
81,1651293000000.0,1.259,1.259,1.254,1.259,10065.8
82,1651293900000.0,1.26,1.261,1.255,1.261,4952.2
83,1651294800000.0,1.261,1.262,1.259,1.261,25984.0
84,1651295700000.0,1.26,1.262,1.257,1.261,11242.9
85,1651296600000.0,1.261,1.272,1.258,1.27,84930.6
86,1651297500000.0,1.269,1.275,1.267,1.273,18259.9
87,1651298400000.0,1.274,1.274,1.27,1.271,9910.3
88,1651299300000.0,1.27,1.27,1.266,1.267,8868.1
89,1651300200000.0,1.268,1.272,1.268,1.271,22449.5
90,1651301100000.0,1.271,1.271,1.267,1.271,6425.2
91,1651302000000.0,1.271,1.273,1.267,1.27,19736.1
92,1651302900000.0,1.269,1.272,1.267,1.269,6158.5
93,1651303800000.0,1.269,1.274,1.266,1.268,9059.3
94,1651304700000.0,1.269,1.269,1.262,1.263,9795.9
95,1651305600000.0,1.263,1.269,1.261,1.269,22000.8
96,1651306500000.0,1.269,1.269,1.255,1.258,18401.8
97,1651307400000.0,1.258,1.268,1.253,1.266,53726.3
98,1651308300000.0,1.265,1.275,1.265,1.27,32159.6
99,1651309200000.0,1.27,1.275,1.266,1.273,18415.5
100,1651310100000.0,1.274,1.279,1.269,1.277,32347.2
101,1651311000000.0,1.276,1.277,1.269,1.269,23335.4
102,1651311900000.0,1.268,1.274,1.268,1.273,12955.9
103,1651312800000.0,1.274,1.301,1.274,1.286,259691.4
104,1651313700000.0,1.285,1.343,1.285,1.333,696618.0
105,1651314600000.0,1.333,1.346,1.322,1.337,609006.4
106,1651315500000.0,1.337,1.359,1.324,1.328,699256.5
107,1651316400000.0,1.328,1.334,1.316,1.319,283073.1
108,1651317300000.0,1.318,1.327,1.313,1.326,144728.2
109,1651318200000.0,1.326,1.327,1.311,1.311,205995.2
110,1651319100000.0,1.311,1.315,1.295,1.3,181863.6
111,1651320000000.0,1.3,1.31,1.3,1.307,124843.8
112,1651320900000.0,1.307,1.314,1.305,1.312,67944.3
113,1651321800000.0,1.312,1.313,1.302,1.302,72322.7
114,1651322700000.0,1.304,1.305,1.301,1.302,30517.1
115,1651323600000.0,1.302,1.302,1.293,1.299,54785.2
116,1651324500000.0,1.3,1.307,1.3,1.302,28910.7
117,1651325400000.0,1.304,1.305,1.284,1.286,81022.9
118,1651326300000.0,1.287,1.292,1.282,1.288,99564.9
119,1651327200000.0,1.287,1.294,1.279,1.291,126407.2
120,1651328100000.0,1.289,1.29,1.278,1.285,79211.8
121,1651329000000.0,1.285,1.286,1.268,1.268,143578.0
122,1651329900000.0,1.267,1.272,1.242,1.248,286366.0
123,1651330800000.0,1.248,1.256,1.242,1.25,120155.6
124,1651331700000.0,1.25,1.257,1.243,1.253,152631.5
125,1651332600000.0,1.254,1.256,1.25,1.254,54351.6
126,1651333500000.0,1.254,1.259,1.251,1.254,52609.9
127,1651334400000.0,1.253,1.256,1.246,1.251,45625.1
128,1651335300000.0,1.251,1.26,1.247,1.256,89872.3
129,1651336200000.0,1.258,1.26,1.252,1.252,18062.1
130,1651337100000.0,1.253,1.255,1.242,1.245,56537.3
131,1651338000000.0,1.245,1.247,1.238,1.243,163402.8
132,1651338900000.0,1.243,1.247,1.237,1.24,97242.3
133,1651339800000.0,1.239,1.247,1.237,1.238,63781.5
134,1651340700000.0,1.239,1.242,1.227,1.232,82229.8
135,1651341600000.0,1.23,1.237,1.228,1.232,49188.3
136,1651342500000.0,1.234,1.237,1.228,1.234,24873.0
137,1651343400000.0,1.233,1.233,1.22,1.223,121333.2
138,1651344300000.0,1.223,1.226,1.216,1.224,73517.0
139,1651345200000.0,1.224,1.226,1.222,1.223,25991.8
140,1651346100000.0,1.223,1.223,1.213,1.216,108162.2
141,1651347000000.0,1.216,1.217,1.213,1.215,11790.2
142,1651347900000.0,1.214,1.223,1.211,1.221,70369.9
143,1651348800000.0,1.221,1.223,1.214,1.218,58223.3
144,1651349700000.0,1.217,1.227,1.216,1.222,101605.8
145,1651350600000.0,1.221,1.222,1.217,1.22,30304.2
146,1651351500000.0,1.219,1.22,1.217,1.218,13074.3
147,1651352400000.0,1.218,1.221,1.213,1.215,17902.2
148,1651353300000.0,1.216,1.218,1.214,1.215,12882.3
149,1651354200000.0,1.215,1.218,1.214,1.216,4635.0
150,1651355100000.0,1.214,1.217,1.214,1.215,8778.9
151,1651356000000.0,1.214,1.214,1.194,1.199,152835.5
152,1651356900000.0,1.199,1.207,1.194,1.205,29572.4
153,1651357800000.0,1.205,1.206,1.19,1.198,48556.6
154,1651358700000.0,1.198,1.2,1.179,1.186,97071.9
155,1651359600000.0,1.185,1.192,1.071,1.105,1105371.33
156,1651360500000.0,1.106,1.12,1.099,1.113,336275.6
157,1651361400000.0,1.113,1.125,1.11,1.117,253400.1
158,1651362300000.0,1.116,1.128,1.112,1.119,246602.9
159,1651363200000.0,1.119,1.135,1.116,1.122,284280.6
160,1651364100000.0,1.122,1.124,1.103,1.105,168423.6
161,1651365000000.0,1.103,1.116,1.092,1.111,297509.7
162,1651365900000.0,1.111,1.112,1.107,1.108,90656.5
163,1651366800000.0,1.108,1.115,1.106,1.107,93270.2
164,1651367700000.0,1.106,1.106,1.095,1.098,162814.5
165,1651368600000.0,1.099,1.111,1.086,1.108,224986.9
166,1651369500000.0,1.108,1.117,1.106,1.114,178236.6
167,1651370400000.0,1.114,1.118,1.109,1.118,46153.3
168,1651371300000.0,1.119,1.123,1.115,1.117,41811.1
169,1651372200000.0,1.117,1.117,1.107,1.107,31386.0
170,1651373100000.0,1.107,1.107,1.102,1.103,49659.8
171,1651374000000.0,1.104,1.115,1.104,1.112,30567.6
172,1651374900000.0,1.112,1.115,1.108,1.115,20036.5
173,1651375800000.0,1.115,1.115,1.109,1.11,29658.6
174,1651376700000.0,1.109,1.117,1.109,1.117,101466.1
175,1651377600000.0,1.117,1.119,1.111,1.111,47242.0
176,1651378500000.0,1.112,1.113,1.106,1.109,75459.4
177,1651379400000.0,1.107,1.11,1.104,1.11,81366.7
178,1651380300000.0,1.11,1.11,1.105,1.11,33661.1
179,1651381200000.0,1.11,1.127,1.11,1.127,90412.5
180,1651382100000.0,1.127,1.136,1.124,1.135,133727.8
181,1651383000000.0,1.136,1.138,1.129,1.137,132447.2
182,1651383900000.0,1.136,1.137,1.13,1.132,48629.5
183,1651384800000.0,1.131,1.138,1.127,1.136,72037.1
184,1651385700000.0,1.136,1.14,1.134,1.139,96441.1
185,1651386600000.0,1.139,1.139,1.133,1.133,31450.9
186,1651387500000.0,1.133,1.133,1.124,1.127,62517.3
187,1651388400000.0,1.127,1.129,1.124,1.126,23826.1
188,1651389300000.0,1.126,1.127,1.121,1.123,23967.9
189,1651390200000.0,1.123,1.129,1.123,1.125,44825.0
190,1651391100000.0,1.126,1.127,1.12,1.123,36516.8
191,1651392000000.0,1.123,1.138,1.122,1.136,29156.6
192,1651392900000.0,1.137,1.14,1.133,1.134,51350.8
193,1651393800000.0,1.134,1.14,1.134,1.139,34170.0
194,1651394700000.0,1.139,1.145,1.136,1.144,19267.3
