,times,opens,highs,lows,closes,volumes
0,1651249800000.0,22.4113,22.4121,21.9549,22.2053,755483.77
1,1651250700000.0,22.2125,22.4253,21.93,22.2022,534404.07
2,1651251600000.0,22.2084,22.5362,22.1649,22.5168,380247.26
3,1651252500000.0,22.5236,22.8379,22.403,22.4606,394328.05
4,1651253400000.0,22.4555,22.7437,22.4396,22.5442,264928.24
5,1651254300000.0,22.5441,22.7051,22.2394,22.6172,453220.2
6,1651255200000.0,22.6192,22.8,22.3877,22.6215,531756.48
7,1651256100000.0,22.6216,22.6938,22.2639,22.4352,368332.2
8,1651257000000.0,22.4374,22.5393,21.736,21.9219,566342.29
9,1651257900000.0,21.9246,21.9374,21.2075,21.5426,1047462.5
10,1651258800000.0,21.531,21.531,20.17,20.481,1592774.01
11,1651259700000.0,20.4894,20.9111,20.1426,20.2907,1464004.61
12,1651260600000.0,20.2918,20.3826,19.3204,19.5809,2182542.75
13,1651261500000.0,19.5847,19.9945,19.3265,19.8283,1027352.63
14,1651262400000.0,19.8278,20.4,19.71,19.8777,1166995.46
15,1651263300000.0,19.8705,20.121,19.57,19.962,625832.56
16,1651264200000.0,19.9669,20.1758,19.6803,19.7987,567657.94
17,1651265100000.0,19.8015,20.1244,19.7583,20.0754,369450.64
18,1651266000000.0,20.0684,20.3034,19.9712,20.136,412139.48
19,1651266900000.0,20.1351,20.1362,19.715,19.9252,425356.0
20,1651267800000.0,19.9161,20.0,19.3474,19.4656,508766.06
21,1651268700000.0,19.4731,19.4999,18.6269,19.1882,1186366.02
22,1651269600000.0,19.1947,19.276,18.6414,18.7103,867901.09
23,1651270500000.0,18.7102,19.1905,18.3114,19.116,1162590.46
24,1651271400000.0,19.116,19.1375,18.7665,18.9843,368939.37
25,1651272300000.0,18.9839,19.1,18.8289,18.9374,390538.61
26,1651273200000.0,18.9369,19.48,18.8401,19.4452,532975.79
27,1651274100000.0,19.4616,19.4616,19.0173,19.1061,504936.32
28,1651275000000.0,19.1037,19.3178,19.0512,19.22,353677.93
29,1651275900000.0,19.22,19.2875,18.8818,19.1292,387046.64
30,1651276800000.0,19.1359,19.5,19.1335,19.4402,442591.84
31,1651277700000.0,19.4456,19.8774,19.3444,19.8035,919255.2
32,1651278600000.0,19.8007,20.0527,19.7271,19.8787,958282.43
33,1651279500000.0,19.8781,20.0975,19.7671,20.0859,487654.02
34,1651280400000.0,20.0806,20.284,19.8901,19.8939,603182.51
35,1651281300000.0,19.8953,20.2665,19.8783,20.2665,390547.32
36,1651282200000.0,20.2664,20.599,20.2288,20.278,673957.62
37,1651283100000.0,20.278,20.898,20.2775,20.5516,682062.19
38,1651284000000.0,20.5537,21.551,20.4871,21.4518,1018423.45
39,1651284900000.0,21.4676,22.1332,21.4378,22.0208,1239237.16
40,1651285800000.0,22.0208,23.0631,21.1086,22.6823,1812213.78
41,1651286700000.0,22.6918,23.42,22.545,22.9532,1369552.22
42,1651287600000.0,22.9523,23.1,21.751,22.5921,1535709.72
43,1651288500000.0,22.591,22.591,21.92,22.0214,728910.38
44,1651289400000.0,22.0112,22.6967,21.6,22.351,985894.56
45,1651290300000.0,22.3506,22.8891,22.1754,22.7002,751528.68
46,1651291200000.0,22.7001,22.7706,22.2651,22.5309,593060.36
47,1651292100000.0,22.5336,22.8,21.9001,22.2165,602346.15
48,1651293000000.0,22.2182,22.6191,22.0601,22.4832,527578.66
49,1651293900000.0,22.4924,23.1705,22.4521,22.959,971112.64
50,1651294800000.0,22.959,23.52,22.7401,23.4768,1228245.9
51,1651295700000.0,23.4768,23.5676,22.963,23.1504,669120.07
52,1651296600000.0,23.1631,23.4114,22.9,23.3968,580085.66
53,1651297500000.0,23.3967,23.4931,23.1133,23.154,517546.19
54,1651298400000.0,23.1632,23.4633,23.12,23.3475,415806.96
55,1651299300000.0,23.3475,24.9,23.2925,24.2043,1707277.01
56,1651300200000.0,24.2043,24.85,23.92,24.3873,1139088.43
57,1651301100000.0,24.3963,25.0,24.26,24.8638,1198492.42
58,1651302000000.0,24.8776,25.6066,23.88,24.5442,2466741.25
59,1651302900000.0,24.5442,24.7,23.75,24.6437,1132980.26
60,1651303800000.0,24.6335,25.2,24.2223,24.5011,1067477.64
61,1651304700000.0,24.5012,24.5308,23.8572,24.211,819815.61
62,1651305600000.0,24.2127,24.2837,23.5568,23.8895,852131.92
63,1651306500000.0,23.8894,23.9884,22.7841,23.1792,1685179.04
64,1651307400000.0,23.1821,24.24,22.7762,24.0191,1267163.2
65,1651308300000.0,24.019,24.125,23.4116,23.5586,657204.45
66,1651309200000.0,23.5601,23.7334,23.3,23.6781,387147.57
