,times,opens,highs,lows,closes,volumes
0,1584748800000.0,15.73,16.65,15.56,16.52,39295.06984
1,1584749700000.0,16.52,16.92,16.36,16.58,20729.80993
2,1584750600000.0,16.58,16.61,16.0,16.09,15553.53882
3,1584751500000.0,16.09,16.32,15.94,16.27,18641.10104
4,1584752400000.0,16.25,16.33,15.53,15.58,35718.50952
5,1584753300000.0,15.58,15.86,14.92,15.0,39591.17902
6,1584754200000.0,14.93,15.75,14.92,15.4,19363.77526
7,1584755100000.0,15.38,15.49,15.18,15.21,13448.41824
8,1584756000000.0,15.21,15.23,14.47,14.63,37943.28102
9,1584756900000.0,14.66,15.51,14.42,15.48,26585.68833
10,1584757800000.0,15.48,15.6,15.03,15.36,22124.17767
11,1584758700000.0,15.36,15.47,14.75,15.24,22990.6883
12,1584759600000.0,15.23,15.71,15.21,15.59,17126.58865
13,1584760500000.0,15.59,16.23,15.54,15.67,20712.30844
14,1584761400000.0,15.7,16.0,15.49,15.55,13589.2777
15,1584762300000.0,15.56,15.71,15.23,15.26,14272.16199
16,1584763200000.0,15.26,15.61,14.81,15.51,21745.84969
17,1584764100000.0,15.59,15.74,15.32,15.44,10213.16198
18,1584765000000.0,15.48,15.82,15.25,15.69,15222.5669
19,1584765900000.0,15.68,16.29,15.65,16.0,18601.16889
20,1584766800000.0,16.0,16.11,15.7,16.09,21808.53702
21,1584767700000.0,16.04,16.18,15.87,16.12,10747.22868
22,1584768600000.0,16.13,16.65,16.13,16.27,16600.48214
23,1584769500000.0,16.3,16.57,16.1,16.45,13987.6066
24,1584770400000.0,16.5,16.95,16.33,16.36,27969.09529
25,1584771300000.0,16.4,16.5,16.11,16.16,18578.15269
26,1584772200000.0,16.16,16.4,16.0,16.15,13209.24231
27,1584773100000.0,16.14,16.14,15.44,15.53,34909.51104
28,1584774000000.0,15.55,16.37,15.51,16.25,17944.26524
29,1584774900000.0,16.28,16.55,16.06,16.34,16636.2195
30,1584775800000.0,16.34,16.51,16.02,16.25,19702.8588
31,1584776700000.0,16.26,16.34,16.0,16.17,20588.01319
32,1584777600000.0,16.17,16.75,16.17,16.55,35534.00478
33,1584778500000.0,16.5,17.14,16.45,16.6,43495.86137
34,1584779400000.0,16.64,17.07,16.01,16.32,32830.46898
35,1584780300000.0,16.29,16.56,16.1,16.46,18558.33728
36,1584781200000.0,16.46,16.96,16.33,16.76,22952.40656
37,1584782100000.0,16.78,17.7,16.61,17.59,31830.16765
38,1584783000000.0,17.59,18.0,17.0,17.72,42920.32241
39,1584783900000.0,17.72,17.72,17.11,17.51,28703.29838
40,1584784800000.0,17.42,17.67,17.25,17.26,21873.08667
41,1584785700000.0,17.26,17.53,17.0,17.15,22780.16044
42,1584786600000.0,17.18,17.3,17.03,17.12,15491.71546
43,1584787500000.0,17.16,17.64,17.11,17.52,16021.76211
44,1584788400000.0,17.52,17.89,17.5,17.75,22870.00364
