,times,opens,highs,lows,closes,volumes
0,1597942800000.0,0.019684,0.01978,0.01962,0.019754,2850296.0
1,1597943700000.0,0.019751,0.019789,0.019628,0.019693,2019495.0
2,1597944600000.0,0.01969,0.01969,0.019539,0.019539,1508718.0
3,1597945500000.0,0.019548,0.019582,0.019482,0.019516,3129490.0
4,1597946400000.0,0.019516,0.019528,0.019399,0.019454,6006371.0
5,1597947300000.0,0.019418,0.019454,0.01939,0.019429,1550391.0
6,1597948200000.0,0.019428,0.01947,0.019364,0.019422,1937047.0
7,1597949100000.0,0.019422,0.019509,0.019402,0.019509,2282342.0
8,1597950000000.0,0.019509,0.019509,0.019375,0.019464,1515353.0
9,1597950900000.0,0.019451,0.019574,0.019442,0.019442,1856974.0
10,1597951800000.0,0.019442,0.019442,0.019401,0.019403,387984.0
11,1597952700000.0,0.019431,0.0195,0.019403,0.01943,1019694.0
12,1597953600000.0,0.019493,0.019498,0.019423,0.019494,1553904.0
13,1597954500000.0,0.01945,0.01955,0.019441,0.019446,2421271.0
14,1597955400000.0,0.019459,0.019501,0.019418,0.019454,1364743.0
15,1597956300000.0,0.019455,0.019502,0.01942,0.019458,1888226.0
16,1597957200000.0,0.019458,0.01951,0.019427,0.019496,1452335.0
17,1597958100000.0,0.019495,0.01975,0.019477,0.019692,5195392.0
18,1597959000000.0,0.019692,0.019889,0.019666,0.019793,3764385.0
19,1597959900000.0,0.019789,0.019812,0.01963,0.019697,1050958.0
20,1597960800000.0,0.019635,0.019695,0.019462,0.01955,2283951.0
21,1597961700000.0,0.019546,0.019548,0.019351,0.019351,2465512.0
22,1597962600000.0,0.019351,0.019449,0.019136,0.019188,9854825.0
23,1597963500000.0,0.019179,0.019266,0.019015,0.019186,7438872.0
24,1597964400000.0,0.019204,0.019325,0.01916,0.0193,5566192.0
25,1597965300000.0,0.019303,0.019329,0.019277,0.019318,689093.0
26,1597966200000.0,0.019318,0.019349,0.01915,0.019218,1799371.0
27,1597967100000.0,0.019217,0.01925,0.019199,0.019249,748001.0
28,1597968000000.0,0.019206,0.019261,0.019204,0.019246,2037053.0
29,1597968900000.0,0.019258,0.019261,0.019044,0.019225,2666516.0
30,1597969800000.0,0.019188,0.019237,0.019159,0.019175,1110352.0
31,1597970700000.0,0.01918,0.019299,0.019166,0.019209,2240986.0
32,1597971600000.0,0.019209,0.019298,0.019169,0.019255,1797918.0
33,1597972500000.0,0.019257,0.019312,0.019196,0.019276,1759881.0
34,1597973400000.0,0.019244,0.019273,0.0192,0.0192,1393736.0
35,1597974300000.0,0.019201,0.019266,0.0192,0.01926,1077735.0
36,1597975200000.0,0.019266,0.019275,0.019209,0.019272,1247574.0
37,1597976100000.0,0.019261,0.019329,0.01926,0.019277,1205640.0
38,1597977000000.0,0.019277,0.019298,0.019227,0.019227,1347996.0
39,1597977900000.0,0.019227,0.01935,0.019226,0.019243,2193491.0
40,1597978800000.0,0.019243,0.019268,0.019193,0.01924,1220319.0
41,1597979700000.0,0.019215,0.019257,0.019043,0.019048,3552278.0
42,1597980600000.0,0.019099,0.019099,0.019043,0.01906,998307.0
43,1597981500000.0,0.019094,0.01912,0.019036,0.019042,1714501.0
44,1597982400000.0,0.019092,0.019125,0.019043,0.019082,972304.0
45,1597983300000.0,0.019082,0.019092,0.019037,0.019037,475074.0
46,1597984200000.0,0.019051,0.019088,0.019,0.019057,4045990.0
