,times,opens,highs,lows,closes,volumes
0,1651220100000.0,5.18,5.18,5.13,5.15,3165.78
1,1651221000000.0,5.14,5.14,5.11,5.12,1296.53
2,1651221900000.0,5.12,5.12,5.1,5.1,1169.95
3,1651222800000.0,5.1,5.11,5.07,5.09,1468.49
4,1651223700000.0,5.08,5.09,5.07,5.08,507.27
5,1651224600000.0,5.08,5.09,5.08,5.09,421.67
6,1651225500000.0,5.08,5.09,5.07,5.08,2130.5
7,1651226400000.0,5.08,5.08,5.07,5.08,443.79
8,1651227300000.0,5.08,5.08,5.05,5.08,2938.15
9,1651228200000.0,5.08,5.08,5.05,5.05,1775.97
10,1651229100000.0,5.06,5.06,5.02,5.04,3848.15
11,1651230000000.0,5.04,5.05,5.03,5.05,1687.19
12,1651230900000.0,5.04,5.04,5.03,5.03,287.09
13,1651231800000.0,5.03,5.05,4.98,4.98,3287.92
14,1651232700000.0,4.99,5.0,4.98,5.0,3336.9
15,1651233600000.0,5.0,5.03,5.0,5.03,1676.58
16,1651234500000.0,5.03,5.06,5.03,5.06,899.27
17,1651235400000.0,5.05,5.06,5.05,5.06,382.45
18,1651236300000.0,5.06,5.06,5.02,5.03,1089.04
19,1651237200000.0,5.03,5.03,5.02,5.02,197.09
20,1651238100000.0,5.02,5.05,5.02,5.05,250.73
21,1651239000000.0,5.04,5.06,5.04,5.04,576.4
22,1651239900000.0,5.03,5.04,5.01,5.03,2031.09
23,1651240800000.0,5.04,5.04,5.03,5.03,169.45
24,1651241700000.0,5.03,5.03,4.98,4.98,6531.93
25,1651242600000.0,4.98,4.98,4.97,4.97,1350.23
26,1651243500000.0,4.98,4.98,4.93,4.95,3086.88
27,1651244400000.0,4.95,4.98,4.95,4.97,5131.88
28,1651245300000.0,4.97,4.98,4.95,4.95,1517.04
29,1651246200000.0,4.96,4.98,4.96,4.96,1307.62
30,1651247100000.0,4.97,4.98,4.97,4.98,436.41
31,1651248000000.0,4.98,4.98,4.92,4.93,2546.57
32,1651248900000.0,4.94,4.98,4.94,4.97,5249.12
33,1651249800000.0,4.97,4.98,4.89,4.9,1521.17
34,1651250700000.0,4.89,4.95,4.88,4.92,4462.91
35,1651251600000.0,4.93,4.94,4.93,4.94,461.6
36,1651252500000.0,4.94,4.98,4.94,4.96,1926.34
37,1651253400000.0,4.96,4.96,4.95,4.95,541.54
38,1651254300000.0,4.96,4.96,4.92,4.94,2270.02
39,1651255200000.0,4.94,4.94,4.93,4.93,711.68
40,1651256100000.0,4.93,4.93,4.93,4.93,153.41
41,1651257000000.0,4.93,4.94,4.93,4.93,1194.64
42,1651257900000.0,4.92,4.92,4.87,4.91,2943.34
43,1651258800000.0,4.9,4.9,4.86,4.86,1131.78
44,1651259700000.0,4.87,4.9,4.87,4.9,387.45
45,1651260600000.0,4.9,4.9,4.89,4.89,199.41
46,1651261500000.0,4.9,4.9,4.85,4.86,877.68
47,1651262400000.0,4.86,4.87,4.85,4.86,795.14
48,1651263300000.0,4.85,4.86,4.84,4.84,1067.71
49,1651264200000.0,4.83,4.84,4.83,4.83,237.16
50,1651265100000.0,4.84,4.85,4.83,4.84,1430.67
51,1651266000000.0,4.84,4.85,4.84,4.85,1287.02
52,1651266900000.0,4.84,4.85,4.83,4.84,712.45
53,1651267800000.0,4.84,4.84,4.82,4.82,357.88
54,1651268700000.0,4.82,4.82,4.8,4.81,674.17
55,1651269600000.0,4.81,4.85,4.81,4.84,3151.42
56,1651270500000.0,4.84,4.85,4.83,4.83,1359.4
57,1651271400000.0,4.84,4.85,4.84,4.85,280.14
58,1651272300000.0,4.84,4.84,4.83,4.83,281.09
59,1651273200000.0,4.83,4.84,4.83,4.84,3644.68
