,times,opens,highs,lows,closes,volumes
0,1651249800000.0,2.7153,2.7232,2.6455,2.6473,161145.4
1,1651250700000.0,2.6503,2.7046,2.6472,2.6766,163400.4
2,1651251600000.0,2.6767,2.708,2.6552,2.6642,239652.7
3,1651252500000.0,2.6677,2.7178,2.667,2.691,142839.7
4,1651253400000.0,2.6916,2.7151,2.6852,2.7032,62436.0
5,1651254300000.0,2.7048,2.7106,2.6846,2.6955,56395.8
6,1651255200000.0,2.6987,2.7079,2.6841,2.6893,66994.3
7,1651256100000.0,2.6897,2.6983,2.6726,2.6951,60824.2
8,1651257000000.0,2.695,2.6971,2.6684,2.6774,80084.1
9,1651257900000.0,2.6774,2.6809,2.644,2.6692,72916.5
10,1651258800000.0,2.6685,2.6734,2.6427,2.644,46466.6
11,1651259700000.0,2.6433,2.6578,2.63,2.6338,88922.9
12,1651260600000.0,2.6303,2.646,2.61,2.6378,166145.9
13,1651261500000.0,2.6352,2.6385,2.587,2.6143,129508.4
14,1651262400000.0,2.6123,2.6332,2.6057,2.6227,63839.4
15,1651263300000.0,2.6257,2.639,2.6175,2.6255,47482.2
16,1651264200000.0,2.625,2.635,2.6088,2.611,41204.7
17,1651265100000.0,2.6123,2.6398,2.6123,2.6313,43112.5
18,1651266000000.0,2.633,2.6386,2.6139,2.6234,78153.7
19,1651266900000.0,2.6235,2.625,2.6005,2.606,48486.2
20,1651267800000.0,2.606,2.6077,2.5923,2.5941,49343.4
21,1651268700000.0,2.5923,2.5942,2.5834,2.5877,62341.6
22,1651269600000.0,2.5864,2.5894,2.58,2.5834,40894.4
23,1651270500000.0,2.5837,2.6059,2.5801,2.6037,58631.2
24,1651271400000.0,2.6031,2.6154,2.6,2.6046,32661.1
25,1651272300000.0,2.6035,2.6189,2.6028,2.6158,18710.5
26,1651273200000.0,2.6146,2.625,2.6061,2.6229,38626.5
27,1651274100000.0,2.6237,2.633,2.6201,2.6255,45095.0
28,1651275000000.0,2.6246,2.6715,2.606,2.6603,134519.1
