,times,opens,highs,lows,closes,volumes
0,1649959200000.0,1.8086,1.8103,1.777,1.781,195043.0
1,1649960100000.0,1.7834,1.7891,1.7668,1.7826,111500.0
2,1649961000000.0,1.7816,1.7826,1.744,1.7542,167458.0
3,1649961900000.0,1.7534,1.81,1.747,1.7643,198456.0
4,1649962800000.0,1.7644,1.7854,1.7598,1.7844,79473.0
5,1649963700000.0,1.7841,1.7925,1.78,1.7818,45443.0
6,1649964600000.0,1.7818,1.7818,1.7485,1.7529,154105.0
7,1649965500000.0,1.7529,1.7547,1.7366,1.746,93173.0
8,1649966400000.0,1.746,1.746,1.7283,1.7316,65401.0
9,1649967300000.0,1.7301,1.7461,1.7213,1.7398,103385.0
10,1649968200000.0,1.7398,1.751,1.737,1.7483,45368.0
11,1649969100000.0,1.7476,1.7507,1.7422,1.7502,34997.0
12,1649970000000.0,1.7493,1.7556,1.7491,1.7502,30113.0
13,1649970900000.0,1.7504,1.7543,1.7015,1.7197,269024.0
14,1649971800000.0,1.7217,1.7247,1.7159,1.719,51832.0
15,1649972700000.0,1.719,1.7255,1.7115,1.723,41638.0
16,1649973600000.0,1.7228,1.7241,1.7141,1.7188,25358.0
17,1649974500000.0,1.7173,1.7297,1.7173,1.7281,33013.0
18,1649975400000.0,1.7266,1.7413,1.7265,1.7354,94424.0
19,1649976300000.0,1.7354,1.7372,1.7211,1.7299,39415.0
20,1649977200000.0,1.7295,1.7338,1.7116,1.7181,107659.0
21,1649978100000.0,1.7187,1.72,1.7021,1.7143,65016.0
22,1649979000000.0,1.7132,1.7192,1.71,1.7148,34706.0
23,1649979900000.0,1.7146,1.7149,1.705,1.7082,21682.0
24,1649980800000.0,1.7082,1.7109,1.701,1.7098,51647.0
25,1649981700000.0,1.7078,1.7524,1.7072,1.7402,191824.0
26,1649982600000.0,1.7409,1.7442,1.6858,1.6876,215841.0
27,1649983500000.0,1.689,1.7052,1.6752,1.6995,137833.0
28,1649984400000.0,1.6995,1.7098,1.693,1.7062,37977.0
29,1649985300000.0,1.7043,1.7146,1.7004,1.7119,33019.0
30,1649986200000.0,1.7116,1.7143,1.7,1.7105,39928.0
31,1649987100000.0,1.7105,1.7127,1.7031,1.7092,24605.0
32,1649988000000.0,1.7078,1.7448,1.7044,1.7305,153431.0
33,1649988900000.0,1.7316,1.7425,1.7307,1.738,46542.0
34,1649989800000.0,1.7361,1.7409,1.7198,1.727,77051.0
35,1649990700000.0,1.7271,1.7271,1.6961,1.7107,122974.0
36,1649991600000.0,1.7107,1.712,1.6918,1.6966,68699.0
37,1649992500000.0,1.6972,1.7014,1.6891,1.6929,71604.0
38,1649993400000.0,1.6931,1.7014,1.6931,1.7004,47291.0
39,1649994300000.0,1.6996,1.7039,1.6858,1.6858,70244.0
40,1649995200000.0,1.6884,1.6984,1.6815,1.6925,123284.0
41,1649996100000.0,1.6948,1.7091,1.6948,1.6987,54023.0
42,1649997000000.0,1.6986,1.7,1.689,1.6951,43518.0
43,1649997900000.0,1.6955,1.7,1.6951,1.7,32531.0
44,1649998800000.0,1.7,1.7,1.6954,1.6973,30117.0
45,1649999700000.0,1.6956,1.6973,1.6883,1.6889,38906.0
46,1650000600000.0,1.689,1.6973,1.6858,1.6949,35243.0
47,1650001500000.0,1.6945,1.6962,1.6846,1.6887,22968.0
48,1650002400000.0,1.6887,1.6949,1.68,1.694,43018.0
49,1650003300000.0,1.693,1.6937,1.6854,1.6857,31952.0
50,1650004200000.0,1.6855,1.6874,1.6333,1.6462,344128.0
51,1650005100000.0,1.646,1.6559,1.6359,1.6527,110463.0
52,1650006000000.0,1.6525,1.6597,1.6502,1.652,48494.0
53,1650006900000.0,1.6525,1.6538,1.64,1.6529,51334.0
54,1650007800000.0,1.6524,1.6667,1.6513,1.6649,48887.0
55,1650008700000.0,1.6655,1.682,1.6628,1.6754,48081.0
56,1650009600000.0,1.6734,1.6841,1.6647,1.6717,73485.0
57,1650010500000.0,1.6717,1.682,1.6575,1.6703,97606.0
58,1650011400000.0,1.6717,1.7339,1.6716,1.6869,205749.0
59,1650012300000.0,1.6871,1.6952,1.683,1.6884,34042.0
60,1650013200000.0,1.6884,1.71,1.6874,1.7078,55602.0
61,1650014100000.0,1.7078,1.7303,1.6886,1.6886,132739.0
62,1650015000000.0,1.6885,1.7025,1.6884,1.6936,23720.0
