,times,opens,highs,lows,closes,volumes
0,1644084000000.0,0.4963,0.4979,0.4952,0.4971,35858.0
1,1644084900000.0,0.4971,0.4991,0.4944,0.4979,83444.0
2,1644085800000.0,0.4977,0.5007,0.4977,0.4982,29755.0
3,1644086700000.0,0.4985,0.4993,0.4933,0.4949,282941.0
4,1644087600000.0,0.4942,0.4958,0.4924,0.4936,39274.0
5,1644088500000.0,0.4935,0.4943,0.491,0.4913,76223.0
6,1644089400000.0,0.4905,0.4935,0.4893,0.4923,55282.0
7,1644090300000.0,0.4926,0.493,0.4903,0.4915,25044.0
8,1644091200000.0,0.4915,0.4926,0.4888,0.4908,22409.0
9,1644092100000.0,0.4902,0.4913,0.4892,0.4904,35105.0
10,1644093000000.0,0.4904,0.4934,0.4898,0.4933,37718.0
11,1644093900000.0,0.4934,0.4957,0.4932,0.4952,61650.0
12,1644094800000.0,0.4958,0.4975,0.494,0.4969,52938.0
13,1644095700000.0,0.4971,0.4978,0.4956,0.4974,28936.0
14,1644096600000.0,0.4973,0.4973,0.495,0.4966,20186.0
15,1644097500000.0,0.496,0.4965,0.495,0.495,11703.0
16,1644098400000.0,0.4945,0.4962,0.4938,0.4949,35991.0
17,1644099300000.0,0.4952,0.496,0.4949,0.496,19493.0
18,1644100200000.0,0.4955,0.4972,0.4955,0.4972,9381.0
19,1644101100000.0,0.4972,0.4989,0.4972,0.4984,30079.0
20,1644102000000.0,0.4984,0.502,0.4979,0.502,51501.0
21,1644102900000.0,0.5019,0.5021,0.4997,0.5015,14272.0
22,1644103800000.0,0.5014,0.5015,0.4995,0.5004,17147.0
23,1644104700000.0,0.5008,0.5023,0.497,0.4979,38118.0
24,1644105600000.0,0.4973,0.506,0.4973,0.5049,79457.0
25,1644106500000.0,0.5049,0.5071,0.5027,0.5041,18931.0
26,1644107400000.0,0.504,0.5095,0.5027,0.5057,206812.0
27,1644108300000.0,0.5062,0.5139,0.5058,0.511,103434.0
28,1644109200000.0,0.5112,0.5187,0.5109,0.5118,366751.0
29,1644110100000.0,0.5114,0.5166,0.5105,0.5166,200927.0
30,1644111000000.0,0.5166,0.52,0.5154,0.5189,124466.0
31,1644111900000.0,0.5184,0.5219,0.5183,0.5191,163985.0
32,1644112800000.0,0.5186,0.5193,0.513,0.5149,55641.0
33,1644113700000.0,0.5149,0.5158,0.5113,0.5115,76123.0
34,1644114600000.0,0.5113,0.5128,0.5082,0.5091,45233.0
35,1644115500000.0,0.5092,0.5122,0.5088,0.5101,88332.0
36,1644116400000.0,0.51,0.5104,0.5056,0.5056,45502.0
37,1644117300000.0,0.5056,0.5062,0.5045,0.505,25639.0
38,1644118200000.0,0.5053,0.5069,0.5048,0.506,22815.0
39,1644119100000.0,0.5064,0.5064,0.5018,0.5027,36229.0
40,1644120000000.0,0.5028,0.504,0.495,0.4956,65592.0
41,1644120900000.0,0.495,0.4983,0.4923,0.4983,37656.0
42,1644121800000.0,0.4978,0.4997,0.4974,0.4995,46215.0
43,1644122700000.0,0.4994,0.5011,0.4991,0.5005,28989.0
44,1644123600000.0,0.5,0.5013,0.4982,0.4991,35981.0
45,1644124500000.0,0.4988,0.5028,0.4988,0.5028,16338.0
46,1644125400000.0,0.5027,0.503,0.5008,0.5018,44514.0
47,1644126300000.0,0.5012,0.5032,0.5007,0.5028,63355.0
48,1644127200000.0,0.5021,0.503,0.4985,0.4985,37866.0
49,1644128100000.0,0.4989,0.4989,0.4965,0.4984,31135.0
50,1644129000000.0,0.4982,0.4999,0.4966,0.497,39449.0
51,1644129900000.0,0.4969,0.4981,0.4936,0.4974,34942.0
52,1644130800000.0,0.4974,0.4982,0.4937,0.4958,53741.0
53,1644131700000.0,0.4956,0.4964,0.495,0.4953,15103.0
54,1644132600000.0,0.4941,0.4975,0.4941,0.4968,16668.0
55,1644133500000.0,0.4976,0.5092,0.4976,0.5011,726177.0
56,1644134400000.0,0.502,0.5028,0.5001,0.5006,30511.0
57,1644135300000.0,0.501,0.501,0.4993,0.5008,54399.0
58,1644136200000.0,0.5007,0.5058,0.5007,0.5044,90169.0
59,1644137100000.0,0.5046,0.5067,0.5033,0.5058,72608.0
60,1644138000000.0,0.5053,0.5066,0.5046,0.5063,39117.0
61,1644138900000.0,0.5063,0.5063,0.5038,0.5048,29474.0
62,1644139800000.0,0.5049,0.5102,0.5049,0.5093,66916.0
63,1644140700000.0,0.5095,0.5096,0.5069,0.5082,29463.0
64,1644141600000.0,0.5075,0.511,0.5072,0.5094,23092.0
