,times,opens,highs,lows,closes,volumes
0,1651249800000.0,5.083,5.186,4.928,4.933,156318.57
1,1651250700000.0,4.935,5.276,4.9,5.254,246173.9
2,1651251600000.0,5.254,5.26,5.11,5.176,105612.08
3,1651252500000.0,5.176,5.26,5.12,5.167,121038.2
4,1651253400000.0,5.158,5.183,5.021,5.103,90607.96
5,1651254300000.0,5.103,5.25,5.05,5.196,100790.31
6,1651255200000.0,5.196,5.25,5.1,5.146,126644.61
7,1651256100000.0,5.148,5.15,5.047,5.082,50158.8
8,1651257000000.0,5.077,5.3,5.059,5.143,169771.42
9,1651257900000.0,5.143,5.426,5.142,5.349,328258.7
10,1651258800000.0,5.362,5.45,5.181,5.197,304688.87
11,1651259700000.0,5.197,5.228,5.065,5.082,140804.91
12,1651260600000.0,5.081,5.105,4.862,4.888,187834.17
13,1651261500000.0,4.889,4.962,4.787,4.891,167322.53
14,1651262400000.0,4.893,4.931,4.633,4.826,197276.24
15,1651263300000.0,4.826,4.885,4.8,4.863,63505.62
16,1651264200000.0,4.86,4.88,4.02,4.514,304736.11
17,1651265100000.0,4.515,4.725,4.476,4.64,152051.55
18,1651266000000.0,4.64,4.724,4.544,4.548,94067.58
19,1651266900000.0,4.548,4.573,4.51,4.539,59092.45
20,1651267800000.0,4.539,4.614,4.429,4.452,111564.58
21,1651268700000.0,4.452,4.457,4.304,4.309,130090.15
22,1651269600000.0,4.31,4.418,4.277,4.287,107996.45
23,1651270500000.0,4.289,4.399,4.26,4.334,154405.87
24,1651271400000.0,4.335,4.337,4.261,4.282,65973.95
25,1651272300000.0,4.282,4.403,4.26,4.359,88219.27
26,1651273200000.0,4.366,4.54,4.34,4.461,168053.56
27,1651274100000.0,4.461,4.467,4.333,4.406,91276.92
28,1651275000000.0,4.4,4.451,4.32,4.32,70535.24
29,1651275900000.0,4.323,4.455,4.301,4.436,115212.33
30,1651276800000.0,4.429,4.541,4.411,4.508,150644.01
31,1651277700000.0,4.508,4.538,4.374,4.531,136333.03
32,1651278600000.0,4.529,4.534,4.444,4.506,95100.24
33,1651279500000.0,4.507,4.51,4.323,4.372,106218.86
34,1651280400000.0,4.372,4.427,4.33,4.331,91019.82
35,1651281300000.0,4.334,4.335,4.235,4.279,105525.93
36,1651282200000.0,4.278,4.461,4.273,4.376,167197.09
37,1651283100000.0,4.379,4.49,4.366,4.46,106952.4
38,1651284000000.0,4.457,4.538,4.448,4.535,152017.28
39,1651284900000.0,4.535,4.545,4.342,4.443,133166.84
40,1651285800000.0,4.432,4.443,4.35,4.38,62510.63
41,1651286700000.0,4.389,4.537,4.38,4.513,121479.34
42,1651287600000.0,4.513,5.25,4.413,4.877,360937.64
43,1651288500000.0,4.878,4.917,4.663,4.827,372092.98
44,1651289400000.0,4.821,4.933,4.8,4.852,261653.44
45,1651290300000.0,4.852,5.103,4.852,5.038,363740.83
46,1651291200000.0,5.033,5.385,5.028,5.111,718530.38
47,1651292100000.0,5.107,5.3,4.9,4.965,417233.62
48,1651293000000.0,4.962,4.99,4.82,4.98,242691.13
49,1651293900000.0,4.978,4.98,4.834,4.922,144125.28
50,1651294800000.0,4.925,4.928,4.621,4.7,198174.0
51,1651295700000.0,4.699,4.742,4.651,4.72,152592.1
52,1651296600000.0,4.722,4.93,4.72,4.841,185801.14
53,1651297500000.0,4.845,4.865,4.748,4.757,117369.22
54,1651298400000.0,4.752,4.896,4.72,4.775,148908.46
55,1651299300000.0,4.775,4.775,4.65,4.659,103379.71
56,1651300200000.0,4.678,4.694,4.44,4.645,330610.11
57,1651301100000.0,4.64,4.713,4.614,4.68,85081.95
58,1651302000000.0,4.687,4.875,4.685,4.828,183994.51
59,1651302900000.0,4.823,4.965,4.815,4.89,211816.38
60,1651303800000.0,4.89,4.894,4.768,4.882,92819.63
61,1651304700000.0,4.888,5.2,4.87,5.199,365924.98
62,1651305600000.0,5.191,5.354,5.034,5.347,641153.8
63,1651306500000.0,5.345,5.98,5.3,5.589,1567332.63
64,1651307400000.0,5.59,5.8,5.42,5.486,765350.14
65,1651308300000.0,5.485,5.545,5.262,5.542,575418.42
66,1651309200000.0,5.533,5.935,5.531,5.691,1053013.11
67,1651310100000.0,5.685,5.97,5.656,5.799,841170.21
68,1651311000000.0,5.798,6.128,5.798,5.834,1079736.51
69,1651311900000.0,5.834,5.909,5.653,5.885,670947.6
70,1651312800000.0,5.881,6.004,5.271,5.404,1116357.29
71,1651313700000.0,5.409,5.52,5.279,5.513,461817.25
72,1651314600000.0,5.515,5.56,5.348,5.409,270097.88
73,1651315500000.0,5.408,5.475,5.213,5.375,315499.05
74,1651316400000.0,5.375,5.497,5.3,5.381,183586.43
75,1651317300000.0,5.38,5.446,5.23,5.253,128223.76
76,1651318200000.0,5.248,5.313,5.12,5.12,167565.45
77,1651319100000.0,5.121,5.15,5.001,5.149,253672.29
78,1651320000000.0,5.143,5.365,5.136,5.314,247164.62
79,1651320900000.0,5.314,5.42,5.2,5.209,156600.16
80,1651321800000.0,5.209,5.343,5.143,5.146,89962.59
81,1651322700000.0,5.15,5.31,5.141,5.261,109274.67
82,1651323600000.0,5.26,5.322,5.146,5.222,99319.63
83,1651324500000.0,5.222,5.24,5.058,5.141,160075.5
84,1651325400000.0,5.141,5.231,5.139,5.207,57952.43
85,1651326300000.0,5.206,5.21,4.936,5.017,269717.13
86,1651327200000.0,5.016,5.08,4.931,4.931,150551.06
87,1651328100000.0,4.932,5.034,4.775,4.788,157689.55
88,1651329000000.0,4.779,4.882,4.745,4.84,192325.05
89,1651329900000.0,4.844,4.94,4.779,4.884,132474.52
90,1651330800000.0,4.884,4.91,4.75,4.829,106863.54
91,1651331700000.0,4.84,4.845,4.767,4.809,47460.96
92,1651332600000.0,4.812,4.936,4.81,4.842,66737.78
93,1651333500000.0,4.842,5.083,4.838,4.996,148646.73
94,1651334400000.0,4.989,5.164,4.989,4.995,161285.15
95,1651335300000.0,4.998,5.047,4.9,4.918,79459.49
96,1651336200000.0,4.917,4.932,4.9,4.908,25381.72
97,1651337100000.0,4.903,5.005,4.758,4.846,72882.06
98,1651338000000.0,4.833,4.844,4.75,4.799,53185.15
99,1651338900000.0,4.799,4.804,4.63,4.659,54630.9
100,1651339800000.0,4.654,4.87,4.651,4.7,92973.18
101,1651340700000.0,4.707,4.746,4.579,4.584,67095.19
102,1651341600000.0,4.589,4.722,4.584,4.633,44825.83
103,1651342500000.0,4.634,4.669,4.588,4.65,24026.19
104,1651343400000.0,4.651,4.663,4.495,4.507,123452.66
105,1651344300000.0,4.506,4.607,4.496,4.541,33806.12
106,1651345200000.0,4.541,4.623,4.541,4.572,41946.64
107,1651346100000.0,4.578,4.58,4.5,4.553,27505.04
108,1651347000000.0,4.553,4.562,4.5,4.501,27446.1
109,1651347900000.0,4.5,4.845,4.417,4.615,141867.56
110,1651348800000.0,4.616,4.709,4.536,4.546,50772.31
111,1651349700000.0,4.547,4.636,4.53,4.539,22876.13
112,1651350600000.0,4.539,4.555,4.502,4.517,16795.79
113,1651351500000.0,4.516,4.568,4.476,4.528,30293.98
114,1651352400000.0,4.526,4.53,4.426,4.439,33167.68
115,1651353300000.0,4.429,4.525,4.41,4.521,29503.5
116,1651354200000.0,4.514,4.532,4.437,4.443,20357.39
117,1651355100000.0,4.447,4.588,4.439,4.486,47111.1
118,1651356000000.0,4.486,4.524,4.446,4.467,31394.0
119,1651356900000.0,4.471,4.606,4.471,4.583,86748.86
120,1651357800000.0,4.583,4.687,4.545,4.624,76757.49
121,1651358700000.0,4.625,4.816,4.612,4.654,238323.74
122,1651359600000.0,4.654,4.849,4.418,4.49,281622.32
123,1651360500000.0,4.497,4.667,4.459,4.592,147487.89
124,1651361400000.0,4.592,4.605,4.507,4.57,40284.58
125,1651362300000.0,4.57,4.589,4.322,4.44,108246.77
126,1651363200000.0,4.44,4.539,4.281,4.314,130901.38
127,1651364100000.0,4.31,4.344,4.132,4.2,194576.83
128,1651365000000.0,4.195,4.304,4.183,4.199,86397.44
129,1651365900000.0,4.191,4.199,4.112,4.122,68227.82
130,1651366800000.0,4.122,4.264,4.112,4.219,60201.0
131,1651367700000.0,4.22,4.284,4.127,4.132,49497.26
132,1651368600000.0,4.13,4.173,4.115,4.147,65252.91
133,1651369500000.0,4.147,4.164,4.131,4.145,50476.53
134,1651370400000.0,4.145,4.152,4.122,4.139,32839.08
135,1651371300000.0,4.14,4.2,4.123,4.186,44414.71
136,1651372200000.0,4.183,4.268,4.183,4.188,65939.53
137,1651373100000.0,4.184,4.235,4.162,4.222,26582.53
138,1651374000000.0,4.221,4.225,4.177,4.18,17573.44
139,1651374900000.0,4.18,4.19,4.163,4.186,17082.7
140,1651375800000.0,4.182,4.185,4.136,4.18,37105.36
141,1651376700000.0,4.179,4.183,4.134,4.14,16349.3
142,1651377600000.0,4.14,4.171,4.006,4.015,79362.25
143,1651378500000.0,4.015,4.015,3.912,3.943,100272.4
144,1651379400000.0,3.943,3.948,3.896,3.903,40169.94
145,1651380300000.0,3.903,3.903,3.826,3.893,100524.95
146,1651381200000.0,3.893,4.126,3.87,3.961,92487.06
147,1651382100000.0,3.961,4.069,3.947,4.003,63402.11
148,1651383000000.0,4.003,4.082,3.995,4.061,30675.27
149,1651383900000.0,4.068,4.071,4.018,4.029,18789.82
150,1651384800000.0,4.029,4.034,3.991,3.995,34492.49
151,1651385700000.0,3.99,3.996,3.96,3.983,20482.02
152,1651386600000.0,3.983,4.059,3.975,4.039,26958.63
153,1651387500000.0,4.035,4.035,3.99,3.995,15826.52
154,1651388400000.0,3.991,3.995,3.891,3.897,35394.48
155,1651389300000.0,3.901,4.025,3.9,3.998,27079.27
156,1651390200000.0,3.999,4.028,3.982,4.02,15054.68
157,1651391100000.0,4.018,4.03,4.012,4.017,7110.75
158,1651392000000.0,4.017,4.031,3.943,3.978,50598.3
159,1651392900000.0,3.978,4.015,3.936,4.015,36022.35
160,1651393800000.0,4.011,4.071,3.98,4.045,34102.58
161,1651394700000.0,4.045,4.093,4.003,4.075,36119.58
162,1651395600000.0,4.072,4.092,4.057,4.068,32611.44
163,1651396500000.0,4.068,4.068,3.98,4.036,33531.03
164,1651397400000.0,4.028,4.038,3.959,4.009,39165.93
165,1651398300000.0,4.009,4.042,3.99,4.039,20206.95
166,1651399200000.0,4.039,4.056,4.031,4.041,21548.61
167,1651400100000.0,4.04,4.121,4.037,4.082,51294.04
168,1651401000000.0,4.088,4.206,4.088,4.13,79474.59
169,1651401900000.0,4.13,4.149,4.07,4.096,40055.71
170,1651402800000.0,4.096,4.135,4.03,4.05,32074.63
171,1651403700000.0,4.049,4.084,4.011,4.074,23816.88
172,1651404600000.0,4.075,4.12,4.063,4.102,18834.34
173,1651405500000.0,4.111,4.144,4.022,4.03,21636.37
174,1651406400000.0,4.029,4.043,3.954,3.989,51033.31
175,1651407300000.0,3.989,4.031,3.958,4.024,21535.66
176,1651408200000.0,4.026,4.026,3.886,3.913,58634.64
177,1651409100000.0,3.919,3.935,3.888,3.913,37541.27
178,1651410000000.0,3.912,3.927,3.904,3.909,9090.94
179,1651410900000.0,3.913,3.99,3.911,3.926,44691.14
180,1651411800000.0,3.928,3.968,3.926,3.937,22907.26
181,1651412700000.0,3.943,3.98,3.916,3.927,29196.01
182,1651413600000.0,3.927,3.93,3.91,3.918,17575.16
183,1651414500000.0,3.917,3.92,3.87,3.888,26129.66
184,1651415400000.0,3.887,3.894,3.837,3.841,35339.05
185,1651416300000.0,3.845,3.907,3.831,3.902,55681.33
186,1651417200000.0,3.902,3.908,3.877,3.906,21152.91
187,1651418100000.0,3.906,3.952,3.903,3.926,26977.16
188,1651419000000.0,3.927,3.948,3.885,3.891,22808.14
189,1651419900000.0,3.888,3.951,3.862,3.946,60332.91
190,1651420800000.0,3.944,4.005,3.923,3.996,47317.16
191,1651421700000.0,3.997,4.119,3.994,4.111,88232.17
192,1651422600000.0,4.113,4.115,4.015,4.039,69394.43
193,1651423500000.0,4.038,4.044,3.925,3.986,58952.33
194,1651424400000.0,3.985,4.0,3.949,3.959,25007.25
195,1651425300000.0,3.959,3.986,3.959,3.967,8181.97
196,1651426200000.0,3.967,3.98,3.893,3.91,30139.14
197,1651427100000.0,3.91,3.932,3.901,3.916,18538.23
198,1651428000000.0,3.914,3.929,3.896,3.919,9369.92
199,1651428900000.0,3.919,3.928,3.9,3.903,9414.68
200,1651429800000.0,3.915,3.918,3.885,3.894,8208.53
201,1651430700000.0,3.893,3.902,3.842,3.851,23853.69
202,1651431600000.0,3.851,3.888,3.803,3.861,37221.05
203,1651432500000.0,3.861,3.878,3.826,3.866,17838.25
204,1651433400000.0,3.861,3.888,3.847,3.879,27232.65
205,1651434300000.0,3.879,3.926,3.873,3.879,18190.38
206,1651435200000.0,3.881,3.92,3.849,3.883,18085.92
207,1651436100000.0,3.875,3.923,3.842,3.871,19993.15
208,1651437000000.0,3.868,3.914,3.857,3.912,22624.44
209,1651437900000.0,3.897,3.911,3.884,3.903,11706.9
210,1651438800000.0,3.903,3.943,3.892,3.9,21961.73
211,1651439700000.0,3.899,3.909,3.892,3.897,7394.28
212,1651440600000.0,3.899,3.912,3.896,3.9,7113.26
213,1651441500000.0,3.904,4.25,3.887,4.2,228163.93
214,1651442400000.0,4.198,4.352,4.128,4.205,181280.01
215,1651443300000.0,4.205,4.273,4.116,4.169,92780.79
216,1651444200000.0,4.176,4.228,4.077,4.107,49378.55
217,1651445100000.0,4.107,4.171,4.1,4.11,28360.79
218,1651446000000.0,4.11,4.11,4.068,4.079,25712.34
219,1651446900000.0,4.08,4.088,4.067,4.081,12704.4
220,1651447800000.0,4.081,4.123,4.08,4.092,17038.64
221,1651448700000.0,4.092,4.1,4.063,4.063,14354.99
222,1651449600000.0,4.063,4.13,4.05,4.083,39208.75
223,1651450500000.0,4.082,4.198,4.08,4.131,36995.64
224,1651451400000.0,4.131,4.155,4.06,4.138,39034.41
225,1651452300000.0,4.13,4.14,4.105,4.106,9018.94
226,1651453200000.0,4.107,4.109,4.057,4.063,16263.21
227,1651454100000.0,4.068,4.076,4.053,4.068,9756.04
228,1651455000000.0,4.071,4.074,4.017,4.03,17842.84
229,1651455900000.0,4.032,4.038,4.001,4.004,16388.96
230,1651456800000.0,4.004,4.01,3.962,4.0,38056.21
231,1651457700000.0,4.006,4.05,4.006,4.025,13846.11
232,1651458600000.0,4.028,4.049,4.026,4.049,3128.71
233,1651459500000.0,4.049,4.049,4.009,4.015,5451.41
234,1651460400000.0,4.009,4.034,4.009,4.023,6801.66
235,1651461300000.0,4.029,4.047,4.015,4.024,6002.51
236,1651462200000.0,4.024,4.024,4.015,4.015,6665.19
237,1651463100000.0,4.017,4.099,4.017,4.063,17241.89
238,1651464000000.0,4.069,4.151,4.041,4.116,40041.71
239,1651464900000.0,4.116,4.198,4.064,4.089,60668.91
240,1651465800000.0,4.09,4.163,4.088,4.12,23597.76
241,1651466700000.0,4.12,4.136,4.059,4.128,34729.68
242,1651467600000.0,4.123,4.215,4.104,4.159,63700.42
243,1651468500000.0,4.157,4.228,4.136,4.186,26402.57
244,1651469400000.0,4.186,4.197,4.1,4.121,33698.14
245,1651470300000.0,4.113,4.125,4.091,4.117,17202.26
246,1651471200000.0,4.117,4.138,4.09,4.114,21472.3
247,1651472100000.0,4.115,4.168,4.09,4.165,31074.67
248,1651473000000.0,4.154,4.162,4.11,4.115,5336.75
249,1651473900000.0,4.115,4.13,4.087,4.087,12855.43
250,1651474800000.0,4.085,4.09,4.019,4.031,37721.48
251,1651475700000.0,4.031,4.043,4.02,4.028,15299.64
252,1651476600000.0,4.027,4.053,4.026,4.041,10106.81
253,1651477500000.0,4.042,4.065,4.013,4.013,24530.13
254,1651478400000.0,4.011,4.016,3.976,3.987,24617.28
255,1651479300000.0,3.987,4.0,3.923,3.94,55789.84
256,1651480200000.0,3.945,3.985,3.901,3.985,44625.37
257,1651481100000.0,3.985,3.991,3.95,3.95,13859.96
258,1651482000000.0,3.959,3.962,3.912,3.931,23614.76
259,1651482900000.0,3.931,3.935,3.904,3.919,34059.3
260,1651483800000.0,3.925,3.931,3.901,3.922,22564.0
261,1651484700000.0,3.922,3.936,3.888,3.892,64350.56
