,times,opens,highs,lows,closes,volumes
0,1644084000000.0,0.5427,0.5441,0.5415,0.5428,37230.0
1,1644084900000.0,0.542,0.5446,0.5406,0.5418,41304.0
2,1644085800000.0,0.5414,0.5424,0.5395,0.5417,42405.0
3,1644086700000.0,0.5415,0.5417,0.5394,0.5401,68656.0
4,1644087600000.0,0.5402,0.5436,0.5392,0.5432,33186.0
5,1644088500000.0,0.5435,0.5443,0.5397,0.54,31266.0
6,1644089400000.0,0.5395,0.5397,0.5382,0.5382,18222.0
7,1644090300000.0,0.5389,0.5399,0.5375,0.5376,7823.0
8,1644091200000.0,0.5374,0.5387,0.5335,0.5339,64628.0
9,1644092100000.0,0.5345,0.536,0.532,0.5334,47465.0
10,1644093000000.0,0.5333,0.5386,0.5329,0.5374,54545.0
11,1644093900000.0,0.5375,0.5389,0.5363,0.5378,31795.0
12,1644094800000.0,0.5378,0.5403,0.5366,0.5401,30413.0
13,1644095700000.0,0.5398,0.5428,0.5389,0.5413,87038.0
14,1644096600000.0,0.5406,0.542,0.5396,0.5417,22075.0
15,1644097500000.0,0.5417,0.5417,0.5397,0.5397,16639.0
16,1644098400000.0,0.5397,0.541,0.5393,0.5405,15630.0
17,1644099300000.0,0.5401,0.5433,0.54,0.5427,35192.0
18,1644100200000.0,0.5427,0.5459,0.5426,0.5454,40538.0
19,1644101100000.0,0.5445,0.545,0.543,0.5444,11109.0
20,1644102000000.0,0.5449,0.549,0.5449,0.5483,29278.0
21,1644102900000.0,0.5482,0.5502,0.547,0.5471,62758.0
22,1644103800000.0,0.5471,0.5504,0.5439,0.5501,45300.0
23,1644104700000.0,0.5495,0.5509,0.5465,0.5471,78891.0
24,1644105600000.0,0.5473,0.5506,0.5443,0.5506,57603.0
25,1644106500000.0,0.5501,0.5524,0.5459,0.5464,67701.0
26,1644107400000.0,0.5466,0.5498,0.5417,0.5475,42620.0
27,1644108300000.0,0.5475,0.5508,0.5462,0.5499,161921.0
28,1644109200000.0,0.5503,0.5578,0.5498,0.5566,61181.0
29,1644110100000.0,0.5566,0.5604,0.5532,0.5572,179012.0
