,times,opens,highs,lows,closes,volumes
0,1651249800000.0,4.203,4.208,4.14,4.14,10072.4
1,1651250700000.0,4.145,4.591,4.144,4.204,192280.2
2,1651251600000.0,4.204,4.204,4.177,4.178,16443.4
3,1651252500000.0,4.177,4.183,4.164,4.17,9988.2
4,1651253400000.0,4.166,4.182,4.166,4.177,7399.9
5,1651254300000.0,4.178,4.218,4.17,4.19,28951.6
6,1651255200000.0,4.19,4.419,4.186,4.241,144950.8
7,1651256100000.0,4.227,4.301,4.179,4.211,60283.4
8,1651257000000.0,4.209,4.213,4.177,4.181,7257.4
9,1651257900000.0,4.184,4.184,4.146,4.178,12588.9
10,1651258800000.0,4.172,4.47,4.172,4.254,136696.2
11,1651259700000.0,4.252,4.263,4.233,4.237,12019.8
12,1651260600000.0,4.235,4.238,4.06,4.153,199033.1
13,1651261500000.0,4.154,4.16,4.132,4.151,8316.2
14,1651262400000.0,4.15,4.17,4.141,4.166,19450.1
15,1651263300000.0,4.169,4.201,4.161,4.18,15173.8
16,1651264200000.0,4.18,4.19,4.175,4.179,5085.9
17,1651265100000.0,4.177,4.181,4.167,4.176,3137.3
18,1651266000000.0,4.177,4.206,4.176,4.197,21131.5
19,1651266900000.0,4.188,4.194,4.174,4.174,1827.6
20,1651267800000.0,4.178,4.188,4.17,4.178,10001.5
21,1651268700000.0,4.179,4.186,4.171,4.171,1220.9
22,1651269600000.0,4.173,4.178,4.159,4.159,682.3
23,1651270500000.0,4.165,4.174,4.158,4.159,2630.1
24,1651271400000.0,4.165,4.176,4.165,4.172,158.7
25,1651272300000.0,4.169,4.189,4.169,4.189,4903.6
26,1651273200000.0,4.184,4.199,4.184,4.195,2336.5
27,1651274100000.0,4.192,4.194,4.18,4.185,2332.6
28,1651275000000.0,4.185,4.19,4.18,4.188,1833.5
29,1651275900000.0,4.191,4.191,4.165,4.165,9550.5
30,1651276800000.0,4.165,4.186,4.16,4.167,7054.4
31,1651277700000.0,4.171,4.189,4.171,4.183,4706.2
32,1651278600000.0,4.186,4.186,4.164,4.171,2378.0
33,1651279500000.0,4.17,4.172,4.161,4.171,1904.1
34,1651280400000.0,4.171,4.174,4.17,4.174,2891.7
35,1651281300000.0,4.176,4.176,4.167,4.174,2401.1
36,1651282200000.0,4.173,4.181,4.171,4.178,4028.2
37,1651283100000.0,4.181,4.185,4.173,4.174,5893.3
38,1651284000000.0,4.175,4.184,4.17,4.18,4927.5
39,1651284900000.0,4.182,4.182,4.177,4.178,991.2
40,1651285800000.0,4.177,4.177,4.166,4.167,3069.9
41,1651286700000.0,4.167,4.167,4.152,4.152,2596.1
42,1651287600000.0,4.152,4.152,4.132,4.135,7834.7
43,1651288500000.0,4.138,4.139,4.128,4.132,2479.6
44,1651289400000.0,4.136,4.139,4.133,4.139,672.4
45,1651290300000.0,4.138,4.141,4.135,4.135,461.4
46,1651291200000.0,4.136,4.144,4.135,4.143,273.0
47,1651292100000.0,4.144,4.145,4.142,4.142,1956.9
48,1651293000000.0,4.142,4.144,4.133,4.14,5677.7
49,1651293900000.0,4.145,4.145,4.14,4.142,844.1
50,1651294800000.0,4.143,4.149,4.138,4.148,8019.8
51,1651295700000.0,4.148,4.149,4.143,4.149,906.4
52,1651296600000.0,4.149,4.152,4.143,4.152,2820.9
53,1651297500000.0,4.151,4.152,4.147,4.147,1448.5
54,1651298400000.0,4.148,4.15,3.953,3.995,508330.6
55,1651299300000.0,3.997,4.02,3.986,3.993,64262.3
56,1651300200000.0,3.997,4.097,3.997,4.097,48022.3
57,1651301100000.0,4.091,4.252,4.02,4.028,242984.6
58,1651302000000.0,4.028,4.047,4.001,4.01,36410.2
59,1651302900000.0,4.011,4.018,4.009,4.014,6623.4
60,1651303800000.0,4.015,4.017,4.012,4.015,4625.5
61,1651304700000.0,4.015,4.019,4.01,4.016,12625.8
62,1651305600000.0,4.016,4.019,4.013,4.019,7687.9
63,1651306500000.0,4.019,4.019,4.01,4.01,7273.4
64,1651307400000.0,4.01,4.015,4.004,4.012,6835.8
65,1651308300000.0,4.015,4.018,4.011,4.016,2372.9
66,1651309200000.0,4.016,4.018,4.0,4.007,10049.5
67,1651310100000.0,4.007,4.01,4.001,4.004,761.6
68,1651311000000.0,4.004,4.008,4.004,4.005,792.9
