,times,opens,highs,lows,closes,volumes
0,1590685200000.0,0.00162,0.001622,0.00162,0.001622,179016.0
1,1590686100000.0,0.001611,0.001629,0.001611,0.001628,283045.0
2,1590687000000.0,0.001627,0.001627,0.001627,0.001627,1253587.0
3,1590687900000.0,0.001628,0.001772,0.001628,0.001756,82876442.0
4,1590688800000.0,0.00177,0.001869,0.001752,0.001814,51901093.0
5,1590689700000.0,0.00181,0.001821,0.001741,0.001798,33124084.0
6,1590690600000.0,0.001802,0.001849,0.001786,0.001786,18252918.0
7,1590691500000.0,0.001787,0.001811,0.001763,0.00178,10805064.0
8,1590692400000.0,0.001787,0.001809,0.001744,0.001776,21757952.0
9,1590693300000.0,0.00178,0.001806,0.001752,0.001779,16475362.0
10,1590694200000.0,0.00178,0.001793,0.001771,0.00178,2605358.0
11,1590695100000.0,0.001775,0.001782,0.001766,0.001766,6889266.0
12,1590696000000.0,0.001768,0.001775,0.00174,0.001765,10226544.0
13,1590696900000.0,0.001765,0.001776,0.00175,0.001767,7943701.0
14,1590697800000.0,0.001767,0.001782,0.001761,0.001774,2744860.0
15,1590698700000.0,0.001774,0.001775,0.001773,0.001774,1343248.0
16,1590699600000.0,0.001774,0.001777,0.001761,0.001761,9884241.0
17,1590700500000.0,0.001761,0.00179,0.001761,0.00179,3625471.0
18,1590701400000.0,0.001787,0.001794,0.001768,0.00179,7254356.0
19,1590702300000.0,0.00179,0.002084,0.00179,0.001855,55788493.0
20,1590703200000.0,0.00186,0.001886,0.001823,0.001878,12164976.0
21,1590704100000.0,0.001879,0.001886,0.001842,0.001871,18214441.0
22,1590705000000.0,0.001858,0.001878,0.001847,0.001854,10287543.0
23,1590705900000.0,0.001848,0.001896,0.001835,0.001896,10706955.0
24,1590706800000.0,0.001896,0.001897,0.001843,0.00185,6527052.0
25,1590707700000.0,0.001845,0.001847,0.001808,0.001818,7803876.0
26,1590708600000.0,0.001808,0.001811,0.001776,0.001806,11639468.0
27,1590709500000.0,0.001806,0.001817,0.001789,0.001789,1789575.0
28,1590710400000.0,0.00179,0.00192,0.00179,0.001839,15325895.0
29,1590711300000.0,0.001839,0.001839,0.001761,0.001808,9606467.0
30,1590712200000.0,0.00179,0.001825,0.00175,0.001767,23747713.0
31,1590713100000.0,0.001753,0.001777,0.001743,0.001777,10507730.0
32,1590714000000.0,0.001776,0.001785,0.001701,0.001755,12819090.0
33,1590714900000.0,0.001749,0.001883,0.001749,0.001872,10698507.0
34,1590715800000.0,0.001877,0.0019,0.001843,0.001898,6802703.0
35,1590716700000.0,0.001899,0.001943,0.001885,0.001934,11932076.0
36,1590717600000.0,0.001934,0.00195,0.001894,0.001912,6846271.0
37,1590718500000.0,0.001911,0.001918,0.001893,0.001918,5309647.0
38,1590719400000.0,0.001911,0.001938,0.001903,0.001938,7995462.0
39,1590720300000.0,0.001939,0.001985,0.001928,0.001948,11922914.0
40,1590721200000.0,0.001942,0.001945,0.001911,0.001945,3492018.0
41,1590722100000.0,0.001945,0.001947,0.001911,0.001926,2049341.0
42,1590723000000.0,0.001905,0.001927,0.001894,0.00191,3288641.0
43,1590723900000.0,0.001901,0.001906,0.001875,0.001899,9138961.0
44,1590724800000.0,0.001899,0.001904,0.001858,0.00187,11666530.0
45,1590725700000.0,0.001881,0.001882,0.001848,0.001851,10885706.0
46,1590726600000.0,0.001851,0.001865,0.001835,0.001858,9248509.0
47,1590727500000.0,0.001854,0.001869,0.00185,0.001868,5479513.0
48,1590728400000.0,0.001869,0.001899,0.001868,0.00188,7333394.0
49,1590729300000.0,0.001879,0.001934,0.001863,0.00191,4629785.0
50,1590730200000.0,0.00191,0.001919,0.001903,0.001903,3355880.0
51,1590731100000.0,0.001887,0.001887,0.001857,0.001884,2830880.0
52,1590732000000.0,0.001876,0.001903,0.001858,0.001882,9645024.0
53,1590732900000.0,0.001873,0.001883,0.001865,0.001882,3124923.0
54,1590733800000.0,0.001869,0.001897,0.001863,0.001895,2359948.0
55,1590734700000.0,0.001894,0.0019,0.001881,0.00189,1801592.0
56,1590735600000.0,0.001885,0.001905,0.001877,0.001884,5096389.0
57,1590736500000.0,0.001886,0.001924,0.001881,0.001887,6429639.0
58,1590737400000.0,0.001887,0.001907,0.001881,0.001881,6249559.0
59,1590738300000.0,0.001894,0.001903,0.001875,0.001903,5518747.0
60,1590739200000.0,0.001902,0.001902,0.00188,0.001881,1487960.0
61,1590740100000.0,0.001882,0.00193,0.001868,0.001868,4100501.0
62,1590741000000.0,0.001874,0.001876,0.001828,0.001875,7891607.0
63,1590741900000.0,0.001856,0.001894,0.001854,0.001894,609098.0
64,1590742800000.0,0.001874,0.0019,0.001871,0.0019,1042593.0
65,1590743700000.0,0.001897,0.0019,0.001874,0.001899,5623977.0
66,1590744600000.0,0.001899,0.001911,0.001883,0.001887,9804557.0
67,1590745500000.0,0.001884,0.001901,0.001884,0.001887,3488869.0
68,1590746400000.0,0.001886,0.001902,0.001885,0.001902,1453441.0
69,1590747300000.0,0.0019,0.001903,0.001868,0.001881,5551714.0
70,1590748200000.0,0.001883,0.001883,0.00186,0.00186,1257598.0
71,1590749100000.0,0.001859,0.001876,0.001841,0.001841,8570464.0
72,1590750000000.0,0.001845,0.0019,0.001829,0.00186,13754403.0
