,times,opens,highs,lows,closes,volumes
0,1604268000000.0,0.3842,0.3842,0.3819,0.3833,7708.57
1,1604268900000.0,0.3843,0.3843,0.3825,0.3825,123.12
2,1604269800000.0,0.3841,0.3843,0.3823,0.384,424.68
3,1604270700000.0,0.3842,0.3847,0.3814,0.3814,3561.11
4,1604271600000.0,0.3814,0.3814,0.3814,0.3814,0.0
5,1604272500000.0,0.3836,0.3841,0.3836,0.3841,502.61
6,1604273400000.0,0.3831,0.3842,0.3831,0.3842,660.84
7,1604274300000.0,0.3842,0.3866,0.3834,0.3866,1768.54
8,1604275200000.0,0.3843,0.3873,0.3842,0.3873,490.39
9,1604276100000.0,0.3873,0.3873,0.3873,0.3873,0.0
10,1604277000000.0,0.3849,0.3849,0.3849,0.3849,29.22
11,1604277900000.0,0.3849,0.3849,0.3849,0.3849,0.0
12,1604278800000.0,0.3849,0.3849,0.3849,0.3849,0.0
13,1604279700000.0,0.3856,0.3856,0.3856,0.3856,9.58
14,1604280600000.0,0.384,0.3856,0.384,0.3856,929.0
15,1604281500000.0,0.3856,0.3856,0.3856,0.3856,109.45
16,1604282400000.0,0.3856,0.3867,0.384,0.384,347.49
17,1604283300000.0,0.3864,0.3869,0.3864,0.3869,1006.13
18,1604284200000.0,0.3846,0.3846,0.3812,0.3827,5957.02
19,1604285100000.0,0.3835,0.3857,0.3835,0.3853,327.46
20,1604286000000.0,0.3817,0.3849,0.3816,0.3816,4666.75
21,1604286900000.0,0.3821,0.3821,0.3811,0.3811,3369.2
22,1604287800000.0,0.3836,0.3836,0.3836,0.3836,66.5
23,1604288700000.0,0.3839,0.3839,0.3839,0.3839,8.01
24,1604289600000.0,0.3839,0.3839,0.3839,0.3839,0.0
25,1604290500000.0,0.3829,0.3833,0.3828,0.3829,4392.35
26,1604291400000.0,0.3801,0.3806,0.3792,0.3801,1773.99
27,1604292300000.0,0.3792,0.3805,0.379,0.3805,477.43
28,1604293200000.0,0.3805,0.3805,0.3805,0.3805,0.0
29,1604294100000.0,0.3805,0.3805,0.3805,0.3805,0.0
30,1604295000000.0,0.3794,0.3815,0.3794,0.3815,692.45
31,1604295900000.0,0.3815,0.3815,0.3815,0.3815,0.0
32,1604296800000.0,0.3815,0.3815,0.3815,0.3815,0.0
33,1604297700000.0,0.3824,0.3824,0.3824,0.3824,7.41
34,1604298600000.0,0.3824,0.3824,0.3824,0.3824,0.0
35,1604299500000.0,0.3824,0.3824,0.3824,0.3824,0.0
36,1604300400000.0,0.3824,0.3824,0.3824,0.3824,0.0
37,1604301300000.0,0.3835,0.3835,0.3815,0.3815,319.74
38,1604302200000.0,0.3834,0.3834,0.381,0.381,360.5
