,times,opens,highs,lows,closes,volumes
0,1651220100000.0,0.06565,0.06683,0.06549,0.06618,145487809.8
1,1651221000000.0,0.06618,0.06759,0.06618,0.06702,97472126.5
2,1651221900000.0,0.06702,0.06828,0.06682,0.06825,98585002.5
3,1651222800000.0,0.06825,0.06899,0.06718,0.06881,105770701.4
4,1651223700000.0,0.06883,0.06903,0.06818,0.06829,72925752.3
5,1651224600000.0,0.06829,0.06985,0.06829,0.06916,91896278.3
6,1651225500000.0,0.06915,0.06934,0.06876,0.06896,52539154.6
7,1651226400000.0,0.06896,0.06988,0.06889,0.06979,68293994.4
8,1651227300000.0,0.0698,0.07003,0.06884,0.06905,73002187.3
9,1651228200000.0,0.06906,0.06947,0.06866,0.06896,57232093.8
10,1651229100000.0,0.06896,0.06896,0.0676,0.06835,93702177.5
11,1651230000000.0,0.06835,0.06874,0.06767,0.06767,51107986.6
12,1651230900000.0,0.06767,0.06808,0.06759,0.06767,54473260.3
13,1651231800000.0,0.06769,0.06797,0.06736,0.06785,61458871.4
14,1651232700000.0,0.06785,0.06986,0.06722,0.06736,160567553.7
15,1651233600000.0,0.06735,0.06754,0.0668,0.06702,74044759.1
16,1651234500000.0,0.06702,0.06754,0.0666,0.06663,65687539.7
17,1651235400000.0,0.06663,0.06694,0.06625,0.06672,59617802.6
18,1651236300000.0,0.06672,0.067,0.06641,0.0666,31434357.4
19,1651237200000.0,0.0666,0.0668,0.06647,0.06661,20061527.2
20,1651238100000.0,0.0666,0.06698,0.06648,0.06659,21295937.9
21,1651239000000.0,0.0666,0.06662,0.06612,0.06619,29497800.8
22,1651239900000.0,0.06619,0.0663,0.06593,0.06594,25238330.0
23,1651240800000.0,0.06593,0.06608,0.06572,0.06579,21891579.4
24,1651241700000.0,0.06579,0.06619,0.0657,0.06588,21424600.2
25,1651242600000.0,0.06588,0.06589,0.06501,0.06516,38797832.4
26,1651243500000.0,0.06516,0.06516,0.06446,0.06454,43561188.8
27,1651244400000.0,0.06454,0.065,0.0644,0.0645,44633959.4
28,1651245300000.0,0.06449,0.06464,0.06408,0.0641,35235789.3
29,1651246200000.0,0.06409,0.06432,0.06395,0.06397,43726093.5
30,1651247100000.0,0.06398,0.06478,0.06397,0.06478,35653160.0
31,1651248000000.0,0.06478,0.06479,0.06432,0.06454,24246625.5
32,1651248900000.0,0.06453,0.06462,0.06436,0.06461,10820181.5
33,1651249800000.0,0.06461,0.06471,0.0636,0.06362,52289639.7
34,1651250700000.0,0.06363,0.06428,0.06363,0.06403,32337028.7
35,1651251600000.0,0.06403,0.06405,0.06386,0.06394,9952339.1
36,1651252500000.0,0.06393,0.0642,0.06387,0.06395,10723108.4
37,1651253400000.0,0.06395,0.06412,0.06376,0.06376,9604783.3
38,1651254300000.0,0.06375,0.06377,0.06347,0.06373,20150002.5
39,1651255200000.0,0.06372,0.06374,0.06349,0.06364,11945053.0
40,1651256100000.0,0.06364,0.06382,0.06347,0.06381,10568817.4
41,1651257000000.0,0.0638,0.06382,0.06334,0.06339,12948767.4
42,1651257900000.0,0.06338,0.06376,0.06318,0.06372,22457373.9
43,1651258800000.0,0.06372,0.06383,0.06341,0.06346,15758502.8
44,1651259700000.0,0.06347,0.06378,0.06334,0.06339,13920871.4
45,1651260600000.0,0.06338,0.06372,0.0633,0.06366,10173417.4
46,1651261500000.0,0.06366,0.06373,0.06307,0.06319,19745413.2
47,1651262400000.0,0.06319,0.06343,0.06312,0.06327,13362043.8
48,1651263300000.0,0.06328,0.06353,0.06323,0.06342,10682251.8
49,1651264200000.0,0.06342,0.06352,0.06341,0.06343,7485541.3
50,1651265100000.0,0.06342,0.0635,0.06333,0.06334,6163812.6
51,1651266000000.0,0.06335,0.0635,0.06322,0.06342,9773168.0
52,1651266900000.0,0.06342,0.06352,0.06329,0.0633,13710455.0
53,1651267800000.0,0.06329,0.06333,0.06306,0.06311,7289181.6
54,1651268700000.0,0.0631,0.06324,0.06272,0.06324,20590436.0
55,1651269600000.0,0.06324,0.06334,0.06304,0.06331,9430704.7
56,1651270500000.0,0.0633,0.06385,0.06306,0.06384,22976616.5
57,1651271400000.0,0.06384,0.06434,0.06352,0.06421,44839429.6
58,1651272300000.0,0.06421,0.06446,0.06368,0.06384,38585937.9
59,1651273200000.0,0.06383,0.06394,0.0637,0.06392,11941754.5
