,times,opens,highs,lows,closes,volumes
0,1648522800000.0,1.751,1.76,1.743,1.754,179989.3
1,1648526400000.0,1.755,1.781,1.754,1.779,159346.5
2,1648530000000.0,1.779,1.796,1.777,1.791,273710.8
3,1648533600000.0,1.791,1.8,1.782,1.787,185924.1
4,1648537200000.0,1.787,1.789,1.774,1.774,189931.2
5,1648540800000.0,1.775,1.826,1.774,1.812,822256.1
6,1648544400000.0,1.812,1.824,1.808,1.816,344328.1
7,1648548000000.0,1.816,1.838,1.81,1.815,529409.9
8,1648551600000.0,1.816,1.826,1.811,1.82,383700.3
9,1648555200000.0,1.819,1.913,1.818,1.879,4147348.5
10,1648558800000.0,1.879,1.886,1.822,1.839,1114900.0
11,1648562400000.0,1.84,1.868,1.83,1.851,389167.2
12,1648566000000.0,1.852,1.858,1.795,1.801,484801.9
13,1648569600000.0,1.802,1.807,1.759,1.805,879446.8
14,1648573200000.0,1.805,1.806,1.767,1.789,425601.0
15,1648576800000.0,1.787,1.792,1.766,1.781,249907.3
16,1648580400000.0,1.781,1.804,1.777,1.798,299509.8
17,1648584000000.0,1.796,1.807,1.752,1.78,541116.9
18,1648587600000.0,1.78,1.789,1.76,1.77,193845.6
19,1648591200000.0,1.77,1.785,1.754,1.778,270797.2
20,1648594800000.0,1.778,1.797,1.771,1.793,119902.6
21,1648598400000.0,1.792,1.793,1.755,1.768,284451.6
22,1648602000000.0,1.767,1.768,1.702,1.733,555263.8
23,1648605600000.0,1.732,1.752,1.728,1.75,178582.0
24,1648609200000.0,1.75,1.766,1.75,1.765,145314.3
25,1648612800000.0,1.764,1.771,1.747,1.762,212639.2
26,1648616400000.0,1.763,1.779,1.758,1.778,102766.3
27,1648620000000.0,1.778,1.797,1.775,1.794,308860.7
28,1648623600000.0,1.793,1.834,1.788,1.828,793299.8
29,1648627200000.0,1.829,1.834,1.802,1.825,595599.0
30,1648630800000.0,1.825,1.829,1.8,1.811,282793.9
31,1648634400000.0,1.811,1.842,1.807,1.832,580564.2
32,1648638000000.0,1.833,1.845,1.806,1.84,401994.3
33,1648641600000.0,1.84,1.842,1.818,1.825,262825.1
34,1648645200000.0,1.825,1.828,1.788,1.799,439589.2
35,1648648800000.0,1.8,1.831,1.78,1.817,656024.3
36,1648652400000.0,1.816,1.853,1.795,1.853,505837.4
37,1648656000000.0,1.852,1.873,1.829,1.84,1401503.9
38,1648659600000.0,1.84,1.854,1.829,1.853,241663.2
39,1648663200000.0,1.852,1.854,1.822,1.823,362371.9
40,1648666800000.0,1.821,1.827,1.807,1.825,478822.9
41,1648670400000.0,1.825,1.848,1.816,1.847,245082.9
42,1648674000000.0,1.847,1.89,1.835,1.853,614919.1
43,1648677600000.0,1.854,1.863,1.837,1.845,237729.3
44,1648681200000.0,1.845,1.857,1.833,1.84,146580.5
45,1648684800000.0,1.84,1.876,1.835,1.862,224770.6
46,1648688400000.0,1.86,1.925,1.86,1.925,635623.8
47,1648692000000.0,1.924,1.926,1.888,1.899,656383.2
48,1648695600000.0,1.899,1.905,1.878,1.881,181453.5
49,1648699200000.0,1.882,1.891,1.874,1.887,211616.3
50,1648702800000.0,1.886,1.908,1.875,1.904,305987.1
51,1648706400000.0,1.904,1.91,1.895,1.907,334915.2
52,1648710000000.0,1.907,1.925,1.901,1.918,319848.4
53,1648713600000.0,1.918,1.932,1.907,1.915,322205.3
54,1648717200000.0,1.915,1.919,1.902,1.905,300528.5
55,1648720800000.0,1.905,1.914,1.904,1.912,131854.6
56,1648724400000.0,1.911,1.93,1.902,1.918,416558.1
57,1648728000000.0,1.918,1.921,1.886,1.909,323737.8
