,times,opens,highs,lows,closes,volumes
0,1648551600000.0,14.229,14.3797,14.1939,14.3237,375686.28
1,1648555200000.0,14.3261,14.5437,14.2487,14.3831,813741.22
2,1648558800000.0,14.3859,14.44,14.0209,14.143,804683.95
3,1648562400000.0,14.14,14.2422,14.0636,14.1302,697470.05
4,1648566000000.0,14.131,14.28,13.709,13.8464,1194288.9
5,1648569600000.0,13.8436,13.9238,13.3333,13.8002,1899112.82
6,1648573200000.0,13.7995,13.8553,13.551,13.8216,786750.07
7,1648576800000.0,13.819,13.9329,13.7011,13.7609,458236.05
8,1648580400000.0,13.765,14.0,13.74,13.9082,439900.1
9,1648584000000.0,13.9066,13.9598,13.58,13.6643,789543.74
10,1648587600000.0,13.6657,13.7528,13.4352,13.5253,787815.47
11,1648591200000.0,13.5255,13.665,13.3511,13.607,613665.08
12,1648594800000.0,13.604,13.7713,13.5544,13.595,493854.85
13,1648598400000.0,13.595,13.84,13.4654,13.6309,758897.17
14,1648602000000.0,13.6338,13.6562,13.0385,13.2332,1341435.82
15,1648605600000.0,13.2288,13.4293,13.1829,13.3214,870811.31
16,1648609200000.0,13.3186,13.4094,13.2211,13.371,526584.58
17,1648612800000.0,13.37,13.4755,13.2071,13.3293,449084.2
18,1648616400000.0,13.3277,14.1309,13.2578,14.1063,1829545.82
19,1648620000000.0,14.1062,14.4018,14.0,14.3702,2118784.98
20,1648623600000.0,14.3702,14.5001,14.123,14.1893,1684434.78
21,1648627200000.0,14.182,14.2448,13.847,14.1533,1131663.33
22,1648630800000.0,14.1533,14.1662,13.8101,14.1111,1204327.77
23,1648634400000.0,14.113,14.2994,14.0,14.1101,812977.02
24,1648638000000.0,14.1113,14.5805,14.0952,14.401,1663735.28
25,1648641600000.0,14.4011,14.42,14.1205,14.2566,647935.63
26,1648645200000.0,14.2566,14.2662,13.9,13.9558,916247.72
27,1648648800000.0,13.9553,14.0447,13.8011,13.9453,772590.43
28,1648652400000.0,13.9466,13.988,13.658,13.9598,935538.17
29,1648656000000.0,13.96,14.2087,13.8548,14.1154,598470.77
30,1648659600000.0,14.1129,14.2592,13.94,14.1587,659013.45
31,1648663200000.0,14.1634,14.1999,13.8301,13.8623,441683.24
32,1648666800000.0,13.8624,13.9433,13.7029,13.8728,467328.91
33,1648670400000.0,13.8751,13.9087,13.686,13.8578,374918.14
34,1648674000000.0,13.8598,13.8999,13.66,13.7883,317096.36
35,1648677600000.0,13.7911,13.9465,13.7303,13.8661,258077.17
36,1648681200000.0,13.8664,14.2471,13.8131,14.2103,542790.69
37,1648684800000.0,14.2102,14.3988,14.02,14.0816,1010292.45
38,1648688400000.0,14.0791,14.3152,14.079,14.2697,508238.98
39,1648692000000.0,14.2713,14.303,13.89,13.9108,621837.79
40,1648695600000.0,13.9108,14.05,13.8598,14.042,464776.79
41,1648699200000.0,14.0421,14.112,13.8101,13.8934,406208.2
42,1648702800000.0,13.8932,14.0435,13.8625,13.9617,279319.06
43,1648706400000.0,13.9683,14.0427,13.9,13.9315,316823.34
44,1648710000000.0,13.9343,13.967,13.84,13.9092,331482.05
45,1648713600000.0,13.9078,14.017,13.7686,13.8545,493287.09
46,1648717200000.0,13.8525,13.91,13.7702,13.9081,349472.78
47,1648720800000.0,13.908,14.03,13.84,13.9778,383897.7
48,1648724400000.0,13.9785,14.0066,13.8009,13.8548,318293.27
49,1648728000000.0,13.8583,14.1114,13.8,14.0219,895608.18
50,1648731600000.0,14.0192,14.0919,13.5,13.6324,956362.72
51,1648735200000.0,13.6384,13.6435,12.51,13.3124,3849988.69
52,1648738800000.0,13.321,13.38,13.0097,13.1073,1141294.19
53,1648742400000.0,13.0933,13.1507,12.6392,12.7774,1581326.46
54,1648746000000.0,12.7756,12.9578,12.7507,12.912,722533.34
55,1648749600000.0,12.9153,12.9899,12.6836,12.9571,462964.94
56,1648753200000.0,12.9574,12.9897,12.6553,12.692,478428.16
57,1648756800000.0,12.6951,12.9316,12.6825,12.8443,496011.94
58,1648760400000.0,12.8413,12.922,12.7605,12.785,330190.27
59,1648764000000.0,12.7839,12.9155,12.76,12.8601,260715.57
60,1648767600000.0,12.86,12.88,12.5,12.7025,626872.78
61,1648771200000.0,12.704,12.9554,12.6576,12.9152,475165.1
62,1648774800000.0,12.9073,12.9073,12.6038,12.622,386812.28
63,1648778400000.0,12.627,12.7641,12.2364,12.3242,1037908.7
64,1648782000000.0,12.3252,12.6362,12.2409,12.6359,563060.24
65,1648785600000.0,12.636,12.7884,12.5953,12.5953,362498.04
