,times,opens,highs,lows,closes,volumes
0,1582027200000.0,16.52,16.77,16.44,16.77,3306.94534
1,1582030800000.0,16.75,17.0,16.67,16.86,8057.93437
2,1582034400000.0,16.85,16.89,16.47,16.56,3379.03554
3,1582038000000.0,16.47,16.48,15.61,15.74,13504.95507
4,1582041600000.0,15.82,15.89,15.35,15.36,15219.24218
5,1582045200000.0,15.36,15.59,15.14,15.26,11525.16164
6,1582048800000.0,15.23,15.23,14.7,15.06,12848.41045
7,1582052400000.0,15.06,15.11,14.7,14.71,6017.54254
8,1582056000000.0,14.76,14.8,14.1,14.17,24516.89959
9,1582059600000.0,14.17,14.62,13.61,14.2,30103.11971
10,1582063200000.0,14.2,14.6,14.0,14.0,8553.66693
11,1582066800000.0,14.0,14.22,13.85,14.13,22486.67283
12,1582070400000.0,14.15,14.35,14.03,14.3,20699.2994
13,1582074000000.0,14.26,14.31,14.12,14.25,7072.17014
14,1582077600000.0,14.25,14.25,14.08,14.13,4275.74373
15,1582081200000.0,14.14,14.2,14.02,14.12,4929.95501
16,1582084800000.0,14.08,14.37,14.08,14.3,6662.7805
17,1582088400000.0,14.31,14.38,14.22,14.26,3331.89494
18,1582092000000.0,14.23,14.53,14.23,14.52,4000.06155
19,1582095600000.0,14.49,14.61,14.4,14.53,5200.88947
20,1582099200000.0,14.53,14.67,14.14,14.14,13619.17213
21,1582102800000.0,14.15,14.35,14.15,14.25,3383.94529
22,1582106400000.0,14.29,14.43,14.18,14.28,5812.83694
23,1582110000000.0,14.26,14.29,14.12,14.22,1441.12914
24,1582131600000.0,14.12,14.25,13.5,14.07,10147.61314
25,1582135200000.0,14.13,14.25,14.0,14.0,5621.38297
26,1582138800000.0,14.01,14.18,13.89,14.17,7004.17657
27,1582142400000.0,14.17,14.64,14.16,14.23,18563.88286
28,1582146000000.0,14.23,16.65,14.23,16.55,52663.81083
29,1582149600000.0,16.2,16.75,15.79,16.19,23808.8281
30,1582153200000.0,16.18,16.69,16.15,16.54,8594.0989
31,1582156800000.0,16.54,16.63,16.24,16.36,8644.42461
32,1582160400000.0,16.36,16.61,16.36,16.6,8827.68751
33,1582164000000.0,16.6,17.09,16.5,16.61,47956.31707
34,1582167600000.0,16.61,16.86,16.52,16.71,7420.39097
35,1582171200000.0,16.71,16.89,16.62,16.76,3656.76475
36,1582174800000.0,16.73,16.93,16.73,16.75,3159.68072
37,1582178400000.0,16.75,16.87,16.58,16.59,21929.01285
38,1582182000000.0,16.59,16.64,16.5,16.56,12328.64384
39,1582185600000.0,16.58,16.84,16.58,16.7,2604.17702
40,1582189200000.0,16.7,16.77,16.52,16.54,9085.84032
41,1582192800000.0,16.55,16.69,16.31,16.5,5015.18759
42,1582196400000.0,16.5,16.8,16.42,16.69,3513.7976
43,1582200000000.0,16.67,16.91,16.59,16.82,5484.01367
44,1582203600000.0,16.82,16.98,16.62,16.62,21858.83675
45,1582207200000.0,16.62,16.74,16.47,16.57,4711.46289
46,1582210800000.0,16.6,16.76,16.56,16.72,5426.85638
47,1582214400000.0,16.7,17.15,15.6,16.69,41565.48041
48,1582218000000.0,16.52,17.06,16.48,16.94,6076.50129
49,1582221600000.0,16.95,17.2,16.67,16.97,39294.1497
50,1582225200000.0,16.92,16.98,16.68,16.78,4129.03435
51,1582228800000.0,16.8,16.89,16.69,16.78,8918.53861
52,1582232400000.0,16.78,16.9,16.49,16.52,25463.75643
53,1582236000000.0,16.52,16.63,16.29,16.52,9207.05582
54,1582239600000.0,16.52,16.65,16.48,16.6,1419.81709
55,1582243200000.0,16.55,16.72,16.55,16.59,604.1625
56,1582246800000.0,16.58,16.67,16.37,16.37,1267.2707
57,1582250400000.0,16.36,16.39,16.27,16.35,2797.46916
58,1582254000000.0,16.38,16.5,16.0,16.03,6606.6889
59,1582257600000.0,16.0,16.21,15.84,16.1,3645.06653
60,1582261200000.0,16.05,16.33,16.0,16.15,4130.74239
61,1582264800000.0,16.15,16.27,16.05,16.18,1482.16666
62,1582268400000.0,16.21,16.33,16.14,16.14,2769.45948
63,1582272000000.0,16.18,16.58,16.12,16.39,6476.77442
64,1582275600000.0,16.39,16.54,16.21,16.25,965.52691
65,1582279200000.0,16.29,16.36,16.01,16.13,2460.64649
66,1582282800000.0,16.14,16.14,15.93,16.06,9476.52254
67,1582286400000.0,16.09,16.09,15.77,15.81,9387.7312
68,1582290000000.0,15.8,16.12,15.8,15.88,8846.77679
69,1582293600000.0,15.88,16.27,15.83,16.18,8638.3316
70,1582297200000.0,16.19,16.27,15.96,15.99,6441.02247
71,1582300800000.0,15.99,16.11,15.89,15.97,9023.54891
72,1582304400000.0,15.97,16.12,15.97,16.05,1225.34675
73,1582308000000.0,16.11,16.11,16.01,16.07,1588.94165
74,1582311600000.0,16.07,16.33,16.06,16.25,11935.54795
75,1582315200000.0,16.24,16.75,16.01,16.14,23041.49612
76,1582318800000.0,16.14,16.5,16.09,16.33,5346.3152
77,1582322400000.0,16.33,16.45,16.32,16.35,2922.03331
78,1582326000000.0,16.35,16.38,16.05,16.28,9733.82183
79,1582329600000.0,16.24,16.32,16.08,16.22,5558.26933
80,1582333200000.0,16.25,16.36,16.22,16.36,1861.08254
81,1582336800000.0,16.32,16.46,16.32,16.41,5571.84075
82,1582340400000.0,16.44,16.44,16.17,16.32,1337.4908
83,1582344000000.0,16.29,16.55,16.29,16.52,1481.122
84,1582347600000.0,16.48,16.7,16.42,16.57,3901.17238
85,1582351200000.0,16.57,16.88,16.56,16.64,4332.62461
86,1582354800000.0,16.63,16.74,16.55,16.65,5339.31149
87,1582358400000.0,16.65,16.65,16.35,16.48,9023.33256
88,1582362000000.0,16.51,16.71,16.49,16.62,2230.47103
89,1582365600000.0,16.56,16.59,16.48,16.52,3138.59968
90,1582369200000.0,16.48,16.54,16.45,16.45,3975.06626
91,1582372800000.0,16.48,16.48,16.28,16.42,9704.286
92,1582376400000.0,16.42,16.47,16.37,16.38,943.44601
93,1582380000000.0,16.43,16.49,16.38,16.45,2317.72515
94,1582383600000.0,16.46,16.58,16.4,16.52,3797.9756
95,1582387200000.0,16.52,16.63,16.38,16.46,9858.80793
96,1582390800000.0,16.42,16.55,16.21,16.36,7866.77731
97,1582394400000.0,16.36,16.44,16.31,16.34,1509.76708
98,1582398000000.0,16.33,16.4,16.26,16.3,2865.15948
99,1582401600000.0,16.26,16.28,16.13,16.23,2491.99131
100,1582405200000.0,16.25,16.29,16.18,16.29,3197.976
101,1582408800000.0,16.25,16.35,16.25,16.34,963.36652
102,1582412400000.0,16.31,16.4,16.28,16.4,1319.88079
103,1582416000000.0,16.4,16.4,16.27,16.27,861.60248
104,1582419600000.0,16.23,16.36,16.23,16.36,401.11357
105,1582423200000.0,16.36,16.37,16.23,16.23,1310.97948
106,1582426800000.0,16.24,16.28,15.65,15.72,9991.61094
107,1582430400000.0,15.71,15.71,15.05,15.36,23787.25658
108,1582434000000.0,15.36,15.43,15.19,15.25,5124.50491
109,1582437600000.0,15.25,15.26,15.05,15.11,11542.51642
110,1582441200000.0,15.1,15.26,15.06,15.18,4990.10749
111,1582444800000.0,15.18,15.28,15.16,15.24,2853.853
112,1582448400000.0,15.24,15.28,15.06,15.21,4250.95713
113,1582452000000.0,15.18,15.37,14.63,15.37,16458.68309
114,1582455600000.0,15.37,15.49,15.23,15.46,6446.96977
115,1582459200000.0,15.43,15.57,15.34,15.4,5130.10142
116,1582462800000.0,15.4,15.44,15.15,15.28,5846.35408
117,1582466400000.0,15.29,15.29,15.13,15.17,6917.58135
118,1582470000000.0,15.17,15.41,15.12,15.28,4746.80365
119,1582473600000.0,15.31,15.37,15.2,15.27,3610.55926
120,1582477200000.0,15.31,15.31,15.21,15.26,1559.45118
121,1582480800000.0,15.27,15.27,15.2,15.22,3396.67582
122,1582484400000.0,15.24,15.24,15.16,15.23,2642.06233
123,1582488000000.0,15.25,15.38,15.25,15.31,4703.96144
124,1582491600000.0,15.32,15.35,15.27,15.32,1328.52275
125,1582495200000.0,15.32,15.35,15.07,15.12,2517.24796
126,1582498800000.0,15.1,15.18,14.75,14.86,12373.9771
127,1582502400000.0,14.9,15.06,14.66,14.9,7190.8827
128,1582506000000.0,14.89,15.2,14.89,15.14,7259.60779
129,1582509600000.0,15.15,16.07,15.05,15.84,18639.64431
130,1582513200000.0,15.83,15.96,15.67,15.83,12160.27756
131,1582516800000.0,15.83,15.98,15.79,15.81,6276.20474
132,1582520400000.0,15.85,15.95,15.8,15.8,3069.1443
133,1582524000000.0,15.83,16.0,15.81,15.98,5332.21815
134,1582527600000.0,15.98,16.23,15.84,15.86,8920.48476
135,1582531200000.0,15.9,15.9,15.79,15.81,4639.40087
136,1582534800000.0,15.86,16.13,15.83,16.11,2168.46227
137,1582538400000.0,16.1,16.1,15.9,15.94,5937.29766
138,1582542000000.0,15.9,15.94,15.63,15.64,3666.81972
139,1582545600000.0,15.63,15.79,15.51,15.68,8450.63264
140,1582549200000.0,15.71,15.93,15.66,15.87,2618.42797
141,1582552800000.0,15.91,16.06,15.52,16.06,10416.38118
142,1582556400000.0,15.96,16.2,15.82,16.15,20379.82972
143,1582560000000.0,16.17,16.44,15.97,16.4,13192.58485
144,1582563600000.0,16.35,16.69,16.32,16.6,16461.22972
145,1582567200000.0,16.59,17.13,16.59,16.74,62328.58526
146,1582570800000.0,16.73,16.81,16.39,16.62,42377.34364
147,1582574400000.0,16.66,16.8,16.45,16.69,6397.00367
148,1582578000000.0,16.7,16.83,16.56,16.64,10449.24396
149,1582581600000.0,16.62,16.64,16.45,16.52,3137.98523
150,1582585200000.0,16.51,16.6,16.3,16.34,4742.98523
151,1582588800000.0,16.35,16.63,16.35,16.57,3196.51272
152,1582592400000.0,16.6,16.76,16.49,16.76,39329.66332
153,1582596000000.0,16.78,16.85,16.58,16.6,5176.19567
154,1582599600000.0,16.66,16.83,16.59,16.78,4369.15335
155,1582603200000.0,16.81,16.94,16.67,16.79,8237.35418
156,1582606800000.0,16.79,17.05,16.76,16.95,11171.32456
157,1582610400000.0,16.95,17.13,16.85,16.97,8775.4084
158,1582614000000.0,16.99,17.32,16.98,17.04,8696.89976
159,1582617600000.0,17.07,17.19,16.79,16.87,12020.14342
160,1582621200000.0,16.85,16.85,16.67,16.85,4227.52031
161,1582624800000.0,16.85,16.98,16.8,16.91,3477.09847
162,1582628400000.0,16.91,17.2,16.37,16.55,14641.63804
163,1582632000000.0,16.53,16.68,16.29,16.66,9034.92487
164,1582635600000.0,16.66,16.95,16.58,16.86,6405.30114
165,1582639200000.0,16.86,17.98,16.81,17.76,27664.02841
166,1582642800000.0,17.76,17.92,17.54,17.85,18336.4056
167,1582646400000.0,17.75,18.35,17.19,18.2,39199.92767
168,1582650000000.0,18.19,18.35,17.85,18.06,14523.64679
169,1582653600000.0,18.09,18.13,17.69,17.84,6172.33828
170,1582657200000.0,17.87,18.13,17.85,18.06,3776.48159
171,1582660800000.0,18.01,18.35,17.9,18.18,10182.9109
172,1582664400000.0,18.2,18.48,17.66,17.87,20227.73764
173,1582668000000.0,17.85,17.97,17.61,17.81,4389.71945
174,1582671600000.0,17.84,18.25,17.83,18.23,4632.79421
175,1582675200000.0,18.23,18.33,17.9,18.25,4793.75017
176,1582678800000.0,18.25,18.9,18.18,18.9,16299.20651
177,1582682400000.0,18.9,19.4,18.77,18.85,24000.03653
178,1582686000000.0,18.88,19.39,18.88,19.14,7690.82849
179,1582689600000.0,19.19,19.45,19.0,19.04,11025.78089
180,1582693200000.0,19.05,19.29,18.81,18.98,22609.32291
181,1582696800000.0,18.98,19.17,18.86,18.86,5983.22253
182,1582700400000.0,18.87,19.36,18.86,19.31,8628.06209
183,1582704000000.0,19.32,19.48,18.81,18.99,10596.15058
184,1582707600000.0,19.02,19.46,18.96,19.38,8308.72029
185,1582711200000.0,19.4,19.45,19.05,19.1,10635.64635
186,1582714800000.0,19.13,19.33,19.09,19.27,6665.3433
187,1582718400000.0,19.27,19.9,18.32,18.51,26606.05991
188,1582722000000.0,18.59,19.8,18.57,19.64,16199.17486
189,1582725600000.0,19.64,20.29,19.37,19.99,27501.70015
190,1582729200000.0,20.01,20.3,19.88,20.19,16703.77711
191,1582732800000.0,20.2,22.5,19.98,21.75,58698.36633
192,1582736400000.0,21.66,22.18,21.3,21.78,20746.92539
193,1582740000000.0,21.76,21.78,21.05,21.14,13685.88213
194,1582743600000.0,21.18,21.43,20.96,21.2,9801.51616
195,1582747200000.0,21.2,21.44,20.98,21.32,7145.11393
