,times,opens,highs,lows,closes,volumes
0,1582027200000.0,14245.0,14245.0,13900.0,14000.0,5.325568
1,1582030800000.0,13946.62,14053.19,13642.22,13988.36,18.231457
2,1582034400000.0,13946.62,14248.82,13876.27,14200.0,8.352125
3,1582038000000.0,14221.26,14888.0,14200.0,14805.62,26.063902
4,1582041600000.0,14758.15,15150.0,14750.0,15120.0,16.376971
5,1582045200000.0,15149.97,15279.66,14954.23,15220.59,24.935238
6,1582048800000.0,15235.07,15675.75,15235.07,15396.79,28.235676
7,1582052400000.0,15451.06,15672.41,15351.07,15672.0,17.235362
8,1582056000000.0,15672.0,16291.84,15603.88,16194.91,18.149957
9,1582059600000.0,16202.26,16600.0,15661.55,16095.69,43.936984
10,1582063200000.0,16142.72,16350.0,15828.81,16188.22,16.878694
11,1582066800000.0,16188.22,16441.09,16097.66,16184.11,8.994569
12,1582070400000.0,16194.91,16293.1,15823.92,15974.99,11.23762
13,1582074000000.0,15889.83,16143.46,15889.83,15985.0,8.074174
14,1582077600000.0,16003.58,16202.09,15960.08,16189.42,3.850097
15,1582081200000.0,16189.42,16296.0,16055.33,16152.0,12.497655
16,1582084800000.0,16152.0,16270.84,15900.0,15950.0,5.96096
17,1582088400000.0,15950.0,16043.19,15868.64,16018.25,6.946656
18,1582092000000.0,16000.0,16018.25,15680.6,15697.29,9.261041
19,1582095600000.0,15710.0,15857.56,15564.53,15746.18,8.945815
20,1582099200000.0,15715.88,16189.65,15530.91,16160.5,10.910297
21,1582102800000.0,16133.3,16154.59,15900.0,15985.0,8.925652
22,1582106400000.0,15970.25,16071.69,15776.85,15974.65,10.571111
23,1582110000000.0,16010.19,16075.23,16000.0,16075.22,1.200844
24,1582131600000.0,16075.23,16600.0,15982.75,16183.78,33.092135
25,1582135200000.0,16150.0,16293.32,16050.0,16264.73,8.851007
26,1582138800000.0,16206.14,16326.53,16070.52,16103.37,11.417689
27,1582142400000.0,16103.37,16180.81,15458.75,16108.05,26.790103
28,1582146000000.0,16108.05,16161.49,12000.0,13450.0,85.223429
29,1582149600000.0,13430.0,13940.77,12699.0,13798.42,46.025683
30,1582153200000.0,13806.0,13830.0,13144.06,13375.0,17.070327
31,1582156800000.0,13397.72,13537.81,13266.1,13430.01,8.366391
32,1582160400000.0,13480.64,13503.94,13145.05,13279.14,17.247113
33,1582164000000.0,13350.34,13350.34,12810.0,13236.0,8.744461
34,1582167600000.0,13234.1,13329.84,13144.06,13200.0,5.391403
35,1582171200000.0,13227.0,13315.3,13083.06,13205.07,6.257921
36,1582174800000.0,13205.0,13246.0,12997.97,13150.02,9.448192
37,1582178400000.0,13199.15,13464.68,13083.05,13424.31,9.639856
38,1582182000000.0,13400.0,13436.0,13198.81,13327.11,15.799763
39,1582185600000.0,13343.23,13343.23,13068.35,13197.06,6.868999
40,1582189200000.0,13230.49,13362.23,13092.3,13298.85,9.619289
41,1582192800000.0,13329.11,13641.04,13205.08,13308.31,10.605288
42,1582196400000.0,13312.0,13420.0,13139.1,13205.08,7.545171
43,1582200000000.0,13230.49,13315.66,12934.57,13095.45,19.999804
44,1582203600000.0,13144.06,13265.3,12996.39,13265.3,12.362371
45,1582207200000.0,13265.0,13396.13,13180.96,13242.15,10.931318
46,1582210800000.0,13303.95,13321.88,13153.66,13171.58,7.216174
47,1582214400000.0,13181.23,13711.46,12597.28,13571.18,22.285126
48,1582218000000.0,13571.18,13768.74,12800.0,12910.0,30.727868
49,1582221600000.0,12912.56,13201.04,12651.0,12954.47,16.40835
50,1582225200000.0,13021.12,13144.06,12945.53,13046.59,3.280128
51,1582228800000.0,13083.05,13236.82,12978.78,13227.81,3.835644
52,1582232400000.0,13180.03,13357.04,13117.68,13322.77,3.674055
53,1582236000000.0,13356.44,13510.46,13205.08,13381.71,7.686336
54,1582239600000.0,13327.11,13357.04,13205.08,13274.44,4.401073
55,1582243200000.0,13304.08,13304.08,13136.65,13231.91,3.337821
56,1582246800000.0,13255.76,13460.98,13192.74,13460.98,9.185287
57,1582250400000.0,13460.98,13560.85,13413.98,13440.86,6.237771
58,1582254000000.0,13440.86,13786.74,13326.14,13680.31,11.192969
59,1582257600000.0,13693.22,13853.02,13586.06,13632.56,2.614374
60,1582261200000.0,13691.47,13724.28,13478.35,13600.76,9.39858
61,1582264800000.0,13600.76,13692.41,13534.13,13616.0,11.108491
62,1582268400000.0,13586.31,13608.49,13469.07,13554.01,7.54795
63,1582272000000.0,13567.57,13656.28,13310.01,13430.0,5.008041
64,1582275600000.0,13430.0,13570.0,13327.11,13538.62,3.440318
65,1582279200000.0,13522.59,13747.04,13478.21,13660.49,4.742416
66,1582282800000.0,13614.64,13771.82,13597.21,13709.55,9.828017
67,1582286400000.0,13709.55,13980.02,13709.55,13866.39,16.696797
68,1582290000000.0,13903.15,13903.15,13639.79,13860.89,12.267536
69,1582293600000.0,13825.29,13850.0,13549.78,13580.9,5.425972
70,1582297200000.0,13580.9,13800.0,13535.14,13755.1,10.295483
71,1582300800000.0,13752.55,13838.62,13650.48,13776.04,4.163255
72,1582304400000.0,13776.04,13776.04,13666.79,13681.46,5.016945
73,1582308000000.0,13680.0,13737.25,13659.23,13670.29,2.509351
74,1582311600000.0,13697.3,13697.3,13486.55,13522.82,5.608482
75,1582315200000.0,13513.4,13773.3,12955.26,13647.05,37.099924
76,1582318800000.0,13647.05,13734.18,13352.94,13460.98,6.531777
77,1582322400000.0,13460.98,13478.35,13335.08,13412.15,4.613221
78,1582326000000.0,13447.98,13691.47,13447.98,13553.09,7.282249
79,1582329600000.0,13560.86,13678.65,13510.16,13560.86,3.227202
80,1582333200000.0,13560.86,13560.86,13449.15,13449.15,1.352372
81,1582336800000.0,13466.75,13474.57,13339.78,13449.15,4.844337
82,1582340400000.0,13398.03,13537.81,13398.03,13515.0,1.304402
83,1582344000000.0,13488.42,13488.42,13282.35,13303.02,2.382033
84,1582347600000.0,13320.0,13375.59,13077.11,13300.1,4.813085
85,1582351200000.0,13234.66,13265.29,13026.8,13206.0,19.39099
86,1582354800000.0,13207.0,13273.18,13153.66,13204.18,3.807878
87,1582358400000.0,13199.9,13460.98,13155.54,13371.32,5.322106
88,1582362000000.0,13348.21,13348.21,13198.12,13235.0,6.685701
89,1582365600000.0,13293.21,13372.85,13262.85,13332.97,5.866139
90,1582369200000.0,13331.21,13361.26,13303.7,13334.2,0.765198
91,1582372800000.0,13334.2,13496.6,13334.2,13440.0,3.295761
92,1582376400000.0,13414.44,13437.67,13342.76,13403.96,3.267493
93,1582380000000.0,13402.54,13453.64,13353.65,13362.35,2.331882
94,1582383600000.0,13390.0,13390.0,13239.46,13321.85,3.875771
95,1582387200000.0,13338.43,13384.0,13205.08,13384.0,8.275109
96,1582390800000.0,13384.0,13560.65,13330.0,13391.89,5.956555
97,1582394400000.0,13423.5,13444.83,13348.25,13405.54,2.525147
98,1582398000000.0,13440.0,13503.27,13437.01,13443.76,1.276357
99,1582401600000.0,13478.79,13596.13,13478.79,13550.0,4.437814
100,1582405200000.0,13550.0,13571.0,13517.61,13518.98,4.347468
101,1582408800000.0,13523.56,13523.56,13423.68,13423.68,0.632995
102,1582412400000.0,13472.38,13510.16,13395.29,13395.29,1.21477
103,1582416000000.0,13396.0,13491.83,13396.0,13491.83,2.285584
104,1582419600000.0,13491.83,13510.15,13403.0,13403.0,1.349221
105,1582423200000.0,13403.0,13494.99,13403.0,13484.59,1.102477
106,1582426800000.0,13494.99,13970.0,13485.16,13942.89,13.701648
107,1582430400000.0,13958.46,14590.39,13958.46,14226.5,40.896514
108,1582434000000.0,14267.77,14446.64,14190.0,14342.64,11.267685
109,1582437600000.0,14342.64,14498.98,14338.26,14444.67,5.659361
110,1582441200000.0,14429.98,14460.0,14300.74,14363.39,10.558314
111,1582444800000.0,14363.39,14363.39,14285.0,14311.0,9.424709
112,1582448400000.0,14303.3,14459.77,14300.84,14344.04,4.884601
113,1582452000000.0,14360.0,14843.93,14037.93,14197.71,37.143513
