,times,opens,highs,lows,closes,volumes
0,1595242800000.0,0.014453,0.014598,0.01417,0.014255,34005792.0
1,1595246400000.0,0.014256,0.014322,0.013608,0.013617,54482716.0
2,1595250000000.0,0.013663,0.014016,0.01335,0.013714,48087892.0
3,1595253600000.0,0.013715,0.013765,0.013552,0.013606,18685505.0
4,1595257200000.0,0.013582,0.01365,0.013455,0.013629,17589901.0
5,1595260800000.0,0.013634,0.013635,0.0132,0.013258,30696718.0
6,1595264400000.0,0.013236,0.013413,0.013221,0.013374,18363095.0
7,1595268000000.0,0.013336,0.01339,0.013,0.013103,27291822.0
8,1595271600000.0,0.013103,0.013127,0.012214,0.012602,118583223.0
9,1595275200000.0,0.012555,0.013078,0.012391,0.01274,62419729.0
10,1595278800000.0,0.012746,0.012876,0.012515,0.012784,25149528.0
11,1595282400000.0,0.012765,0.013072,0.012745,0.012928,21974173.0
12,1595286000000.0,0.01293,0.013015,0.012722,0.012803,15741493.0
13,1595289600000.0,0.012776,0.012988,0.01269,0.012948,14077610.0
14,1595293200000.0,0.01295,0.013102,0.012909,0.01301,9967286.0
15,1595296800000.0,0.013006,0.013451,0.013006,0.013406,19413582.0
16,1595300400000.0,0.01341,0.0138,0.013295,0.01339,25984965.0
17,1595304000000.0,0.013342,0.013415,0.01301,0.013206,18311767.0
18,1595307600000.0,0.013206,0.013372,0.013008,0.013023,19294457.0
19,1595311200000.0,0.013022,0.013069,0.012585,0.01285,26363724.0
20,1595314800000.0,0.012851,0.012863,0.012409,0.01252,26419218.0
21,1595318400000.0,0.012552,0.013,0.012519,0.012908,28621833.0
22,1595322000000.0,0.012908,0.013,0.01265,0.012673,22249015.0
23,1595325600000.0,0.012674,0.01275,0.012425,0.012678,36322641.0
24,1595329200000.0,0.012678,0.013774,0.012101,0.013644,143950050.0
25,1595332800000.0,0.013645,0.0139,0.013397,0.013424,102337391.0
26,1595336400000.0,0.013423,0.014677,0.0134,0.014451,114911857.0
27,1595340000000.0,0.014452,0.015087,0.014429,0.014799,166978538.0
28,1595343600000.0,0.014799,0.0169,0.014738,0.016601,300505669.0
29,1595347200000.0,0.016645,0.016678,0.015223,0.015375,174546884.0
30,1595350800000.0,0.015334,0.01572,0.015072,0.015698,114058257.0
31,1595354400000.0,0.01567,0.016061,0.015401,0.015467,59712683.0
32,1595358000000.0,0.015465,0.015842,0.015306,0.015714,40892369.0
33,1595361600000.0,0.015742,0.015775,0.015408,0.015473,31139466.0
34,1595365200000.0,0.01544,0.015668,0.014961,0.015227,52898688.0
35,1595368800000.0,0.015246,0.015298,0.01475,0.0149,60692996.0
36,1595372400000.0,0.014901,0.016184,0.014852,0.015697,86569161.0
37,1595376000000.0,0.015674,0.016,0.0153,0.015539,30416906.0
38,1595379600000.0,0.015512,0.015715,0.015416,0.015434,14036502.0
39,1595383200000.0,0.015451,0.015454,0.01508,0.015095,27048017.0
40,1595386800000.0,0.015095,0.015435,0.01509,0.015404,21868675.0
41,1595390400000.0,0.015404,0.015701,0.015401,0.01567,22414034.0
42,1595394000000.0,0.015667,0.01615,0.015648,0.015929,55958532.0
43,1595397600000.0,0.015929,0.0164,0.015757,0.016082,42804695.0
44,1595401200000.0,0.016074,0.016101,0.015801,0.01599,18364937.0
45,1595404800000.0,0.016005,0.01625,0.01582,0.016165,29657308.0
46,1595408400000.0,0.016201,0.01655,0.015984,0.016501,65167251.0
47,1595412000000.0,0.016501,0.016692,0.016384,0.016597,68848832.0
48,1595415600000.0,0.016598,0.0168,0.016169,0.016714,70476620.0
49,1595419200000.0,0.016714,0.017129,0.016456,0.016899,85313017.0
50,1595422800000.0,0.0169,0.016903,0.016625,0.016788,35056648.0
51,1595426400000.0,0.016778,0.016797,0.016301,0.016626,36298625.0
52,1595430000000.0,0.016626,0.016849,0.016353,0.016476,38126623.0
53,1595433600000.0,0.016476,0.0165,0.01605,0.016241,40048185.0
54,1595437200000.0,0.016241,0.016295,0.015877,0.016089,52346489.0
55,1595440800000.0,0.01609,0.016382,0.015814,0.016233,32146518.0
56,1595444400000.0,0.01625,0.016271,0.015961,0.016098,16387285.0
57,1595448000000.0,0.016099,0.016331,0.01605,0.016135,18517076.0
58,1595451600000.0,0.016102,0.0163,0.016074,0.016236,6017646.0
59,1595455200000.0,0.016231,0.016346,0.015762,0.016151,37784149.0
60,1595458800000.0,0.016181,0.01631,0.015868,0.016012,23758208.0
61,1595462400000.0,0.016012,0.016097,0.015761,0.015798,16144328.0
62,1595466000000.0,0.015797,0.016122,0.015763,0.016,11441182.0
63,1595469600000.0,0.016,0.01612,0.015943,0.016059,9019441.0
64,1595473200000.0,0.016057,0.016074,0.015852,0.015927,7679198.0
65,1595476800000.0,0.01589,0.0162,0.015859,0.016152,9794413.0
66,1595480400000.0,0.016149,0.016476,0.016104,0.016322,22117047.0
67,1595484000000.0,0.016355,0.016369,0.016186,0.016237,9531960.0
68,1595487600000.0,0.016225,0.016754,0.016173,0.016626,30278598.0
69,1595491200000.0,0.016602,0.016661,0.016436,0.016559,12671634.0
70,1595494800000.0,0.016547,0.016598,0.01615,0.016353,20197826.0
71,1595498400000.0,0.016354,0.01641,0.016219,0.016398,22551817.0
72,1595502000000.0,0.016398,0.017,0.016284,0.016668,68273969.0
73,1595505600000.0,0.016668,0.016724,0.016496,0.016496,14697460.0
74,1595509200000.0,0.016507,0.016577,0.016435,0.016452,17952566.0
75,1595512800000.0,0.016447,0.016478,0.015989,0.016111,48330231.0
76,1595516400000.0,0.01614,0.016331,0.01607,0.016188,27457658.0
77,1595520000000.0,0.016164,0.016309,0.015588,0.015775,50904283.0
78,1595523600000.0,0.015757,0.01603,0.0155,0.015951,46174628.0
79,1595527200000.0,0.015935,0.016198,0.015818,0.015875,28942114.0
80,1595530800000.0,0.015875,0.015999,0.015734,0.015834,10039644.0
81,1595534400000.0,0.015875,0.015957,0.015734,0.015893,19713746.0
82,1595538000000.0,0.015892,0.015892,0.015701,0.015771,7139973.0
83,1595541600000.0,0.015749,0.01616,0.0157,0.016055,18579921.0
84,1595545200000.0,0.016055,0.01616,0.015926,0.016011,11282949.0
85,1595548800000.0,0.016008,0.016025,0.015798,0.01587,4783345.0
86,1595552400000.0,0.015869,0.01615,0.01583,0.016015,7676089.0
87,1595556000000.0,0.016015,0.016101,0.015879,0.015986,5115950.0
88,1595559600000.0,0.015986,0.01603,0.015942,0.016002,4621818.0
89,1595563200000.0,0.015973,0.016155,0.01597,0.016045,8195537.0
90,1595566800000.0,0.016037,0.016123,0.0159,0.015969,9697610.0
91,1595570400000.0,0.01597,0.016051,0.0159,0.015986,12347056.0
92,1595574000000.0,0.015957,0.016275,0.015952,0.01622,15516537.0
93,1595577600000.0,0.016214,0.016448,0.016053,0.01625,23467037.0
94,1595581200000.0,0.01626,0.016305,0.016091,0.016298,8963664.0
95,1595584800000.0,0.016298,0.016614,0.016206,0.016369,27981544.0
96,1595588400000.0,0.016402,0.016597,0.016197,0.016444,28753831.0
97,1595592000000.0,0.016448,0.016726,0.01633,0.01638,35090838.0
98,1595595600000.0,0.016374,0.0167,0.016367,0.016413,21053190.0
99,1595599200000.0,0.016452,0.01648,0.016226,0.0163,16371075.0
100,1595602800000.0,0.016299,0.0165,0.015963,0.016041,27419448.0
101,1595606400000.0,0.016041,0.0162,0.01595,0.01611,26799130.0
102,1595610000000.0,0.016086,0.016371,0.016086,0.016295,22745143.0
103,1595613600000.0,0.016273,0.016321,0.01618,0.016221,8838100.0
104,1595617200000.0,0.016218,0.016374,0.016218,0.016339,7933314.0
105,1595620800000.0,0.016338,0.016354,0.016071,0.016081,10909973.0
106,1595624400000.0,0.016081,0.016399,0.016013,0.01626,20671702.0
107,1595628000000.0,0.016282,0.016319,0.016104,0.01618,10708907.0
108,1595631600000.0,0.01618,0.016251,0.016,0.016096,8065991.0
109,1595635200000.0,0.016096,0.016331,0.01605,0.016213,11841363.0
110,1595638800000.0,0.016216,0.016245,0.016051,0.016177,15261558.0
111,1595642400000.0,0.016163,0.016426,0.016005,0.016405,28499592.0
112,1595646000000.0,0.016424,0.01661,0.016371,0.016592,15131475.0
113,1595649600000.0,0.01661,0.016666,0.016451,0.016535,10912648.0
114,1595653200000.0,0.016535,0.016819,0.016535,0.016746,27877015.0
115,1595656800000.0,0.016746,0.016758,0.016673,0.016755,6809058.0
116,1595660400000.0,0.016756,0.016758,0.01654,0.016599,8734775.0
117,1595664000000.0,0.0166,0.016628,0.0165,0.016556,9677350.0
118,1595667600000.0,0.016556,0.016589,0.016369,0.016403,18199144.0
119,1595671200000.0,0.016403,0.01655,0.01638,0.016487,9665340.0
120,1595674800000.0,0.016467,0.016632,0.016457,0.016548,15543876.0
121,1595678400000.0,0.016548,0.016641,0.016454,0.016498,11968779.0
122,1595682000000.0,0.016498,0.016554,0.016256,0.016412,17595027.0
123,1595685600000.0,0.016405,0.016581,0.016381,0.016485,10900918.0
124,1595689200000.0,0.016486,0.016499,0.016406,0.016467,9945693.0
125,1595692800000.0,0.016467,0.016621,0.016327,0.016541,25665071.0
126,1595696400000.0,0.016543,0.016761,0.016539,0.016555,25211045.0
127,1595700000000.0,0.016572,0.016898,0.01655,0.016884,28995237.0
128,1595703600000.0,0.016882,0.0178,0.016815,0.01772,142723043.0
129,1595707200000.0,0.01773,0.017925,0.017219,0.017627,99888373.0
130,1595710800000.0,0.017631,0.017796,0.017434,0.017471,22872032.0
131,1595714400000.0,0.017471,0.018558,0.017471,0.018159,99297777.0
132,1595718000000.0,0.01814,0.018799,0.018025,0.018701,92250842.0
133,1595721600000.0,0.018703,0.01913,0.01842,0.018548,79802690.0
134,1595725200000.0,0.018555,0.018562,0.017901,0.018204,52311970.0
135,1595728800000.0,0.018205,0.0185,0.018102,0.01846,13358876.0
136,1595732400000.0,0.01849,0.018737,0.018253,0.01855,20565108.0
137,1595736000000.0,0.018553,0.01858,0.018301,0.018381,13821982.0
138,1595739600000.0,0.018381,0.018418,0.018047,0.01833,26265627.0
139,1595743200000.0,0.01833,0.0186,0.018245,0.018532,21285480.0
140,1595746800000.0,0.018522,0.019184,0.018446,0.018899,41432565.0
141,1595750400000.0,0.018875,0.018961,0.018483,0.018588,42177192.0
142,1595754000000.0,0.018581,0.018949,0.0185,0.018751,28521763.0
143,1595757600000.0,0.018751,0.018995,0.018275,0.0188,72232440.0
144,1595761200000.0,0.01881,0.02,0.018678,0.01981,127897828.0
145,1595764800000.0,0.01983,0.020794,0.0195,0.020746,138810428.0
146,1595768400000.0,0.020746,0.021979,0.0207,0.021005,296470325.0
147,1595772000000.0,0.021006,0.021006,0.020113,0.020627,131488542.0
148,1595775600000.0,0.020626,0.020891,0.020371,0.020734,37769753.0
149,1595779200000.0,0.020739,0.021238,0.0205,0.020884,62185664.0
150,1595782800000.0,0.020885,0.021721,0.0208,0.021556,58036181.0
151,1595786400000.0,0.021561,0.022439,0.021191,0.021994,82431790.0
152,1595790000000.0,0.022,0.022901,0.0219,0.022652,147053004.0
153,1595793600000.0,0.022653,0.023721,0.022105,0.02348,144644582.0
154,1595797200000.0,0.0235,0.023717,0.022522,0.023234,101425147.0
155,1595800800000.0,0.023232,0.023233,0.022019,0.022205,74355901.0
156,1595804400000.0,0.022204,0.022486,0.021188,0.022144,85065258.0
157,1595808000000.0,0.022144,0.02279,0.0218,0.021983,43298175.0
158,1595811600000.0,0.021991,0.022907,0.021948,0.022786,32191732.0
159,1595815200000.0,0.02276,0.024507,0.022699,0.024,94213212.0
160,1595818800000.0,0.023999,0.0245,0.0235,0.024159,65340478.0
161,1595822400000.0,0.024195,0.026666,0.024139,0.02625,123458673.0
162,1595826000000.0,0.026222,0.0275,0.024739,0.02717,160154012.0
163,1595829600000.0,0.027169,0.0286,0.026554,0.02784,186146155.0
164,1595833200000.0,0.02784,0.029536,0.02723,0.028776,214187965.0
165,1595836800000.0,0.028775,0.029069,0.02556,0.02777,243055912.0
166,1595840400000.0,0.027707,0.027882,0.02518,0.026022,160697167.0
167,1595844000000.0,0.026022,0.028,0.025852,0.027538,117464724.0
168,1595847600000.0,0.027501,0.027545,0.026179,0.027046,111624166.0
169,1595851200000.0,0.027,0.027599,0.0267,0.027459,51382971.0
170,1595854800000.0,0.02746,0.027989,0.02693,0.026935,61974386.0
171,1595858400000.0,0.026957,0.027101,0.020301,0.0212,312064727.0
172,1595862000000.0,0.0212,0.0253,0.020815,0.024349,252533335.0
173,1595865600000.0,0.024347,0.024394,0.022,0.022226,132099151.0
174,1595869200000.0,0.02223,0.0242,0.022009,0.023,142090794.0
175,1595872800000.0,0.023048,0.0275,0.022235,0.025431,209201322.0
176,1595876400000.0,0.025527,0.027256,0.025303,0.025535,109769994.0
177,1595880000000.0,0.02555,0.025601,0.023073,0.024319,86221098.0
178,1595883600000.0,0.024323,0.025352,0.0234,0.023786,59857306.0
179,1595887200000.0,0.02379,0.024854,0.023782,0.024493,70825731.0
180,1595890800000.0,0.024495,0.025797,0.024446,0.025515,53728541.0
181,1595894400000.0,0.025591,0.0261,0.025167,0.025689,41397293.0
182,1595898000000.0,0.025654,0.02585,0.024823,0.02503,31518914.0
183,1595901600000.0,0.02503,0.025294,0.023729,0.024214,46934571.0
184,1595905200000.0,0.024222,0.024551,0.02378,0.023993,29251494.0
185,1595908800000.0,0.023914,0.024111,0.0236,0.023645,22457028.0
186,1595912400000.0,0.023645,0.024854,0.023351,0.024383,54220707.0
187,1595916000000.0,0.024387,0.024588,0.023754,0.024028,36573389.0
188,1595919600000.0,0.024011,0.025281,0.023896,0.02488,46810777.0
189,1595923200000.0,0.024873,0.026666,0.024845,0.025651,106972004.0
190,1595926800000.0,0.025648,0.026666,0.025411,0.026404,56089630.0
191,1595930400000.0,0.026404,0.026941,0.025647,0.025834,72288222.0
192,1595934000000.0,0.025831,0.026054,0.0253,0.025759,63097488.0
193,1595937600000.0,0.025762,0.02625,0.025553,0.025733,55219315.0
194,1595941200000.0,0.025758,0.025907,0.024752,0.025168,36225787.0
195,1595944800000.0,0.025167,0.02544,0.024695,0.025305,56013827.0
196,1595948400000.0,0.025305,0.026,0.0252,0.02565,26183032.0
197,1595952000000.0,0.025634,0.025763,0.025125,0.025678,31577201.0
198,1595955600000.0,0.025635,0.026949,0.025529,0.026905,63398509.0
199,1595959200000.0,0.026913,0.027,0.02583,0.026274,56061584.0
200,1595962800000.0,0.026287,0.027,0.0258,0.02646,50728660.0
201,1595966400000.0,0.026486,0.026603,0.026063,0.026292,26993453.0
202,1595970000000.0,0.026291,0.026429,0.025941,0.026377,26607272.0
203,1595973600000.0,0.026377,0.026766,0.026301,0.02675,21279492.0
