,times,opens,highs,lows,closes,volumes
0,1648522800000.0,7.67,7.69,7.58,7.6,7066.05
1,1648526400000.0,7.6,7.67,7.6,7.66,4258.73
2,1648530000000.0,7.66,7.75,7.66,7.73,5173.55
3,1648533600000.0,7.73,7.76,7.69,7.71,2544.13
4,1648537200000.0,7.71,7.75,7.68,7.73,7083.77
5,1648540800000.0,7.73,7.74,7.68,7.7,7524.76
6,1648544400000.0,7.7,7.72,7.69,7.7,3655.01
7,1648548000000.0,7.7,7.73,7.69,7.73,5010.82
8,1648551600000.0,7.72,7.74,7.7,7.72,8593.77
9,1648555200000.0,7.73,7.77,7.72,7.74,9765.61
10,1648558800000.0,7.74,7.78,7.63,7.68,19495.62
11,1648562400000.0,7.67,7.72,7.67,7.71,5233.51
12,1648566000000.0,7.71,7.74,7.54,7.59,14392.38
13,1648569600000.0,7.59,7.6,7.47,7.54,18716.12
14,1648573200000.0,7.54,7.54,7.49,7.52,5483.03
15,1648576800000.0,7.53,7.58,7.52,7.54,3892.48
16,1648580400000.0,7.54,7.74,7.54,7.64,19346.94
17,1648584000000.0,7.64,7.7,7.61,7.62,5568.43
18,1648587600000.0,7.63,7.65,7.6,7.6,2721.09
19,1648591200000.0,7.6,7.61,7.51,7.55,4436.69
20,1648594800000.0,7.55,7.6,7.52,7.6,2753.41
21,1648598400000.0,7.59,7.59,7.48,7.52,7717.62
22,1648602000000.0,7.53,7.58,7.39,7.39,9949.93
23,1648605600000.0,7.39,7.53,7.39,7.5,6837.94
24,1648609200000.0,7.5,7.52,7.46,7.49,4291.35
25,1648612800000.0,7.48,7.5,7.39,7.4,14400.67
26,1648616400000.0,7.39,7.45,7.28,7.45,34794.8
27,1648620000000.0,7.45,7.53,7.45,7.52,7387.63
28,1648623600000.0,7.5,7.55,7.5,7.53,8238.88
29,1648627200000.0,7.53,7.56,7.49,7.56,6271.81
30,1648630800000.0,7.56,7.56,7.49,7.5,6680.82
31,1648634400000.0,7.5,7.51,7.45,7.5,6313.42
32,1648638000000.0,7.49,7.52,7.47,7.52,7216.6
33,1648641600000.0,7.51,7.52,7.48,7.52,3058.43
34,1648645200000.0,7.52,7.53,7.44,7.45,7674.62
35,1648648800000.0,7.45,7.51,7.44,7.5,4351.23
36,1648652400000.0,7.5,7.5,7.42,7.48,3745.3
37,1648656000000.0,7.48,7.57,7.41,7.53,12520.79
38,1648659600000.0,7.53,7.57,7.5,7.54,7271.0
39,1648663200000.0,7.56,7.6,7.5,7.54,15138.74
40,1648666800000.0,7.55,7.56,7.5,7.54,4609.29
41,1648670400000.0,7.53,7.55,7.49,7.55,3295.48
42,1648674000000.0,7.55,7.55,7.52,7.53,2157.98
43,1648677600000.0,7.53,7.59,7.53,7.56,7240.71
44,1648681200000.0,7.56,7.66,7.51,7.65,17626.79
45,1648684800000.0,7.64,7.76,7.58,7.72,14941.33
46,1648688400000.0,7.71,7.81,7.71,7.78,13350.44
47,1648692000000.0,7.79,7.82,7.73,7.81,7574.76
48,1648695600000.0,7.8,7.8,7.7,7.7,4083.68
49,1648699200000.0,7.71,7.71,7.63,7.66,5361.1
50,1648702800000.0,7.66,7.74,7.65,7.73,5819.12
51,1648706400000.0,7.73,7.8,7.71,7.77,8366.95
52,1648710000000.0,7.77,7.77,7.68,7.69,7424.5
53,1648713600000.0,7.69,7.75,7.51,7.61,45128.03
54,1648717200000.0,7.62,7.74,7.61,7.71,14083.05
55,1648720800000.0,7.7,7.72,7.67,7.71,6649.75
56,1648724400000.0,7.71,7.73,7.63,7.67,8596.64
57,1648728000000.0,7.67,7.69,7.5,7.62,23725.78
58,1648731600000.0,7.63,7.65,7.51,7.51,13172.17
59,1648735200000.0,7.51,7.51,7.3,7.43,31589.27
60,1648738800000.0,7.43,7.51,7.41,7.41,8397.3
61,1648742400000.0,7.4,7.41,7.26,7.29,11439.74
62,1648746000000.0,7.29,7.34,7.2,7.32,12951.08
63,1648749600000.0,7.31,7.32,7.25,7.32,4789.82
64,1648753200000.0,7.31,7.33,7.28,7.31,5539.86
65,1648756800000.0,7.31,7.33,7.31,7.31,1304.38
66,1648760400000.0,7.32,7.35,7.3,7.34,4673.47
67,1648764000000.0,7.34,7.39,7.34,7.36,3883.12
68,1648767600000.0,7.36,7.38,7.32,7.34,2084.14
69,1648771200000.0,7.32,7.4,7.32,7.38,5911.34
70,1648774800000.0,7.39,7.39,7.29,7.29,2346.3
71,1648778400000.0,7.29,7.29,7.23,7.23,4314.33
72,1648782000000.0,7.23,7.23,7.1,7.15,12186.76
73,1648785600000.0,7.16,7.2,7.15,7.2,2306.82
74,1648789200000.0,7.2,7.32,7.2,7.32,9621.36
75,1648792800000.0,7.32,7.36,7.28,7.3,4859.9
76,1648796400000.0,7.3,7.35,7.3,7.35,2372.78
77,1648800000000.0,7.35,7.38,7.31,7.32,8767.26
78,1648803600000.0,7.32,7.44,7.3,7.34,15866.82
79,1648807200000.0,7.35,7.47,7.35,7.41,7961.56
80,1648810800000.0,7.42,7.45,7.36,7.4,4129.52
81,1648814400000.0,7.38,7.41,7.25,7.36,10302.29
82,1648818000000.0,7.37,7.48,7.37,7.45,10412.82
83,1648821600000.0,7.45,7.56,7.45,7.54,17901.51
84,1648825200000.0,7.55,7.59,7.49,7.54,18165.32
85,1648828800000.0,7.53,7.74,7.51,7.61,46253.8
86,1648832400000.0,7.62,7.75,7.61,7.72,17578.5
87,1648836000000.0,7.72,8.0,7.71,7.74,218040.36
88,1648839600000.0,7.74,7.81,7.46,7.76,160378.93
89,1648843200000.0,7.75,7.77,7.43,7.53,45299.03
90,1648846800000.0,7.54,7.64,7.54,7.63,10356.65
91,1648850400000.0,7.62,7.66,7.58,7.59,9947.8
92,1648854000000.0,7.59,7.71,7.41,7.7,59907.16
93,1648857600000.0,7.7,7.79,7.64,7.77,14205.47
94,1648861200000.0,7.76,7.79,7.72,7.74,5957.84
95,1648864800000.0,7.76,7.78,7.67,7.77,11573.81
96,1648868400000.0,7.77,7.78,7.5,7.66,60586.68
97,1648872000000.0,7.66,7.68,7.62,7.66,8063.18
98,1648875600000.0,7.65,7.72,7.64,7.71,15953.21
99,1648879200000.0,7.71,7.73,7.67,7.72,4196.97
100,1648882800000.0,7.72,7.77,7.66,7.73,22208.09
101,1648886400000.0,7.74,7.84,7.67,7.75,35773.83
102,1648890000000.0,7.75,7.8,7.72,7.75,12927.6
103,1648893600000.0,7.75,7.77,7.7,7.71,14724.63
104,1648897200000.0,7.71,7.74,7.66,7.68,10512.34
105,1648900800000.0,7.68,7.74,7.65,7.71,11286.89
106,1648904400000.0,7.71,7.79,7.68,7.74,15106.51
107,1648908000000.0,7.74,7.76,7.67,7.71,9591.18
