,times,opens,highs,lows,closes,volumes
0,1648551600000.0,3.3114,3.35,3.2658,3.3464,340702.0
1,1648555200000.0,3.3466,3.36,3.2669,3.2717,484085.7
2,1648558800000.0,3.2735,3.3,3.2607,3.2729,281896.6
3,1648562400000.0,3.2719,3.395,3.2456,3.3941,466515.4
4,1648566000000.0,3.3942,3.6363,3.3545,3.3754,3698815.6
5,1648569600000.0,3.3742,3.4855,3.2464,3.4731,1775148.7
6,1648573200000.0,3.4731,3.5098,3.329,3.4736,943327.7
7,1648576800000.0,3.4703,3.4703,3.3803,3.41,523026.0
8,1648580400000.0,3.4131,3.45,3.3171,3.4088,453282.5
9,1648584000000.0,3.4093,3.4146,3.3185,3.3325,276375.1
10,1648587600000.0,3.3329,3.341,3.2348,3.2776,404833.3
11,1648591200000.0,3.2769,3.31,3.2435,3.2435,281682.9
12,1648594800000.0,3.248,3.317,3.2446,3.2977,273902.2
13,1648598400000.0,3.2977,3.3014,3.2477,3.2967,233709.7
14,1648602000000.0,3.2976,3.3353,3.2,3.2,483485.2
15,1648605600000.0,3.2,3.34,3.1988,3.3334,333328.7
16,1648609200000.0,3.3318,3.4696,3.32,3.4301,607959.6
17,1648612800000.0,3.43,3.4386,3.3213,3.3864,355466.8
18,1648616400000.0,3.3863,3.51,3.3753,3.4625,870565.9
19,1648620000000.0,3.466,3.51,3.39,3.4548,612663.7
20,1648623600000.0,3.4576,3.4989,3.4169,3.4742,353264.0
21,1648627200000.0,3.4742,3.6246,3.439,3.5387,608344.9
22,1648630800000.0,3.5381,3.5499,3.4474,3.5036,439649.9
23,1648634400000.0,3.5063,3.53,3.4141,3.4231,307910.3
24,1648638000000.0,3.4232,3.469,3.3909,3.4557,248880.5
25,1648641600000.0,3.4565,3.4966,3.4023,3.4697,386081.3
26,1648645200000.0,3.4694,3.4694,3.3901,3.4037,372058.6
27,1648648800000.0,3.4037,3.416,3.3588,3.409,351836.0
28,1648652400000.0,3.4078,3.4156,3.3083,3.356,454569.7
29,1648656000000.0,3.3566,3.3773,3.3194,3.3677,254730.9
