,times,opens,highs,lows,closes,volumes
0,1647259200000.0,1.7155,1.7817,1.7117,1.7353,763058.0
1,1647262800000.0,1.7339,1.7353,1.6877,1.6902,415119.0
2,1647266400000.0,1.6897,1.7113,1.6847,1.7079,164168.0
3,1647270000000.0,1.7066,1.709,1.675,1.6789,104581.0
4,1647273600000.0,1.6783,1.6816,1.6662,1.667,150874.0
5,1647277200000.0,1.6682,1.673,1.6581,1.6621,109494.0
6,1647280800000.0,1.6618,1.6677,1.6582,1.6629,100172.0
7,1647284400000.0,1.6635,1.6692,1.661,1.6665,74945.0
8,1647288000000.0,1.6668,1.6725,1.6513,1.6573,103986.0
9,1647291600000.0,1.6557,1.6701,1.6537,1.6645,32076.0
10,1647295200000.0,1.6672,1.7012,1.6658,1.6848,84354.0
11,1647298800000.0,1.6871,1.7063,1.6851,1.7001,69506.0
12,1647302400000.0,1.6988,1.705,1.689,1.702,58574.0
13,1647306000000.0,1.7018,1.71,1.6748,1.6965,194036.0
14,1647309600000.0,1.6965,1.7402,1.6867,1.6902,206689.0
15,1647313200000.0,1.69,1.6965,1.678,1.6808,59546.0
16,1647316800000.0,1.6805,1.6898,1.678,1.6848,46288.0
17,1647320400000.0,1.6831,1.7,1.6762,1.6917,63121.0
18,1647324000000.0,1.6921,1.6936,1.6751,1.6756,108157.0
19,1647327600000.0,1.6754,1.6767,1.6544,1.6594,153441.0
20,1647331200000.0,1.6591,1.6814,1.6328,1.6403,187600.0
21,1647334800000.0,1.6403,1.655,1.6382,1.6471,130193.0
22,1647338400000.0,1.6484,1.6674,1.6472,1.6564,86247.0
23,1647342000000.0,1.6571,1.6594,1.6511,1.6526,47521.0
24,1647345600000.0,1.6525,1.6634,1.652,1.6569,50087.0
25,1647349200000.0,1.6569,1.6579,1.6314,1.6367,88052.0
26,1647352800000.0,1.6369,1.6581,1.634,1.6473,111012.0
27,1647356400000.0,1.6506,1.6582,1.6416,1.6519,82985.0
28,1647360000000.0,1.6511,1.6744,1.65,1.6626,74888.0
29,1647363600000.0,1.6634,1.67,1.6587,1.6671,43983.0
30,1647367200000.0,1.6668,1.6807,1.6601,1.6784,71383.0
31,1647370800000.0,1.6765,1.6938,1.6716,1.6801,98048.0
32,1647374400000.0,1.6829,1.6879,1.6675,1.67,56377.0
33,1647378000000.0,1.6728,1.6798,1.663,1.6718,41620.0
