,times,opens,highs,lows,closes,volumes
0,1641384000000.0,0.8631,0.866,0.8473,0.8588,688139.0
1,1641387600000.0,0.8597,0.8627,0.8494,0.8545,278961.0
2,1641391200000.0,0.8545,0.856,0.8433,0.8514,467220.0
3,1641394800000.0,0.8514,0.8528,0.8439,0.8488,216047.0
4,1641398400000.0,0.8481,0.8535,0.8438,0.8449,356224.0
5,1641402000000.0,0.8454,0.8523,0.831,0.831,416562.0
6,1641405600000.0,0.831,0.8476,0.8265,0.8373,730094.0
7,1641409200000.0,0.8375,0.845,0.8031,0.8097,2351726.0
8,1641412800000.0,0.8095,0.8308,0.7982,0.8185,2026421.0
9,1641416400000.0,0.8167,0.8362,0.8164,0.8219,1094923.0
10,1641420000000.0,0.8219,0.8244,0.7371,0.7794,3618600.0
11,1641423600000.0,0.7782,0.7888,0.7689,0.7725,765994.0
12,1641427200000.0,0.7731,0.7899,0.7668,0.7824,827451.0
13,1641430800000.0,0.7823,0.7869,0.7518,0.7597,1847976.0
14,1641434400000.0,0.759,0.7626,0.748,0.7502,823224.0
15,1641438000000.0,0.7499,0.7557,0.7206,0.7219,2538012.0
16,1641441600000.0,0.7219,0.733,0.7035,0.7243,2942331.0
17,1641445200000.0,0.7242,0.7323,0.7204,0.725,1156318.0
18,1641448800000.0,0.7247,0.7329,0.7177,0.7262,707541.0
19,1641452400000.0,0.7254,0.736,0.7236,0.7318,606822.0
20,1641456000000.0,0.731,0.7329,0.713,0.7208,526300.0
21,1641459600000.0,0.7211,0.722,0.6993,0.7033,697129.0
22,1641463200000.0,0.7036,0.7195,0.7036,0.7144,408818.0
23,1641466800000.0,0.7156,0.7184,0.7067,0.7124,317372.0
24,1641470400000.0,0.7118,0.7172,0.7045,0.717,949656.0
25,1641474000000.0,0.717,0.7278,0.712,0.7272,910088.0
26,1641477600000.0,0.7266,0.7309,0.7171,0.7203,829461.0
27,1641481200000.0,0.7203,0.7257,0.7131,0.7245,502692.0
28,1641484800000.0,0.724,0.7268,0.715,0.7215,247694.0
29,1641488400000.0,0.7215,0.7273,0.7179,0.7206,204445.0
30,1641492000000.0,0.7217,0.7333,0.7213,0.7321,279937.0
31,1641495600000.0,0.7321,0.7342,0.7246,0.7313,446778.0
32,1641499200000.0,0.7315,0.7329,0.7206,0.7226,440068.0
33,1641502800000.0,0.7234,0.7341,0.722,0.7303,567486.0
34,1641506400000.0,0.7302,0.7339,0.7243,0.7249,668130.0
35,1641510000000.0,0.7245,0.7269,0.7164,0.7198,434845.0
36,1641513600000.0,0.7193,0.7233,0.7003,0.703,714862.0
37,1641517200000.0,0.7025,0.7236,0.7021,0.7208,1060998.0
38,1641520800000.0,0.7206,0.7227,0.7146,0.7189,709921.0
39,1641524400000.0,0.7186,0.7365,0.6745,0.6762,4421145.0
40,1641528000000.0,0.6756,0.6791,0.6448,0.6651,4092183.0
41,1641531600000.0,0.6657,0.673,0.659,0.6677,818040.0
42,1641535200000.0,0.667,0.6679,0.6502,0.6535,455158.0
43,1641538800000.0,0.6539,0.6622,0.6435,0.6613,426692.0
44,1641542400000.0,0.6613,0.6766,0.6583,0.6715,626701.0
45,1641546000000.0,0.6722,0.6806,0.671,0.6773,470939.0
46,1641549600000.0,0.6773,0.6819,0.6646,0.6647,663332.0
47,1641553200000.0,0.6644,0.6714,0.6638,0.6671,251649.0
48,1641556800000.0,0.6683,0.6744,0.6662,0.6671,299810.0
49,1641560400000.0,0.6689,0.6729,0.6478,0.6551,1216012.0
50,1641564000000.0,0.6551,0.6682,0.6522,0.6649,391435.0
51,1641567600000.0,0.6656,0.6656,0.6385,0.6526,725480.0
52,1641571200000.0,0.653,0.6683,0.6425,0.6657,558381.0
53,1641574800000.0,0.6656,0.6661,0.6569,0.6644,259506.0
54,1641578400000.0,0.6642,0.6653,0.6475,0.6515,172322.0
55,1641582000000.0,0.6524,0.658,0.6474,0.6555,241470.0
56,1641585600000.0,0.655,0.6624,0.6502,0.6578,353830.0
57,1641589200000.0,0.6569,0.6609,0.6546,0.657,129940.0
58,1641592800000.0,0.6573,0.6573,0.6433,0.6464,301660.0
59,1641596400000.0,0.6448,0.6506,0.6421,0.6468,161366.0
60,1641600000000.0,0.6494,0.6633,0.6456,0.6614,303577.0
61,1641603600000.0,0.6615,0.6662,0.6593,0.6602,225899.0
62,1641607200000.0,0.6606,0.6631,0.6561,0.66,418052.0
63,1641610800000.0,0.66,0.66,0.6533,0.6568,209025.0
64,1641614400000.0,0.6576,0.663,0.6561,0.6603,138633.0
65,1641618000000.0,0.6603,0.6654,0.6587,0.6607,320666.0
66,1641621600000.0,0.6613,0.6689,0.6561,0.6659,556310.0
67,1641625200000.0,0.6653,0.6725,0.664,0.6693,404473.0
68,1641628800000.0,0.6691,0.6722,0.6674,0.668,224698.0
69,1641632400000.0,0.668,0.6754,0.668,0.6741,324186.0
70,1641636000000.0,0.6747,0.7049,0.6636,0.6651,1746126.0
71,1641639600000.0,0.6658,0.67,0.6621,0.6672,359554.0
72,1641643200000.0,0.6672,0.6743,0.6593,0.6635,281033.0
73,1641646800000.0,0.6635,0.6657,0.6559,0.6653,515993.0
74,1641650400000.0,0.6656,0.6681,0.6556,0.6563,487186.0
75,1641654000000.0,0.6563,0.6582,0.6444,0.6491,494739.0
76,1641657600000.0,0.6491,0.6528,0.6229,0.6283,1110302.0
77,1641661200000.0,0.6283,0.6285,0.6063,0.6069,816766.0
78,1641664800000.0,0.6089,0.6152,0.5897,0.5946,839218.0
79,1641668400000.0,0.5953,0.6055,0.593,0.6019,347402.0
80,1641672000000.0,0.6028,0.6063,0.5944,0.6008,512750.0
81,1641675600000.0,0.6013,0.6166,0.6009,0.6149,426840.0
82,1641679200000.0,0.6145,0.6275,0.6145,0.622,252190.0
83,1641682800000.0,0.6214,0.6222,0.6121,0.6125,127001.0
84,1641686400000.0,0.6122,0.6253,0.6095,0.6221,346110.0
85,1641690000000.0,0.6223,0.6243,0.6116,0.6161,227925.0
86,1641693600000.0,0.6155,0.6267,0.6155,0.6254,528403.0
87,1641697200000.0,0.6243,0.6244,0.6152,0.6158,267865.0
88,1641700800000.0,0.6158,0.6255,0.6158,0.6251,152841.0
89,1641704400000.0,0.6248,0.626,0.6177,0.6188,250795.0
90,1641708000000.0,0.6187,0.6255,0.6164,0.6252,165458.0
91,1641711600000.0,0.6251,0.6279,0.6225,0.6234,138453.0
92,1641715200000.0,0.623,0.6277,0.6162,0.6218,283506.0
93,1641718800000.0,0.6212,0.623,0.6075,0.6135,985782.0
94,1641722400000.0,0.6131,0.6202,0.6097,0.617,222246.0
95,1641726000000.0,0.6174,0.627,0.6174,0.6227,243263.0
96,1641729600000.0,0.6223,0.6242,0.619,0.6214,122802.0
97,1641733200000.0,0.6203,0.6248,0.6111,0.6117,188482.0
98,1641736800000.0,0.6113,0.6176,0.6091,0.6096,523497.0
99,1641740400000.0,0.6091,0.6137,0.6042,0.6131,262202.0
100,1641744000000.0,0.6133,0.6317,0.6117,0.6315,326023.0
101,1641747600000.0,0.6317,0.6328,0.6211,0.6265,677852.0
102,1641751200000.0,0.6265,0.6342,0.6259,0.6272,369758.0
103,1641754800000.0,0.6277,0.6398,0.6267,0.6356,260705.0
104,1641758400000.0,0.6359,0.6388,0.6343,0.6368,373720.0
105,1641762000000.0,0.6368,0.6372,0.6275,0.6288,214491.0
106,1641765600000.0,0.6288,0.6342,0.6233,0.6252,188991.0
107,1641769200000.0,0.6262,0.628,0.6177,0.6197,170431.0
108,1641772800000.0,0.6201,0.6276,0.6168,0.6168,193811.0
109,1641776400000.0,0.6171,0.6274,0.6155,0.6197,246007.0
110,1641780000000.0,0.6201,0.6222,0.615,0.6185,258872.0
111,1641783600000.0,0.6187,0.6189,0.6134,0.6167,198934.0
112,1641787200000.0,0.6168,0.6246,0.6142,0.6239,178114.0
113,1641790800000.0,0.6241,0.6245,0.6173,0.6201,316424.0
114,1641794400000.0,0.6206,0.6209,0.6145,0.6171,309021.0
115,1641798000000.0,0.6172,0.6228,0.6165,0.622,135086.0
116,1641801600000.0,0.6218,0.6231,0.6154,0.6192,133776.0
117,1641805200000.0,0.6185,0.6203,0.6132,0.6146,154073.0
118,1641808800000.0,0.6142,0.6189,0.6098,0.6104,176388.0
119,1641812400000.0,0.6098,0.6098,0.6006,0.6025,366071.0
120,1641816000000.0,0.6028,0.6037,0.5746,0.5762,3167676.0
121,1641819600000.0,0.5767,0.581,0.5685,0.57,1307485.0
122,1641823200000.0,0.5693,0.5868,0.5528,0.5756,4457407.0
123,1641826800000.0,0.5773,0.5788,0.5675,0.5764,434257.0
124,1641830400000.0,0.5753,0.5897,0.5693,0.5885,677982.0
125,1641834000000.0,0.5889,0.5914,0.5641,0.5736,599573.0
126,1641837600000.0,0.5742,0.5802,0.5713,0.5773,203349.0
127,1641841200000.0,0.5766,0.5791,0.5666,0.5681,211217.0
128,1641844800000.0,0.5697,0.586,0.5675,0.5839,194510.0
129,1641848400000.0,0.5836,0.587,0.5805,0.5818,141660.0
130,1641852000000.0,0.5828,0.5849,0.5795,0.5819,89285.0
131,1641855600000.0,0.5829,0.5906,0.5805,0.5878,143074.0
132,1641859200000.0,0.5872,0.5894,0.58,0.5817,151069.0
133,1641862800000.0,0.5812,0.5901,0.5796,0.5871,221190.0
134,1641866400000.0,0.5882,0.5972,0.5858,0.5935,268155.0
135,1641870000000.0,0.5942,0.5978,0.5927,0.597,206571.0
136,1641873600000.0,0.5973,0.5995,0.5926,0.5954,162845.0
137,1641877200000.0,0.5954,0.5957,0.5899,0.5936,186459.0
138,1641880800000.0,0.5931,0.5971,0.588,0.5941,289070.0
139,1641884400000.0,0.594,0.6036,0.592,0.5993,258134.0
140,1641888000000.0,0.5995,0.6059,0.5958,0.6003,377899.0
141,1641891600000.0,0.6004,0.6015,0.5949,0.5965,122590.0
142,1641895200000.0,0.5967,0.5987,0.5849,0.5871,440205.0
143,1641898800000.0,0.587,0.6005,0.5868,0.5977,279292.0
144,1641902400000.0,0.5971,0.6078,0.5941,0.6024,301686.0
145,1641906000000.0,0.6017,0.6096,0.5979,0.6029,338170.0
146,1641909600000.0,0.6025,0.6076,0.5884,0.5985,251617.0
147,1641913200000.0,0.5983,0.6038,0.5919,0.5991,163451.0
148,1641916800000.0,0.5998,0.6139,0.5984,0.6103,449757.0
149,1641920400000.0,0.6107,0.62,0.6043,0.6107,416750.0
150,1641924000000.0,0.6101,0.6131,0.6069,0.6097,164784.0
151,1641927600000.0,0.6103,0.6125,0.6067,0.6115,143044.0
152,1641931200000.0,0.6123,0.6143,0.6074,0.6092,120584.0
153,1641934800000.0,0.6096,0.6108,0.6069,0.6084,107524.0
154,1641938400000.0,0.609,0.6105,0.6063,0.6082,95346.0
155,1641942000000.0,0.6084,0.6676,0.6073,0.6169,2140868.0
156,1641945600000.0,0.6179,0.6378,0.6161,0.6371,735071.0
157,1641949200000.0,0.6379,0.6412,0.6301,0.6381,637340.0
158,1641952800000.0,0.6382,0.6389,0.6246,0.627,391734.0
159,1641956400000.0,0.6271,0.6296,0.6243,0.6291,183125.0
160,1641960000000.0,0.6291,0.6323,0.6248,0.6317,241315.0
161,1641963600000.0,0.6317,0.6317,0.6269,0.6302,105384.0
162,1641967200000.0,0.6302,0.6338,0.629,0.6326,497426.0
163,1641970800000.0,0.6324,0.6325,0.6239,0.6291,394964.0
164,1641974400000.0,0.6292,0.6325,0.6273,0.6283,184721.0
165,1641978000000.0,0.6283,0.6384,0.6272,0.6379,366206.0
166,1641981600000.0,0.6371,0.6419,0.6339,0.6356,342214.0
167,1641985200000.0,0.6346,0.6435,0.6327,0.6375,258544.0
168,1641988800000.0,0.6375,0.6458,0.6356,0.6422,489267.0
169,1641992400000.0,0.643,0.6585,0.6401,0.657,617083.0
170,1641996000000.0,0.657,0.6604,0.6508,0.6585,497012.0
171,1641999600000.0,0.6576,0.6616,0.6534,0.6558,331217.0
172,1642003200000.0,0.6553,0.6716,0.6519,0.6686,660462.0
173,1642006800000.0,0.6689,0.6718,0.6642,0.6681,317470.0
174,1642010400000.0,0.6675,0.6712,0.6631,0.665,365835.0
175,1642014000000.0,0.6635,0.6697,0.6614,0.6685,199306.0
176,1642017600000.0,0.6682,0.6748,0.667,0.6672,168793.0
177,1642021200000.0,0.6684,0.6748,0.6652,0.667,193486.0
178,1642024800000.0,0.6667,0.6766,0.6653,0.6658,302185.0
179,1642028400000.0,0.6663,0.6716,0.6652,0.6666,227643.0
180,1642032000000.0,0.6665,0.6812,0.6657,0.6712,653724.0
181,1642035600000.0,0.6707,0.6735,0.6516,0.6542,416817.0
182,1642039200000.0,0.6542,0.6578,0.652,0.6534,156375.0
183,1642042800000.0,0.6534,0.6553,0.6483,0.6535,255449.0
184,1642046400000.0,0.6535,0.656,0.652,0.6522,115984.0
185,1642050000000.0,0.6522,0.6544,0.6479,0.6517,209110.0
186,1642053600000.0,0.6512,0.6631,0.6512,0.6586,350119.0
187,1642057200000.0,0.658,0.6604,0.6557,0.6578,129169.0
188,1642060800000.0,0.6578,0.6633,0.6573,0.6616,184782.0
189,1642064400000.0,0.6616,0.6625,0.6576,0.6603,258364.0
190,1642068000000.0,0.6611,0.6637,0.6556,0.6562,202642.0
191,1642071600000.0,0.6563,0.6576,0.6469,0.6473,344639.0
192,1642075200000.0,0.6472,0.6576,0.6468,0.6573,268516.0
193,1642078800000.0,0.6572,0.6647,0.6532,0.6601,433403.0
194,1642082400000.0,0.66,0.678,0.6579,0.6688,718529.0
195,1642086000000.0,0.6695,0.6703,0.6426,0.653,759807.0
196,1642089600000.0,0.653,0.6686,0.6459,0.6573,662717.0
197,1642093200000.0,0.6574,0.6663,0.6402,0.6523,876469.0
198,1642096800000.0,0.6523,0.6554,0.6453,0.6505,185883.0
199,1642100400000.0,0.65,0.6566,0.6433,0.6525,201742.0
200,1642104000000.0,0.6525,0.6525,0.6399,0.6489,241673.0
201,1642107600000.0,0.6481,0.6513,0.637,0.6406,402713.0
202,1642111200000.0,0.641,0.6416,0.635,0.6385,145002.0
203,1642114800000.0,0.6378,0.6378,0.6255,0.6286,282313.0
204,1642118400000.0,0.6287,0.6317,0.62,0.6288,566085.0
205,1642122000000.0,0.6287,0.6299,0.6258,0.6271,176034.0
206,1642125600000.0,0.6268,0.6274,0.6202,0.623,151279.0
207,1642129200000.0,0.6233,0.6308,0.6207,0.6214,539279.0
208,1642132800000.0,0.6214,0.6285,0.6213,0.6261,173099.0
209,1642136400000.0,0.6261,0.6346,0.6252,0.634,298223.0
210,1642140000000.0,0.6338,0.6392,0.6335,0.6342,207256.0
211,1642143600000.0,0.6347,0.637,0.63,0.6322,329281.0
212,1642147200000.0,0.6316,0.6322,0.6224,0.6265,376896.0
213,1642150800000.0,0.6275,0.6312,0.6257,0.6271,125341.0
214,1642154400000.0,0.6262,0.6303,0.6141,0.617,290608.0
215,1642158000000.0,0.6155,0.6202,0.6123,0.617,269629.0
216,1642161600000.0,0.6172,0.622,0.6101,0.6176,236227.0
217,1642165200000.0,0.6174,0.6222,0.6159,0.6207,222961.0
218,1642168800000.0,0.6207,0.6348,0.6204,0.6323,339734.0
219,1642172400000.0,0.6318,0.6392,0.6273,0.6321,270817.0
220,1642176000000.0,0.6322,0.6355,0.6267,0.634,231602.0
221,1642179600000.0,0.634,0.6357,0.6276,0.6295,209131.0
222,1642183200000.0,0.6287,0.6334,0.6278,0.6325,134075.0
223,1642186800000.0,0.6321,0.6377,0.6317,0.6345,111189.0
224,1642190400000.0,0.6346,0.6365,0.6323,0.6338,101110.0
225,1642194000000.0,0.6332,0.6382,0.6332,0.6358,113074.0
226,1642197600000.0,0.6363,0.641,0.6329,0.6388,153014.0
227,1642201200000.0,0.6393,0.6448,0.6368,0.644,251434.0
228,1642204800000.0,0.643,0.6489,0.6415,0.6467,197891.0
229,1642208400000.0,0.647,0.6476,0.639,0.6445,219361.0
230,1642212000000.0,0.6445,0.65,0.6432,0.6477,128693.0
231,1642215600000.0,0.6479,0.6479,0.6427,0.6441,84731.0
232,1642219200000.0,0.6441,0.6488,0.6432,0.6475,150945.0
233,1642222800000.0,0.6471,0.651,0.6451,0.6483,143796.0
