,times,opens,highs,lows,closes,volumes
0,1651226400000.0,3.55,9.0,3.55,5.799,11450474.03
1,1651230000000.0,5.79,6.684,5.777,6.276,3285698.14
2,1651233600000.0,6.27,6.45,5.818,6.0,1581374.56
3,1651237200000.0,6.0,6.218,5.281,5.365,1807690.82
4,1651240800000.0,5.36,5.68,4.7,4.964,2987803.24
5,1651244400000.0,4.966,5.29,4.771,5.119,1034031.03
6,1651248000000.0,5.119,5.32,4.9,5.254,783149.61
7,1651251600000.0,5.254,5.26,5.021,5.196,418048.55
8,1651255200000.0,5.196,5.426,5.047,5.349,674833.53
9,1651258800000.0,5.362,5.45,4.787,4.891,800650.48
10,1651262400000.0,4.893,4.931,4.02,4.64,717569.52
11,1651266000000.0,4.64,4.724,4.304,4.309,394814.76
12,1651269600000.0,4.31,4.418,4.26,4.359,416595.54
13,1651273200000.0,4.366,4.54,4.301,4.436,445078.05
14,1651276800000.0,4.429,4.541,4.323,4.372,488296.14
15,1651280400000.0,4.372,4.49,4.235,4.46,470695.24
16,1651284000000.0,4.457,4.545,4.342,4.513,469174.09
17,1651287600000.0,4.513,5.25,4.413,5.038,1358424.89
18,1651291200000.0,5.033,5.385,4.82,4.922,1522580.41
19,1651294800000.0,4.925,4.93,4.621,4.757,653936.46
20,1651298400000.0,4.752,4.896,4.44,4.68,667980.23
21,1651302000000.0,4.687,5.2,4.685,5.199,854555.5
22,1651305600000.0,5.191,5.98,5.034,5.542,3549254.99
23,1651309200000.0,5.533,6.128,5.531,5.885,3644867.43
24,1651312800000.0,5.881,6.004,5.213,5.375,2163771.47
25,1651316400000.0,5.375,5.497,5.001,5.149,733047.93
26,1651320000000.0,5.143,5.42,5.136,5.261,603002.04
27,1651323600000.0,5.26,5.322,4.936,5.017,587064.69
28,1651327200000.0,5.016,5.08,4.745,4.884,633040.18
29,1651330800000.0,4.884,5.083,4.75,4.996,369709.01
30,1651334400000.0,4.989,5.164,4.758,4.846,339008.42
31,1651338000000.0,4.833,4.87,4.579,4.584,267884.42
32,1651341600000.0,4.589,4.722,4.495,4.541,226110.8
33,1651345200000.0,4.541,4.845,4.417,4.615,238765.34
34,1651348800000.0,4.616,4.709,4.476,4.528,120738.21
35,1651352400000.0,4.526,4.588,4.41,4.486,130139.67
36,1651356000000.0,4.486,4.816,4.446,4.654,433224.09
37,1651359600000.0,4.654,4.849,4.322,4.44,577641.56
38,1651363200000.0,4.44,4.539,4.112,4.122,480103.47
39,1651366800000.0,4.122,4.284,4.112,4.145,225427.7
40,1651370400000.0,4.145,4.268,4.122,4.222,169775.85
41,1651374000000.0,4.221,4.225,4.134,4.14,88110.8
42,1651377600000.0,4.14,4.171,3.826,3.893,320329.54
43,1651381200000.0,3.893,4.126,3.87,4.029,205354.26
44,1651384800000.0,4.029,4.059,3.96,3.995,97759.66
45,1651388400000.0,3.991,4.03,3.891,4.017,84639.18
46,1651392000000.0,4.017,4.093,3.936,4.075,156842.81
47,1651395600000.0,4.072,4.092,3.959,4.039,125515.35
48,1651399200000.0,4.039,4.206,4.031,4.096,192372.95
49,1651402800000.0,4.096,4.144,4.011,4.03,96362.22
50,1651406400000.0,4.029,4.043,3.886,3.913,168744.88
51,1651410000000.0,3.912,3.99,3.904,3.927,105885.35
52,1651413600000.0,3.927,3.93,3.831,3.902,134725.2
53,1651417200000.0,3.902,3.952,3.862,3.946,131271.12
54,1651420800000.0,3.944,4.119,3.923,3.986,263896.09
55,1651424400000.0,3.985,4.0,3.893,3.916,81866.59
56,1651428000000.0,3.914,3.929,3.842,3.851,50846.82
57,1651431600000.0,3.851,3.926,3.803,3.879,100482.33
58,1651435200000.0,3.881,3.923,3.842,3.903,72410.41
59,1651438800000.0,3.903,4.25,3.887,4.2,264633.2
60,1651442400000.0,4.198,4.352,4.077,4.11,351800.14
61,1651446000000.0,4.11,4.123,4.063,4.063,69810.37
62,1651449600000.0,4.063,4.198,4.05,4.106,124257.74
63,1651453200000.0,4.107,4.109,4.001,4.004,60251.05
64,1651456800000.0,4.004,4.05,3.962,4.015,60482.44
65,1651460400000.0,4.009,4.099,4.009,4.063,36711.25
66,1651464000000.0,4.069,4.198,4.041,4.128,159038.06
67,1651467600000.0,4.123,4.228,4.091,4.117,141003.39
68,1651471200000.0,4.117,4.168,4.087,4.087,70739.15
69,1651474800000.0,4.085,4.09,4.013,4.013,87658.06
70,1651478400000.0,4.011,4.016,3.901,3.95,138892.45
71,1651482000000.0,3.959,3.962,3.888,3.892,144588.62
72,1651485600000.0,3.886,3.892,3.75,3.782,147109.72
73,1651489200000.0,3.784,3.79,3.686,3.71,165381.19
74,1651492800000.0,3.707,3.761,3.655,3.746,119552.99
75,1651496400000.0,3.742,3.779,3.681,3.753,97435.49
76,1651500000000.0,3.761,3.781,3.681,3.686,90811.48
77,1651503600000.0,3.686,3.717,3.642,3.687,68930.39
78,1651507200000.0,3.687,3.7,3.535,3.605,159534.36
79,1651510800000.0,3.606,3.608,3.51,3.522,89324.12
80,1651514400000.0,3.522,3.581,3.5,3.581,73044.15
81,1651518000000.0,3.584,3.638,3.574,3.627,44588.29
82,1651521600000.0,3.627,3.661,3.552,3.567,47795.63
83,1651525200000.0,3.567,3.721,3.558,3.625,116995.9
84,1651528800000.0,3.625,3.706,3.619,3.672,55909.69
85,1651532400000.0,3.668,3.677,3.643,3.662,30864.86
86,1651536000000.0,3.662,3.69,3.566,3.579,76170.38
87,1651539600000.0,3.578,3.69,3.565,3.676,92763.64
88,1651543200000.0,3.675,3.754,3.661,3.668,76680.8
89,1651546800000.0,3.665,3.672,3.6,3.632,56087.69
90,1651550400000.0,3.632,3.805,3.632,3.721,102345.07
91,1651554000000.0,3.719,3.741,3.67,3.674,30557.05
92,1651557600000.0,3.674,3.73,3.67,3.688,35596.09
93,1651561200000.0,3.688,3.712,3.658,3.663,35685.36
94,1651564800000.0,3.659,3.716,3.652,3.698,42946.66
95,1651568400000.0,3.698,3.751,3.662,3.702,81161.69
96,1651572000000.0,3.702,3.708,3.681,3.682,47283.04
97,1651575600000.0,3.683,3.76,3.682,3.73,61030.63
98,1651579200000.0,3.723,3.985,3.719,3.804,398974.89
99,1651582800000.0,3.796,3.811,3.681,3.709,123739.63
100,1651586400000.0,3.707,3.778,3.68,3.69,135637.2
101,1651590000000.0,3.69,3.804,3.642,3.667,172608.91
102,1651593600000.0,3.666,3.672,3.61,3.628,67142.04
103,1651597200000.0,3.629,3.629,3.552,3.594,70140.63
104,1651600800000.0,3.594,3.6,3.524,3.55,40448.08
105,1651604400000.0,3.544,3.564,3.53,3.544,25772.22
106,1651608000000.0,3.544,3.565,3.516,3.52,25871.9
107,1651611600000.0,3.531,3.553,3.513,3.548,30795.17
108,1651615200000.0,3.548,3.549,3.453,3.46,69102.32
109,1651618800000.0,3.46,3.46,3.395,3.405,60066.33
110,1651622400000.0,3.405,3.486,3.399,3.478,76306.18
111,1651626000000.0,3.48,3.488,3.439,3.441,35846.38
112,1651629600000.0,3.441,3.465,3.44,3.458,25336.79
113,1651633200000.0,3.457,3.462,3.4,3.401,30999.78
114,1651636800000.0,3.401,3.44,3.36,3.415,89833.64
115,1651640400000.0,3.406,3.421,3.362,3.41,50460.42
116,1651644000000.0,3.416,3.437,3.374,3.437,46256.67
117,1651647600000.0,3.438,3.459,3.391,3.394,52576.72
118,1651651200000.0,3.399,3.435,3.386,3.423,59476.53
119,1651654800000.0,3.428,3.474,3.363,3.385,134170.67
120,1651658400000.0,3.385,3.404,3.355,3.372,121782.91
121,1651662000000.0,3.367,3.374,3.33,3.356,98032.76
122,1651665600000.0,3.356,3.41,3.348,3.369,78318.55
123,1651669200000.0,3.368,3.521,3.348,3.45,214927.64
124,1651672800000.0,3.45,3.499,3.411,3.439,74421.54
125,1651676400000.0,3.431,3.438,3.363,3.379,72194.29
126,1651680000000.0,3.379,3.433,3.375,3.377,48343.99
127,1651683600000.0,3.383,3.402,3.358,3.377,52437.26
128,1651687200000.0,3.38,3.481,3.38,3.471,65277.93
129,1651690800000.0,3.472,3.542,3.444,3.53,147654.11
130,1651694400000.0,3.53,3.59,3.498,3.557,95537.7
131,1651698000000.0,3.557,3.584,3.5,3.53,73932.87
132,1651701600000.0,3.53,3.589,3.5,3.539,64564.11
133,1651705200000.0,3.548,3.573,3.507,3.558,84949.4
134,1651708800000.0,3.56,3.61,3.504,3.556,95559.54
135,1651712400000.0,3.565,3.618,3.557,3.584,64069.4
