,times,opens,highs,lows,closes,volumes
0,1641384000000.0,0.7385,0.74,0.7323,0.7392,539673.0
1,1641387600000.0,0.739,0.7444,0.7354,0.743,166612.0
2,1641391200000.0,0.743,0.7455,0.7355,0.7419,306961.0
3,1641394800000.0,0.7428,0.7443,0.739,0.7422,262028.0
4,1641398400000.0,0.7422,0.7444,0.739,0.741,110642.0
5,1641402000000.0,0.7414,0.7427,0.7322,0.7322,255649.0
6,1641405600000.0,0.7333,0.7416,0.7283,0.735,288897.0
7,1641409200000.0,0.7339,0.7358,0.7094,0.7148,1286216.0
8,1641412800000.0,0.7148,0.7255,0.7076,0.7134,1152631.0
9,1641416400000.0,0.7143,0.7243,0.7,0.7008,563046.0
10,1641420000000.0,0.7,0.7045,0.6512,0.6829,1410003.0
11,1641423600000.0,0.6813,0.6869,0.6765,0.6845,453716.0
12,1641427200000.0,0.6844,0.6933,0.6747,0.6878,518993.0
13,1641430800000.0,0.6879,0.6903,0.6738,0.678,301619.0
14,1641434400000.0,0.6769,0.6804,0.669,0.67,456296.0
15,1641438000000.0,0.6699,0.6768,0.661,0.6613,480278.0
16,1641441600000.0,0.662,0.6671,0.6474,0.6609,1119243.0
17,1641445200000.0,0.6606,0.67,0.6569,0.6649,242639.0
18,1641448800000.0,0.6653,0.67,0.6591,0.6668,182567.0
19,1641452400000.0,0.6676,0.6688,0.6612,0.6672,307557.0
20,1641456000000.0,0.6674,0.6693,0.6559,0.6612,325759.0
21,1641459600000.0,0.662,0.663,0.6493,0.6505,203147.0
22,1641463200000.0,0.6516,0.6596,0.6508,0.6558,304267.0
23,1641466800000.0,0.6563,0.6574,0.6505,0.6555,237599.0
24,1641470400000.0,0.6555,0.6668,0.6486,0.6579,562815.0
25,1641474000000.0,0.6603,0.6666,0.6563,0.6638,349803.0
26,1641477600000.0,0.6635,0.6673,0.659,0.6604,358842.0
27,1641481200000.0,0.6607,0.6634,0.6541,0.6622,212719.0
28,1641484800000.0,0.6611,0.6638,0.6571,0.6603,239952.0
29,1641488400000.0,0.6603,0.6668,0.6595,0.6665,180195.0
30,1641492000000.0,0.6653,0.6726,0.665,0.6722,129648.0
31,1641495600000.0,0.6714,0.6758,0.6689,0.6723,166200.0
32,1641499200000.0,0.6735,0.6754,0.6679,0.6721,92964.0
33,1641502800000.0,0.6725,0.6757,0.6698,0.6737,78235.0
34,1641506400000.0,0.6739,0.677,0.671,0.6744,99356.0
35,1641510000000.0,0.6743,0.6783,0.6707,0.6761,107788.0
36,1641513600000.0,0.677,0.6773,0.6618,0.6651,124545.0
37,1641517200000.0,0.6667,0.6679,0.6634,0.6665,108900.0
38,1641520800000.0,0.6657,0.6699,0.6615,0.6618,74066.0
39,1641524400000.0,0.662,0.6626,0.6344,0.6402,664094.0
40,1641528000000.0,0.639,0.6429,0.6238,0.6357,671385.0
41,1641531600000.0,0.6368,0.6433,0.6334,0.6415,257885.0
42,1641535200000.0,0.6409,0.6434,0.633,0.6349,266505.0
43,1641538800000.0,0.6355,0.6407,0.6262,0.6393,208785.0
44,1641542400000.0,0.6403,0.6494,0.6372,0.6436,396762.0
45,1641546000000.0,0.6446,0.6527,0.6445,0.649,174197.0
46,1641549600000.0,0.6487,0.6515,0.6453,0.6453,115966.0
47,1641553200000.0,0.6456,0.6498,0.644,0.6445,101557.0
48,1641556800000.0,0.6456,0.6514,0.6456,0.646,62175.0
49,1641560400000.0,0.6479,0.6525,0.6277,0.6349,515678.0
50,1641564000000.0,0.6358,0.6472,0.6337,0.6444,156691.0
51,1641567600000.0,0.6445,0.6445,0.6217,0.6348,302771.0
52,1641571200000.0,0.6338,0.6502,0.626,0.6493,415754.0
53,1641574800000.0,0.6477,0.6502,0.6422,0.6453,139448.0
54,1641578400000.0,0.6453,0.6459,0.6378,0.6417,173839.0
55,1641582000000.0,0.6429,0.6465,0.6368,0.6433,53645.0
56,1641585600000.0,0.6438,0.6468,0.639,0.6454,88577.0
57,1641589200000.0,0.6443,0.6536,0.641,0.6509,229888.0
58,1641592800000.0,0.6512,0.6535,0.6381,0.6475,860311.0
59,1641596400000.0,0.6472,0.6629,0.6439,0.648,661003.0
60,1641600000000.0,0.6489,0.6571,0.6452,0.6543,120232.0
61,1641603600000.0,0.6532,0.6603,0.6513,0.6519,147755.0
62,1641607200000.0,0.6527,0.6546,0.6479,0.6525,66774.0
63,1641610800000.0,0.6528,0.6547,0.645,0.6538,126275.0
64,1641614400000.0,0.6533,0.6602,0.65,0.6549,129460.0
65,1641618000000.0,0.655,0.658,0.6522,0.6541,123010.0
66,1641621600000.0,0.6545,0.6548,0.6502,0.6539,49956.0
67,1641625200000.0,0.6539,0.6552,0.6519,0.6541,52443.0
68,1641628800000.0,0.6542,0.6573,0.6399,0.6505,1261593.0
69,1641632400000.0,0.6506,0.652,0.649,0.6515,197408.0
70,1641636000000.0,0.6515,0.6523,0.6453,0.6489,159120.0
71,1641639600000.0,0.6481,0.6501,0.6457,0.6489,72400.0
72,1641643200000.0,0.6489,0.65,0.6444,0.6484,178655.0
73,1641646800000.0,0.6484,0.6514,0.6439,0.6462,179992.0
74,1641650400000.0,0.647,0.6498,0.6422,0.6422,69974.0
75,1641654000000.0,0.6431,0.6431,0.634,0.6368,192415.0
76,1641657600000.0,0.6356,0.64,0.6275,0.63,297746.0
77,1641661200000.0,0.629,0.6307,0.6018,0.6024,757379.0
78,1641664800000.0,0.6021,0.6147,0.5952,0.5976,692864.0
79,1641668400000.0,0.5988,0.6059,0.5938,0.598,494696.0
80,1641672000000.0,0.6,0.6058,0.5972,0.6031,280428.0
81,1641675600000.0,0.6022,0.62,0.6016,0.615,176158.0
82,1641679200000.0,0.6149,0.6301,0.6144,0.6267,241811.0
83,1641682800000.0,0.626,0.6279,0.6175,0.6183,126404.0
84,1641686400000.0,0.6185,0.6222,0.61,0.6205,208421.0
85,1641690000000.0,0.6201,0.6245,0.6178,0.6233,189606.0
86,1641693600000.0,0.6228,0.6297,0.6228,0.6286,238185.0
87,1641697200000.0,0.628,0.628,0.622,0.6229,75403.0
88,1641700800000.0,0.6228,0.6306,0.6228,0.6297,74455.0
89,1641704400000.0,0.63,0.6378,0.6248,0.6272,362069.0
90,1641708000000.0,0.6276,0.6315,0.622,0.6315,278299.0
91,1641711600000.0,0.6318,0.6323,0.6277,0.6285,104850.0
92,1641715200000.0,0.6278,0.6308,0.6219,0.6251,172977.0
93,1641718800000.0,0.6253,0.6276,0.6164,0.6208,142498.0
94,1641722400000.0,0.6215,0.6299,0.6186,0.6274,244702.0
95,1641726000000.0,0.6268,0.6332,0.6268,0.6293,93761.0
96,1641729600000.0,0.6294,0.6313,0.6261,0.6286,206009.0
97,1641733200000.0,0.6287,0.6287,0.6198,0.6206,80133.0
98,1641736800000.0,0.6206,0.6277,0.6206,0.6248,99405.0
99,1641740400000.0,0.6238,0.6251,0.6172,0.6249,67649.0
100,1641744000000.0,0.6249,0.6346,0.6226,0.6342,134536.0
101,1641747600000.0,0.6343,0.636,0.6302,0.6347,178460.0
102,1641751200000.0,0.6353,0.6371,0.6306,0.6313,117350.0
103,1641754800000.0,0.6312,0.6423,0.6307,0.6414,125621.0
104,1641758400000.0,0.6413,0.6418,0.6356,0.6356,62355.0
105,1641762000000.0,0.6355,0.6377,0.6336,0.634,138346.0
106,1641765600000.0,0.6346,0.6375,0.6325,0.6351,106728.0
107,1641769200000.0,0.6352,0.6369,0.6282,0.6314,93955.0
108,1641772800000.0,0.6308,0.6326,0.6212,0.622,95812.0
109,1641776400000.0,0.6217,0.6265,0.6217,0.6264,76992.0
110,1641780000000.0,0.6263,0.6281,0.622,0.6263,50819.0
111,1641783600000.0,0.6262,0.6279,0.6243,0.6279,106865.0
112,1641787200000.0,0.6279,0.6326,0.6272,0.6316,85772.0
113,1641790800000.0,0.632,0.6325,0.6289,0.6313,63660.0
114,1641794400000.0,0.6308,0.6328,0.6277,0.6295,76722.0
115,1641798000000.0,0.6295,0.6314,0.6284,0.6304,109843.0
116,1641801600000.0,0.6312,0.6357,0.6269,0.6291,157801.0
117,1641805200000.0,0.6284,0.6284,0.6201,0.621,138862.0
118,1641808800000.0,0.6207,0.6234,0.6164,0.618,89946.0
119,1641812400000.0,0.6169,0.6169,0.611,0.6129,186223.0
120,1641816000000.0,0.6128,0.6143,0.5929,0.5932,260472.0
121,1641819600000.0,0.5946,0.5985,0.5885,0.5897,488822.0
122,1641823200000.0,0.5897,0.5917,0.56,0.5849,1051270.0
123,1641826800000.0,0.5849,0.5854,0.5729,0.5839,349284.0
124,1641830400000.0,0.5837,0.5941,0.5812,0.5929,513813.0
125,1641834000000.0,0.5935,0.5958,0.5711,0.58,396950.0
126,1641837600000.0,0.5801,0.5864,0.5785,0.5838,165203.0
127,1641841200000.0,0.5835,0.5869,0.5798,0.5812,135778.0
128,1641844800000.0,0.5817,0.5926,0.5795,0.5898,163393.0
129,1641848400000.0,0.5912,0.5941,0.5889,0.5924,106179.0
130,1641852000000.0,0.5934,0.5942,0.5895,0.5895,43627.0
131,1641855600000.0,0.5883,0.5966,0.5881,0.5966,16387.0
132,1641859200000.0,0.5964,0.5964,0.5856,0.5858,110978.0
133,1641862800000.0,0.5845,0.5938,0.5839,0.5905,82871.0
134,1641866400000.0,0.5918,0.603,0.5889,0.5999,270294.0
135,1641870000000.0,0.5989,0.6001,0.5957,0.5989,37966.0
136,1641873600000.0,0.6,0.6015,0.5921,0.5931,85004.0
137,1641877200000.0,0.5931,0.5931,0.5869,0.5907,73043.0
138,1641880800000.0,0.5909,0.5929,0.5833,0.5847,84134.0
139,1641884400000.0,0.5866,0.5886,0.5827,0.5872,92376.0
140,1641888000000.0,0.588,0.5937,0.583,0.5834,136754.0
141,1641891600000.0,0.5839,0.5878,0.5825,0.5842,164796.0
142,1641895200000.0,0.5848,0.5857,0.5753,0.5764,180218.0
143,1641898800000.0,0.5764,0.5849,0.5759,0.5838,134577.0
144,1641902400000.0,0.5837,0.5913,0.5823,0.5875,133449.0
145,1641906000000.0,0.5875,0.5903,0.5834,0.5864,137378.0
146,1641909600000.0,0.5857,0.5877,0.5759,0.5826,170977.0
147,1641913200000.0,0.5829,0.5897,0.5779,0.5839,128159.0
148,1641916800000.0,0.5844,0.604,0.5835,0.6022,204579.0
149,1641920400000.0,0.6029,0.6111,0.5975,0.6031,162946.0
150,1641924000000.0,0.6019,0.6106,0.6008,0.6078,112606.0
151,1641927600000.0,0.6086,0.6111,0.6051,0.607,116392.0
152,1641931200000.0,0.6078,0.6109,0.6063,0.6095,92698.0
153,1641934800000.0,0.6085,0.6108,0.6067,0.6067,55235.0
154,1641938400000.0,0.6067,0.6087,0.6056,0.6075,48105.0
155,1641942000000.0,0.6075,0.6231,0.6074,0.6159,168186.0
156,1641945600000.0,0.6167,0.697,0.6156,0.6768,5954519.0
157,1641949200000.0,0.6772,0.6824,0.6535,0.6551,1211700.0
158,1641952800000.0,0.6546,0.6595,0.6434,0.649,697898.0
159,1641956400000.0,0.649,0.6619,0.6471,0.6536,548142.0
160,1641960000000.0,0.6537,0.6594,0.6496,0.6554,330020.0
161,1641963600000.0,0.6545,0.6584,0.65,0.6521,201459.0
162,1641967200000.0,0.6529,0.6529,0.6463,0.6491,203234.0
163,1641970800000.0,0.6487,0.6491,0.645,0.6475,87117.0
164,1641974400000.0,0.6477,0.649,0.6408,0.6412,190069.0
165,1641978000000.0,0.6418,0.6503,0.6406,0.6474,188124.0
166,1641981600000.0,0.6481,0.651,0.6446,0.6464,155757.0
167,1641985200000.0,0.6468,0.6522,0.6456,0.6497,165448.0
168,1641988800000.0,0.6497,0.7,0.6481,0.6656,1188404.0
169,1641992400000.0,0.6646,0.691,0.662,0.6744,1924496.0
170,1641996000000.0,0.6744,0.6753,0.6623,0.6679,649577.0
171,1641999600000.0,0.6682,0.6746,0.663,0.6698,501363.0
172,1642003200000.0,0.6701,0.695,0.6667,0.6715,943240.0
173,1642006800000.0,0.6716,0.679,0.67,0.6784,171626.0
174,1642010400000.0,0.6786,0.6806,0.6714,0.6721,258680.0
175,1642014000000.0,0.6728,0.693,0.672,0.6768,647940.0
176,1642017600000.0,0.6771,0.6779,0.6721,0.677,205992.0
177,1642021200000.0,0.6771,0.6884,0.6743,0.676,205734.0
178,1642024800000.0,0.6769,0.6855,0.6731,0.6826,181777.0
179,1642028400000.0,0.683,0.6851,0.678,0.6824,273450.0
180,1642032000000.0,0.6823,0.6836,0.6608,0.6609,443885.0
181,1642035600000.0,0.6615,0.6682,0.6555,0.6582,442964.0
182,1642039200000.0,0.6582,0.6622,0.657,0.6602,170645.0
183,1642042800000.0,0.6595,0.6663,0.6523,0.6577,409491.0
184,1642046400000.0,0.6577,0.6627,0.6577,0.6587,344367.0
185,1642050000000.0,0.6579,0.6615,0.6552,0.6599,159535.0
186,1642053600000.0,0.6592,0.664,0.6575,0.6628,362817.0
187,1642057200000.0,0.6633,0.6642,0.6606,0.6638,182353.0
188,1642060800000.0,0.6635,0.6696,0.6635,0.6657,178057.0
189,1642064400000.0,0.6653,0.6658,0.661,0.6622,110897.0
190,1642068000000.0,0.6627,0.6651,0.66,0.6605,273875.0
191,1642071600000.0,0.6615,0.6615,0.6541,0.6555,176070.0
