,times,opens,highs,lows,closes,volumes
0,1648551600000.0,5.45,5.49,5.444,5.485,14209.8
1,1648555200000.0,5.48,5.531,5.471,5.501,47395.0
2,1648558800000.0,5.504,5.535,5.474,5.495,64237.2
3,1648562400000.0,5.495,5.543,5.475,5.53,59992.4
4,1648566000000.0,5.536,5.556,5.411,5.427,107902.5
5,1648569600000.0,5.416,5.469,5.32,5.424,72650.5
6,1648573200000.0,5.431,5.446,5.376,5.424,47956.9
7,1648576800000.0,5.431,5.5,5.408,5.442,38013.4
8,1648580400000.0,5.442,5.513,5.43,5.513,30308.1
9,1648584000000.0,5.511,5.521,5.457,5.48,23599.2
10,1648587600000.0,5.479,5.487,5.387,5.4,33955.1
11,1648591200000.0,5.407,5.411,5.361,5.401,20304.2
12,1648594800000.0,5.401,5.453,5.377,5.43,14465.2
13,1648598400000.0,5.428,5.428,5.314,5.332,37878.3
14,1648602000000.0,5.333,5.34,5.265,5.301,34504.1
15,1648605600000.0,5.301,5.364,5.294,5.36,24297.5
16,1648609200000.0,5.36,5.39,5.353,5.381,38995.2
17,1648612800000.0,5.381,5.392,5.36,5.369,20703.5
18,1648616400000.0,5.369,5.373,5.321,5.355,55127.0
19,1648620000000.0,5.359,5.369,5.328,5.337,40891.7
20,1648623600000.0,5.344,5.388,5.325,5.368,44875.6
21,1648627200000.0,5.366,5.374,5.309,5.372,31848.6
22,1648630800000.0,5.367,5.375,5.3,5.306,39162.7
23,1648634400000.0,5.307,5.398,5.305,5.386,88253.2
24,1648638000000.0,5.387,5.415,5.37,5.401,38348.1
25,1648641600000.0,5.401,5.406,5.388,5.404,33844.7
26,1648645200000.0,5.403,5.432,5.388,5.41,93078.7
27,1648648800000.0,5.411,5.475,5.388,5.451,43924.0
28,1648652400000.0,5.455,5.455,5.403,5.435,25174.6
29,1648656000000.0,5.435,5.502,5.421,5.47,73685.5
30,1648659600000.0,5.48,5.52,5.45,5.519,32043.5
31,1648663200000.0,5.517,5.52,5.477,5.477,33829.0
32,1648666800000.0,5.475,5.475,5.424,5.439,25256.3
33,1648670400000.0,5.439,5.46,5.43,5.46,19641.8
34,1648674000000.0,5.46,5.481,5.44,5.44,11945.2
35,1648677600000.0,5.44,5.454,5.4,5.416,21254.3
36,1648681200000.0,5.415,5.44,5.406,5.409,5212.7
37,1648684800000.0,5.411,5.452,5.405,5.446,8159.4
38,1648688400000.0,5.447,5.454,5.426,5.45,19141.7
39,1648692000000.0,5.455,5.496,5.439,5.45,24668.0
40,1648695600000.0,5.449,5.453,5.421,5.421,15550.1
41,1648699200000.0,5.421,5.479,5.401,5.455,62505.3
42,1648702800000.0,5.454,5.475,5.434,5.458,11993.9
43,1648706400000.0,5.465,5.47,5.437,5.47,18895.4
44,1648710000000.0,5.468,5.493,5.451,5.477,18760.8
45,1648713600000.0,5.475,5.502,5.465,5.502,30868.3
46,1648717200000.0,5.495,5.58,5.495,5.567,58531.3
47,1648720800000.0,5.565,5.588,5.556,5.588,32594.7
48,1648724400000.0,5.588,5.6,5.532,5.539,80650.2
49,1648728000000.0,5.539,5.634,5.532,5.61,72295.6
50,1648731600000.0,5.61,5.625,5.565,5.576,56965.3
51,1648735200000.0,5.576,5.584,5.344,5.462,164311.4
52,1648738800000.0,5.462,5.468,5.386,5.408,28878.1
53,1648742400000.0,5.402,5.45,5.242,5.297,110480.1
54,1648746000000.0,5.297,5.31,5.258,5.281,30752.2
55,1648749600000.0,5.28,5.324,5.26,5.324,17515.7
56,1648753200000.0,5.324,5.335,5.276,5.282,16093.0
57,1648756800000.0,5.28,5.303,5.249,5.3,39857.7
58,1648760400000.0,5.3,5.31,5.293,5.294,18695.0
59,1648764000000.0,5.293,5.3,5.278,5.297,12922.9
60,1648767600000.0,5.292,5.303,5.15,5.256,69898.9
61,1648771200000.0,5.262,5.299,5.215,5.271,31919.1
62,1648774800000.0,5.274,5.283,5.218,5.226,27388.4
63,1648778400000.0,5.215,5.23,5.167,5.17,66093.0
64,1648782000000.0,5.178,5.242,5.161,5.205,86008.4
65,1648785600000.0,5.204,5.3,5.195,5.233,20182.4
66,1648789200000.0,5.23,5.245,5.216,5.222,7714.6
