,times,opens,highs,lows,closes,volumes
0,1587985200000.0,0.001099,0.001126,0.001099,0.001115,501703.0
1,1587988800000.0,0.001125,0.001125,0.001106,0.00111,847552.0
2,1587992400000.0,0.00111,0.00111,0.001093,0.001096,1286717.0
3,1587996000000.0,0.001097,0.001099,0.001087,0.001087,1303770.0
4,1587999600000.0,0.001092,0.001103,0.001085,0.001089,4676680.0
5,1588003200000.0,0.001086,0.001095,0.001085,0.001085,2287040.0
6,1588006800000.0,0.001086,0.001086,0.001086,0.001086,850373.0
7,1588010400000.0,0.001087,0.001087,0.001062,0.001078,15455480.0
8,1588014000000.0,0.001078,0.001087,0.001068,0.00108,3233182.0
9,1588017600000.0,0.001073,0.001077,0.001065,0.001076,6669829.0
10,1588021200000.0,0.001075,0.001082,0.001073,0.00108,1564871.0
11,1588024800000.0,0.001085,0.001089,0.001081,0.001081,621320.0
12,1588028400000.0,0.001081,0.0011,0.00108,0.001096,4846453.0
13,1588032000000.0,0.001096,0.001096,0.001085,0.001085,638394.0
14,1588035600000.0,0.001081,0.001083,0.001077,0.001083,442758.0
15,1588039200000.0,0.001075,0.001085,0.001075,0.001085,2793950.0
16,1588042800000.0,0.001085,0.001095,0.001084,0.001092,1122511.0
17,1588046400000.0,0.001086,0.001088,0.001081,0.001088,257173.0
18,1588050000000.0,0.001094,0.001097,0.001094,0.001096,41424.0
19,1588053600000.0,0.001092,0.001092,0.001081,0.001088,1239533.0
20,1588057200000.0,0.00108,0.00108,0.001073,0.001078,3007212.0
21,1588060800000.0,0.001077,0.001081,0.001072,0.001077,1304746.0
22,1588064400000.0,0.001082,0.001094,0.001082,0.001094,1681102.0
23,1588068000000.0,0.001088,0.001097,0.00108,0.001097,1942178.0
24,1588071600000.0,0.001089,0.001106,0.001086,0.001089,3600637.0
25,1588075200000.0,0.001086,0.001094,0.001084,0.00109,2655937.0
26,1588078800000.0,0.00109,0.00109,0.00109,0.00109,0.0
27,1588082400000.0,0.001094,0.001095,0.00109,0.00109,315212.0
28,1588086000000.0,0.001091,0.001092,0.00109,0.00109,1501663.0
29,1588089600000.0,0.001094,0.001094,0.001059,0.001059,41011131.0
30,1588093200000.0,0.001066,0.001073,0.001058,0.001071,5916039.0
31,1588096800000.0,0.001073,0.001075,0.001072,0.001075,374034.0
32,1588100400000.0,0.00107,0.00108,0.00107,0.001077,2728139.0
33,1588104000000.0,0.00107,0.001083,0.001069,0.001074,3502623.0
34,1588107600000.0,0.001079,0.001079,0.001074,0.001077,1293253.0
35,1588111200000.0,0.001078,0.001082,0.001078,0.001082,3394867.0
36,1588114800000.0,0.001083,0.001085,0.001074,0.001081,3536039.0
37,1588118400000.0,0.001082,0.001082,0.00108,0.00108,392859.0
38,1588122000000.0,0.001087,0.001087,0.001087,0.001087,89498.0
39,1588125600000.0,0.001086,0.001098,0.001086,0.00109,2027527.0
40,1588129200000.0,0.001095,0.0011,0.001095,0.001099,1806698.0
41,1588132800000.0,0.001099,0.0011,0.001092,0.001099,1423676.0
42,1588136400000.0,0.001099,0.001103,0.00109,0.001093,1136680.0
43,1588140000000.0,0.001102,0.001107,0.001096,0.001107,773844.0
44,1588143600000.0,0.001099,0.001107,0.001099,0.001107,62648.0
45,1588147200000.0,0.001106,0.001106,0.001098,0.001098,36179.0
46,1588150800000.0,0.001103,0.001103,0.001096,0.0011,833686.0
47,1588154400000.0,0.001101,0.001121,0.0011,0.001109,2032454.0
48,1588158000000.0,0.001106,0.001124,0.001106,0.001115,404967.0
49,1588161600000.0,0.001117,0.001125,0.001115,0.001125,1340980.0
50,1588165200000.0,0.001125,0.00114,0.001115,0.001119,4926153.0
51,1588168800000.0,0.001115,0.001137,0.00111,0.001133,1505396.0
52,1588172400000.0,0.001137,0.001137,0.00112,0.001137,2289626.0
53,1588176000000.0,0.001137,0.001156,0.00113,0.001143,5968725.0
54,1588179600000.0,0.001142,0.001164,0.001103,0.001141,29539902.0
55,1588183200000.0,0.001138,0.001138,0.00112,0.001126,1511215.0
56,1588186800000.0,0.001134,0.001152,0.00113,0.001144,1874906.0
57,1588190400000.0,0.001153,0.001159,0.001149,0.001158,1855533.0
58,1588194000000.0,0.00116,0.001168,0.00115,0.001151,2873257.0
59,1588197600000.0,0.001152,0.00117,0.001144,0.001168,1661994.0
60,1588201200000.0,0.00116,0.00116,0.001142,0.001143,1355246.0
61,1588204800000.0,0.001151,0.001163,0.001151,0.001163,212581.0
62,1588208400000.0,0.001171,0.001193,0.001143,0.001162,27742183.0
63,1588212000000.0,0.001167,0.001175,0.001157,0.001175,936429.0
64,1588215600000.0,0.001169,0.0012,0.001167,0.0012,9221459.0
65,1588219200000.0,0.001187,0.001187,0.001159,0.00117,1954680.0
66,1588222800000.0,0.001177,0.001188,0.001169,0.00118,1346509.0
67,1588226400000.0,0.001174,0.001194,0.001174,0.001183,3397909.0
68,1588230000000.0,0.001175,0.001183,0.001149,0.001155,4475425.0
69,1588233600000.0,0.001156,0.001172,0.001147,0.001163,2618082.0
70,1588237200000.0,0.001153,0.001165,0.001119,0.00112,2800919.0
71,1588240800000.0,0.001119,0.001133,0.001107,0.00113,4507037.0
72,1588244400000.0,0.001135,0.001139,0.001117,0.001117,1850076.0
73,1588248000000.0,0.001125,0.001129,0.001124,0.001126,341506.0
74,1588251600000.0,0.001119,0.001119,0.001119,0.001119,21659.0
75,1588255200000.0,0.001126,0.001143,0.001126,0.001138,1520540.0
76,1588258800000.0,0.001141,0.001141,0.001124,0.001125,590585.0
77,1588262400000.0,0.001134,0.001199,0.001125,0.001137,5589286.0
78,1588266000000.0,0.001137,0.00114,0.001101,0.001121,2900008.0
79,1588269600000.0,0.001127,0.001127,0.001113,0.00112,1011727.0
80,1588273200000.0,0.00112,0.001134,0.001114,0.001133,2214100.0
81,1588276800000.0,0.001135,0.001139,0.001133,0.001133,378953.0
82,1588280400000.0,0.001129,0.001129,0.00112,0.001123,5514218.0
83,1588284000000.0,0.001124,0.001129,0.001112,0.001112,3047785.0
84,1588287600000.0,0.001117,0.001117,0.001104,0.001112,4613894.0
85,1588291200000.0,0.001103,0.001188,0.001103,0.001178,8220458.0
86,1588294800000.0,0.001179,0.00122,0.001175,0.00121,10604348.0
87,1588298400000.0,0.00121,0.001216,0.001198,0.001205,3103233.0
88,1588302000000.0,0.001203,0.001205,0.001181,0.001188,2279149.0
89,1588305600000.0,0.001188,0.001246,0.001186,0.001241,18798696.0
90,1588309200000.0,0.001241,0.001249,0.001228,0.001244,5845207.0
91,1588312800000.0,0.00123,0.001281,0.001225,0.001232,12940137.0
92,1588316400000.0,0.001241,0.001241,0.001221,0.00123,4785556.0
93,1588320000000.0,0.001243,0.00126,0.001232,0.001243,6165533.0
94,1588323600000.0,0.001236,0.001249,0.001223,0.001249,4931485.0
95,1588327200000.0,0.001253,0.001253,0.00124,0.001251,10787641.0
96,1588330800000.0,0.001252,0.001253,0.001227,0.001227,7396048.0
97,1588334400000.0,0.001227,0.001227,0.001189,0.001192,10252265.0
98,1588338000000.0,0.001199,0.0012,0.001153,0.001153,68330827.0
99,1588341600000.0,0.001162,0.001187,0.001162,0.001187,3428459.0
100,1588345200000.0,0.001179,0.001189,0.001167,0.001179,7653049.0
101,1588348800000.0,0.001179,0.001179,0.001159,0.001174,2024606.0
102,1588352400000.0,0.001175,0.001182,0.001175,0.001182,8628543.0
103,1588356000000.0,0.001176,0.001178,0.001155,0.001174,8068468.0
104,1588359600000.0,0.001174,0.001174,0.001162,0.00117,388799.0
105,1588363200000.0,0.00117,0.001173,0.001158,0.001173,6372647.0
106,1588366800000.0,0.001176,0.001197,0.001176,0.001195,5583252.0
107,1588370400000.0,0.001182,0.001192,0.001173,0.001184,1336676.0
108,1588374000000.0,0.001182,0.001198,0.001179,0.001193,1986617.0
109,1588377600000.0,0.001193,0.001203,0.001177,0.001199,5261310.0
110,1588381200000.0,0.001198,0.00121,0.00119,0.00119,1964838.0
111,1588384800000.0,0.001194,0.001195,0.00119,0.00119,366525.0
112,1588388400000.0,0.00119,0.0012,0.00119,0.0012,217484.0
113,1588392000000.0,0.0012,0.0012,0.001193,0.001193,3261080.0
114,1588395600000.0,0.001194,0.001199,0.001191,0.001199,1070990.0
115,1588399200000.0,0.001199,0.00121,0.001193,0.001193,545847.0
116,1588402800000.0,0.001197,0.001197,0.001195,0.001195,34508.0
117,1588406400000.0,0.001194,0.001204,0.000894,0.001169,74168231.0
118,1588410000000.0,0.001169,0.001176,0.001159,0.001167,6905271.0
119,1588413600000.0,0.001174,0.001196,0.001173,0.001176,3145444.0
120,1588417200000.0,0.00118,0.00118,0.001164,0.001174,1668432.0
121,1588420800000.0,0.001175,0.001175,0.001151,0.001164,15660474.0
122,1588424400000.0,0.001166,0.001171,0.001166,0.001171,2297947.0
123,1588428000000.0,0.001171,0.001183,0.001163,0.001183,6558502.0
124,1588431600000.0,0.001174,0.001181,0.001166,0.001178,3087806.0
125,1588435200000.0,0.001178,0.001182,0.001177,0.001177,468315.0
126,1588438800000.0,0.001171,0.001172,0.001169,0.001169,400389.0
127,1588442400000.0,0.001171,0.001171,0.00116,0.00116,2147921.0
128,1588446000000.0,0.001169,0.001178,0.001164,0.001173,1177143.0
129,1588449600000.0,0.001179,0.001179,0.001176,0.001179,201333.0
130,1588453200000.0,0.001179,0.00118,0.001179,0.00118,82813.0
131,1588456800000.0,0.001179,0.001183,0.001171,0.001182,6649698.0
132,1588460400000.0,0.001182,0.001197,0.001173,0.001194,10567306.0
133,1588464000000.0,0.001183,0.001198,0.001183,0.001198,954457.0
134,1588467600000.0,0.001199,0.001206,0.00117,0.001196,7863417.0
135,1588471200000.0,0.001194,0.001209,0.001191,0.001205,7443928.0
136,1588474800000.0,0.0012,0.001207,0.001198,0.001199,220747.0
137,1588478400000.0,0.001204,0.001206,0.001199,0.001199,195796.0
138,1588482000000.0,0.001199,0.001202,0.001187,0.001202,531768.0
139,1588485600000.0,0.001194,0.001194,0.001171,0.001181,881391.0
140,1588489200000.0,0.001184,0.001186,0.001173,0.001178,545120.0
141,1588492800000.0,0.001171,0.001182,0.001169,0.00118,1376216.0
142,1588496400000.0,0.001181,0.00119,0.001181,0.00119,573927.0
143,1588500000000.0,0.00119,0.001191,0.00118,0.00119,5424995.0
144,1588503600000.0,0.001179,0.001191,0.001176,0.001177,6473248.0
145,1588507200000.0,0.001175,0.001175,0.001156,0.001173,2320012.0
146,1588510800000.0,0.001173,0.001173,0.00115,0.001164,4564907.0
147,1588514400000.0,0.00116,0.001166,0.001131,0.001131,2764460.0
148,1588518000000.0,0.00113,0.001135,0.001112,0.001132,2511634.0
149,1588521600000.0,0.00114,0.00114,0.001134,0.001134,112605.0
150,1588525200000.0,0.00114,0.001149,0.001132,0.001142,628195.0
151,1588528800000.0,0.001136,0.001147,0.001136,0.001136,191798.0
152,1588532400000.0,0.001136,0.001149,0.001135,0.001138,201353.0
153,1588536000000.0,0.001136,0.001145,0.00113,0.001143,2070402.0
154,1588539600000.0,0.001143,0.001222,0.001143,0.001165,88805778.0
155,1588543200000.0,0.001166,0.001175,0.001149,0.001169,17845649.0
156,1588546800000.0,0.001167,0.001167,0.001161,0.001165,1883073.0
157,1588550400000.0,0.001167,0.001184,0.001151,0.001151,23159699.0
158,1588554000000.0,0.001144,0.001149,0.001109,0.001112,2402361.0
159,1588557600000.0,0.001112,0.001153,0.001111,0.001145,5722758.0
160,1588561200000.0,0.001147,0.001177,0.001132,0.001143,7448035.0
161,1588564800000.0,0.001143,0.00115,0.001113,0.001116,6587982.0
162,1588568400000.0,0.001111,0.001111,0.001081,0.001094,9692348.0
163,1588572000000.0,0.001091,0.001097,0.001091,0.001097,599872.0
164,1588575600000.0,0.001099,0.001103,0.001091,0.001103,2229007.0
165,1588579200000.0,0.001105,0.001109,0.001105,0.001106,906515.0
166,1588582800000.0,0.001106,0.001114,0.001098,0.001114,5996794.0
167,1588586400000.0,0.001114,0.001117,0.001105,0.001108,400994.0
168,1588590000000.0,0.001108,0.001122,0.001108,0.001112,500047.0
169,1588593600000.0,0.00111,0.001122,0.00111,0.001122,3714305.0
170,1588597200000.0,0.001122,0.001133,0.001121,0.001133,338117.0
171,1588600800000.0,0.00114,0.001145,0.00114,0.001145,137119.0
172,1588604400000.0,0.001143,0.001149,0.001135,0.001145,1561770.0
173,1588608000000.0,0.001149,0.001155,0.001144,0.001152,4607006.0
174,1588611600000.0,0.001146,0.00115,0.001139,0.001139,346628.0
