,times,opens,highs,lows,closes,volumes
0,1601568000000.0,0.445,0.445,0.4229,0.4285,75292.42
1,1601571600000.0,0.4285,0.4297,0.421,0.421,9885.77
2,1601575200000.0,0.4242,0.4347,0.4206,0.4347,23236.55
3,1601578800000.0,0.431,0.4359,0.4308,0.4341,865.93
4,1601582400000.0,0.4375,0.4376,0.4307,0.4333,1229.08
5,1601586000000.0,0.4322,0.4369,0.4321,0.4369,1521.66
6,1601589600000.0,0.4374,0.4374,0.4348,0.4348,110.42
7,1601593200000.0,0.4372,0.4372,0.4334,0.4334,723.12
8,1601596800000.0,0.4342,0.4369,0.4342,0.4369,2454.97
9,1601600400000.0,0.4347,0.4347,0.4344,0.4346,4819.4
10,1601604000000.0,0.4339,0.436,0.4317,0.435,2103.4
11,1601607600000.0,0.435,0.4376,0.4318,0.436,4262.3
12,1601611200000.0,0.4349,0.4356,0.4349,0.4355,128.59
13,1601614800000.0,0.435,0.435,0.4184,0.4204,23594.8
14,1601618400000.0,0.4184,0.4239,0.4148,0.4206,18825.48
15,1601622000000.0,0.421,0.4233,0.4182,0.4201,6033.43
16,1601625600000.0,0.4209,0.4209,0.3961,0.3994,229019.7
17,1601629200000.0,0.3971,0.4047,0.3934,0.397,57191.21
18,1601632800000.0,0.397,0.3974,0.394,0.3959,25231.05
19,1601636400000.0,0.396,0.4013,0.3955,0.3975,7376.85
20,1601640000000.0,0.3945,0.4096,0.3944,0.4062,50919.45
21,1601643600000.0,0.4069,0.4179,0.4045,0.4129,60949.28
22,1601647200000.0,0.4129,0.4146,0.4102,0.4115,46668.83
23,1601650800000.0,0.4115,0.4162,0.409,0.4099,23050.9
24,1601654400000.0,0.4093,0.4362,0.4016,0.419,91309.0
25,1601658000000.0,0.4211,0.4429,0.4189,0.4249,163694.08
26,1601661600000.0,0.4232,0.4247,0.4225,0.423,1074.42
27,1601665200000.0,0.4203,0.423,0.4141,0.4141,4786.28
28,1601668800000.0,0.4141,0.4163,0.4123,0.4141,3810.08
29,1601672400000.0,0.4133,0.4138,0.4111,0.4138,3739.45
30,1601676000000.0,0.4123,0.4207,0.4123,0.4207,6462.7
31,1601679600000.0,0.4205,0.425,0.4204,0.4241,2645.64
32,1601683200000.0,0.4226,0.4227,0.4196,0.4222,1432.23
33,1601686800000.0,0.4226,0.4226,0.4166,0.4193,738.91
34,1601690400000.0,0.4193,0.4202,0.4193,0.4202,466.59
35,1601694000000.0,0.4201,0.4213,0.4183,0.4213,657.93
36,1601697600000.0,0.4182,0.4213,0.4181,0.4213,336.01
37,1601701200000.0,0.4193,0.4193,0.4188,0.4188,202.0
38,1601704800000.0,0.4164,0.419,0.4164,0.419,521.4
39,1601708400000.0,0.4191,0.4194,0.4166,0.4189,1371.92
40,1601712000000.0,0.4164,0.4188,0.4156,0.4188,674.52
41,1601715600000.0,0.4188,0.4205,0.4172,0.4172,1117.05
42,1601719200000.0,0.4199,0.4204,0.4199,0.4204,4834.75
43,1601722800000.0,0.4232,0.4254,0.4232,0.4247,14475.73
44,1601726400000.0,0.4221,0.4221,0.4221,0.4221,76.82
45,1601730000000.0,0.4217,0.4246,0.4209,0.4246,2946.85
46,1601733600000.0,0.4221,0.4239,0.4217,0.4239,2131.81
47,1601737200000.0,0.4238,0.4238,0.4193,0.42,20775.41
48,1601740800000.0,0.4212,0.4226,0.4211,0.4226,1153.2
49,1601744400000.0,0.4226,0.4245,0.4224,0.4226,566.54
50,1601748000000.0,0.4224,0.4248,0.4219,0.4219,826.85
51,1601751600000.0,0.4248,0.432,0.4248,0.4284,24160.21
52,1601755200000.0,0.4287,0.4316,0.4219,0.4238,34403.38
53,1601758800000.0,0.4238,0.4238,0.4221,0.4237,3405.47
54,1601762400000.0,0.4237,0.4237,0.4237,0.4237,201.33
55,1601766000000.0,0.4238,0.4278,0.4238,0.4278,2112.95
56,1601769600000.0,0.4277,0.4314,0.4245,0.4248,10441.57
57,1601773200000.0,0.4254,0.4254,0.4195,0.4217,2524.88
58,1601776800000.0,0.422,0.422,0.4188,0.4188,151.52
59,1601780400000.0,0.4219,0.4259,0.4204,0.4204,2343.28
60,1601784000000.0,0.423,0.4241,0.4212,0.4212,555.15
61,1601787600000.0,0.4212,0.4212,0.4199,0.4199,348.14
62,1601791200000.0,0.4229,0.4231,0.4229,0.4231,113.54
63,1601794800000.0,0.4222,0.4232,0.4208,0.4229,3237.37
64,1601798400000.0,0.4231,0.4231,0.4225,0.4225,101.54
65,1601802000000.0,0.4199,0.4224,0.4187,0.4194,4014.08
66,1601805600000.0,0.4197,0.4217,0.4105,0.4106,11424.18
67,1601809200000.0,0.4105,0.4133,0.4104,0.4121,717.72
68,1601812800000.0,0.413,0.4132,0.4119,0.4132,9396.34
69,1601816400000.0,0.4157,0.417,0.4134,0.4157,3415.96
70,1601820000000.0,0.4167,0.4202,0.4165,0.4165,8063.9
71,1601823600000.0,0.4167,0.4195,0.4166,0.4166,1041.57
72,1601827200000.0,0.4159,0.4174,0.4122,0.4146,9848.58
73,1601830800000.0,0.4127,0.4152,0.4127,0.4151,379.63
74,1601834400000.0,0.4153,0.4174,0.414,0.414,2329.62
75,1601838000000.0,0.4173,0.4173,0.414,0.4146,5257.31
76,1601841600000.0,0.4173,0.4198,0.417,0.417,1490.25
77,1601845200000.0,0.417,0.417,0.4159,0.4159,747.59
78,1601848800000.0,0.4182,0.4196,0.4182,0.4189,99.85
79,1601852400000.0,0.4191,0.4191,0.4155,0.4191,92.55
80,1601856000000.0,0.4191,0.4216,0.4179,0.4179,8087.24
81,1601859600000.0,0.4175,0.4206,0.4166,0.4191,2736.26
82,1601863200000.0,0.4164,0.4184,0.415,0.4174,9028.32
83,1601866800000.0,0.4174,0.4174,0.4166,0.4166,45.58
84,1601870400000.0,0.4167,0.417,0.4132,0.4132,423.85
85,1601874000000.0,0.4155,0.4156,0.4102,0.4156,3667.61
86,1601877600000.0,0.4128,0.4128,0.4101,0.4124,1135.39
87,1601881200000.0,0.4101,0.4112,0.4045,0.4084,16021.08
88,1601884800000.0,0.4084,0.411,0.4077,0.4102,5248.05
89,1601888400000.0,0.4095,0.4112,0.4095,0.4112,2245.0
90,1601892000000.0,0.4112,0.4132,0.4112,0.4132,1402.04
91,1601895600000.0,0.4107,0.4151,0.4107,0.413,2657.39
92,1601899200000.0,0.4129,0.4146,0.4115,0.4142,5123.33
93,1601902800000.0,0.4141,0.415,0.4141,0.415,4505.25
94,1601906400000.0,0.4151,0.4214,0.4146,0.4191,47164.53
95,1601910000000.0,0.4191,0.4361,0.4191,0.4311,41301.27
96,1601913600000.0,0.4311,0.4412,0.4261,0.4306,52864.9
97,1601917200000.0,0.4306,0.4332,0.4249,0.4259,12606.49
98,1601920800000.0,0.428,0.4308,0.426,0.4307,3645.95
99,1601924400000.0,0.4304,0.4309,0.4304,0.4305,5024.65
100,1601928000000.0,0.4305,0.4329,0.4274,0.4309,20509.91
101,1601931600000.0,0.4303,0.4304,0.4291,0.4291,635.07
102,1601935200000.0,0.4302,0.4307,0.4297,0.4306,1152.95
103,1601938800000.0,0.4279,0.4292,0.4251,0.4281,15649.67
104,1601942400000.0,0.4281,0.4284,0.4236,0.4275,2628.34
105,1601946000000.0,0.4244,0.4258,0.4219,0.4222,4690.69
106,1601949600000.0,0.4231,0.4239,0.4215,0.4239,301.52
107,1601953200000.0,0.4221,0.4227,0.4215,0.4226,213.03
108,1601956800000.0,0.4225,0.4225,0.4195,0.4225,4437.56
109,1601960400000.0,0.4203,0.4228,0.415,0.416,10550.03
110,1601964000000.0,0.4168,0.4187,0.415,0.415,5183.84
111,1601967600000.0,0.415,0.4173,0.4122,0.4122,10686.5
112,1601971200000.0,0.4122,0.4129,0.41,0.41,2158.01
113,1601974800000.0,0.4113,0.4137,0.4083,0.4091,14570.32
114,1601978400000.0,0.4094,0.4102,0.4071,0.4071,2946.25
115,1601982000000.0,0.4068,0.4068,0.4,0.4047,27970.61
116,1601985600000.0,0.4055,0.4075,0.4016,0.4066,9752.78
117,1601989200000.0,0.4065,0.4098,0.405,0.4095,6228.54
118,1601992800000.0,0.4066,0.4077,0.4051,0.4051,2952.3
119,1601996400000.0,0.4052,0.409,0.4046,0.409,15744.72
120,1602000000000.0,0.4099,0.4226,0.4099,0.4101,12181.87
121,1602003600000.0,0.4102,0.4158,0.408,0.4156,10667.86
122,1602007200000.0,0.413,0.413,0.4032,0.4043,11409.13
123,1602010800000.0,0.4054,0.4054,0.4,0.4007,10080.28
124,1602014400000.0,0.4003,0.4007,0.3957,0.3957,5351.52
125,1602018000000.0,0.3963,0.3979,0.3945,0.3979,15110.29
126,1602021600000.0,0.3978,0.4,0.3978,0.4,671.86
127,1602025200000.0,0.3987,0.3995,0.3954,0.3992,1519.5
128,1602028800000.0,0.3965,0.3986,0.3951,0.3953,1420.29
129,1602032400000.0,0.3981,0.3981,0.394,0.394,9046.25
130,1602036000000.0,0.3943,0.3962,0.3934,0.3942,28174.39
131,1602039600000.0,0.3934,0.3962,0.3926,0.3962,509.58
132,1602043200000.0,0.3934,0.3962,0.393,0.393,728.72
133,1602046800000.0,0.3952,0.3962,0.3932,0.3961,2685.22
134,1602050400000.0,0.3946,0.3976,0.3944,0.397,7065.88
135,1602054000000.0,0.3959,0.3963,0.3939,0.3939,3213.84
136,1602057600000.0,0.3962,0.3974,0.3945,0.3951,2598.71
137,1602061200000.0,0.395,0.3956,0.3922,0.3942,6481.74
138,1602064800000.0,0.3932,0.3953,0.3925,0.3952,10718.64
139,1602068400000.0,0.3953,0.3968,0.3918,0.3959,16785.78
140,1602072000000.0,0.395,0.3956,0.3947,0.3951,4039.49
141,1602075600000.0,0.3967,0.3991,0.3954,0.3982,20625.08
142,1602079200000.0,0.3974,0.3989,0.393,0.3951,22407.13
143,1602082800000.0,0.3955,0.4,0.395,0.3985,12467.27
144,1602086400000.0,0.3981,0.3981,0.3964,0.397,1673.96
145,1602090000000.0,0.3968,0.3969,0.3945,0.396,1480.28
146,1602093600000.0,0.3965,0.3985,0.3961,0.3978,1637.6
147,1602097200000.0,0.3966,0.3979,0.3953,0.3956,4789.86
148,1602100800000.0,0.3956,0.3962,0.3942,0.3942,8677.97
149,1602104400000.0,0.3953,0.3975,0.3937,0.3959,8747.0
150,1602108000000.0,0.396,0.396,0.3927,0.395,4604.25
151,1602111600000.0,0.3951,0.3969,0.3926,0.3969,2106.4
152,1602115200000.0,0.3957,0.399,0.395,0.3986,1600.18
153,1602118800000.0,0.3964,0.3964,0.3924,0.3956,4703.79
154,1602122400000.0,0.3956,0.3979,0.3956,0.3979,3339.11
155,1602126000000.0,0.3979,0.3996,0.3975,0.3989,6944.59
156,1602129600000.0,0.3975,0.4006,0.3963,0.4006,2699.07
157,1602133200000.0,0.3999,0.4117,0.398,0.4095,45795.91
158,1602136800000.0,0.4095,0.4209,0.406,0.4065,46499.64
159,1602140400000.0,0.4064,0.413,0.3988,0.4036,18259.14
160,1602144000000.0,0.4014,0.4067,0.397,0.3994,33065.57
161,1602147600000.0,0.3971,0.3975,0.3892,0.3949,308229.08
162,1602151200000.0,0.3963,0.4018,0.3963,0.399,6790.67
163,1602154800000.0,0.399,0.4041,0.3966,0.4018,18100.82
164,1602158400000.0,0.4018,0.4071,0.4017,0.4068,3859.89
