,times,opens,highs,lows,closes,volumes
0,1648522800000.0,0.07072,0.07083,0.07045,0.07062,33807385.0
1,1648526400000.0,0.07062,0.07182,0.07062,0.07182,60761201.0
2,1648530000000.0,0.07181,0.07227,0.07138,0.07206,74733519.9
3,1648533600000.0,0.07206,0.07248,0.07166,0.07243,79498616.4
4,1648537200000.0,0.07243,0.07243,0.07137,0.07151,120316236.9
5,1648540800000.0,0.07152,0.07183,0.07126,0.07139,74005632.0
6,1648544400000.0,0.07138,0.07156,0.07098,0.07108,46628463.5
7,1648548000000.0,0.07109,0.07146,0.0708,0.07133,67897360.1
8,1648551600000.0,0.07133,0.07153,0.07122,0.07141,48695631.7
9,1648555200000.0,0.07142,0.07161,0.07097,0.07101,79860509.6
10,1648558800000.0,0.07102,0.07146,0.07067,0.07104,63710361.2
11,1648562400000.0,0.07104,0.07113,0.07066,0.07096,46489686.2
12,1648566000000.0,0.07096,0.07122,0.07009,0.07029,62492910.6
13,1648569600000.0,0.07028,0.0704,0.06913,0.06996,101874738.9
14,1648573200000.0,0.06995,0.06996,0.06929,0.06973,50294245.7
15,1648576800000.0,0.06974,0.06983,0.06943,0.06975,23688095.0
16,1648580400000.0,0.06974,0.07004,0.06963,0.06974,32979771.8
17,1648584000000.0,0.06974,0.06989,0.06913,0.06948,41805965.0
18,1648587600000.0,0.06947,0.06967,0.06871,0.06885,58632117.5
19,1648591200000.0,0.06885,0.06908,0.06832,0.06894,74510304.9
20,1648594800000.0,0.06894,0.0694,0.06882,0.06936,33386857.7
21,1648598400000.0,0.06937,0.06937,0.06849,0.0689,54222054.3
22,1648602000000.0,0.06889,0.069,0.06745,0.06782,92391305.7
23,1648605600000.0,0.06781,0.06821,0.06759,0.06814,54836203.4
24,1648609200000.0,0.06813,0.06877,0.06813,0.06866,47776230.9
25,1648612800000.0,0.06867,0.06898,0.06848,0.0688,48355466.3
26,1648616400000.0,0.06881,0.06939,0.06866,0.06938,45813079.9
27,1648620000000.0,0.06938,0.06986,0.06936,0.06981,55173215.3
28,1648623600000.0,0.06981,0.07018,0.06964,0.07004,59600639.8
29,1648627200000.0,0.07005,0.07048,0.06968,0.07041,74686486.6
30,1648630800000.0,0.07041,0.07045,0.06983,0.07007,49573865.4
31,1648634400000.0,0.07008,0.0735,0.06997,0.07174,518455702.5
32,1648638000000.0,0.07174,0.07232,0.07118,0.07226,125532214.8
33,1648641600000.0,0.07225,0.07284,0.07193,0.07278,84542583.5
34,1648645200000.0,0.07279,0.07285,0.07124,0.0726,131052582.3
35,1648648800000.0,0.07261,0.07444,0.07208,0.07318,336898449.0
36,1648652400000.0,0.07318,0.07321,0.07132,0.07174,221109903.9
37,1648656000000.0,0.07173,0.07224,0.07143,0.07172,65018100.4
38,1648659600000.0,0.07171,0.07235,0.07162,0.07234,56377500.7
39,1648663200000.0,0.07233,0.0725,0.07144,0.07147,51527960.1
40,1648666800000.0,0.07146,0.07161,0.07103,0.07135,65200273.1
41,1648670400000.0,0.07138,0.07183,0.07107,0.07179,49715748.4
42,1648674000000.0,0.07179,0.07207,0.07139,0.07205,38923614.7
43,1648677600000.0,0.07205,0.07246,0.07156,0.07228,81719626.6
44,1648681200000.0,0.07227,0.07355,0.07217,0.07334,148560261.1
45,1648684800000.0,0.07334,0.0764,0.07333,0.0751,354775323.1
46,1648688400000.0,0.07509,0.07582,0.07481,0.07559,153439530.8
47,1648692000000.0,0.0756,0.07575,0.07443,0.07486,114181271.9
48,1648695600000.0,0.07485,0.07486,0.07386,0.07407,87273228.0
49,1648699200000.0,0.07408,0.07474,0.07401,0.07454,74846785.9
50,1648702800000.0,0.07453,0.07544,0.07422,0.07523,96526120.2
51,1648706400000.0,0.07522,0.0771,0.07453,0.07672,215659174.3
52,1648710000000.0,0.07673,0.07673,0.07551,0.07609,151878435.1
53,1648713600000.0,0.07609,0.07877,0.07602,0.07815,320528966.9
54,1648717200000.0,0.07816,0.07894,0.07767,0.07876,124817637.5
55,1648720800000.0,0.07876,0.07956,0.07784,0.07821,166784059.5
56,1648724400000.0,0.07821,0.07864,0.07778,0.07783,62265549.7
57,1648728000000.0,0.07783,0.07813,0.07721,0.07789,77163326.8
58,1648731600000.0,0.07789,0.07798,0.07623,0.07628,87987661.5
59,1648735200000.0,0.07628,0.0763,0.07325,0.07528,287740387.0
60,1648738800000.0,0.07529,0.07557,0.07367,0.07472,118166403.4
61,1648742400000.0,0.07472,0.07486,0.07343,0.07387,157089606.4
62,1648746000000.0,0.07387,0.07626,0.0738,0.07513,135944668.9
63,1648749600000.0,0.07513,0.07556,0.07464,0.07535,60417488.2
64,1648753200000.0,0.07535,0.07635,0.07504,0.07585,94199407.1
65,1648756800000.0,0.07583,0.0761,0.07527,0.07531,53927655.5
66,1648760400000.0,0.0753,0.07559,0.07475,0.07477,35393629.8
67,1648764000000.0,0.07478,0.07498,0.07417,0.0742,71492633.8
68,1648767600000.0,0.0742,0.07425,0.07328,0.07388,83724747.4
69,1648771200000.0,0.07388,0.07511,0.07359,0.07499,119741612.2
70,1648774800000.0,0.07498,0.07498,0.07305,0.07316,111398463.7
71,1648778400000.0,0.07315,0.07335,0.0692,0.07164,142336596.9
72,1648782000000.0,0.07164,0.07286,0.07145,0.07286,67305279.0
73,1648785600000.0,0.07285,0.07309,0.07261,0.07301,40289008.1
74,1648789200000.0,0.07301,0.07318,0.07206,0.07211,65655139.3
75,1648792800000.0,0.07211,0.0726,0.07197,0.07239,81905272.4
76,1648796400000.0,0.0724,0.07335,0.07239,0.07291,104675562.5
77,1648800000000.0,0.07291,0.07333,0.07277,0.07294,60341004.2
78,1648803600000.0,0.07294,0.07295,0.072,0.07217,70981587.2
79,1648807200000.0,0.07216,0.07259,0.072,0.07258,54182135.1
80,1648810800000.0,0.07257,0.07284,0.07231,0.07246,46671031.5
81,1648814400000.0,0.07245,0.07249,0.07134,0.07238,135942433.1
82,1648818000000.0,0.07237,0.07319,0.07236,0.07297,60498013.2
83,1648821600000.0,0.07298,0.074,0.07292,0.07398,73086254.9
84,1648825200000.0,0.07398,0.07428,0.07359,0.07364,64707307.9
85,1648828800000.0,0.07363,0.07383,0.07326,0.07329,45226955.6
86,1648832400000.0,0.07329,0.07411,0.07318,0.07401,41274109.8
87,1648836000000.0,0.07402,0.07432,0.07397,0.0743,40582473.8
88,1648839600000.0,0.07429,0.07438,0.0741,0.0743,29046499.6
89,1648843200000.0,0.07431,0.07463,0.07414,0.07429,38161375.1
90,1648846800000.0,0.07428,0.07481,0.07427,0.07468,22796204.1
91,1648850400000.0,0.07467,0.07478,0.07401,0.07466,44248966.5
92,1648854000000.0,0.07465,0.07495,0.07445,0.07494,51241038.5
93,1648857600000.0,0.07495,0.07495,0.07388,0.0748,102767697.1
94,1648861200000.0,0.07481,0.0759,0.07473,0.07588,125825303.0
95,1648864800000.0,0.07588,0.07601,0.07527,0.07545,67749963.1
96,1648868400000.0,0.07543,0.07627,0.07531,0.07616,62469666.5
97,1648872000000.0,0.07618,0.07632,0.0759,0.07604,38690875.6
98,1648875600000.0,0.07604,0.07605,0.0757,0.07592,35374084.9
99,1648879200000.0,0.07592,0.07613,0.07568,0.07602,40579038.9
100,1648882800000.0,0.07603,0.07636,0.07585,0.07631,57509602.1
101,1648886400000.0,0.07631,0.07644,0.07588,0.07597,50311418.3
102,1648890000000.0,0.07596,0.07609,0.0757,0.07577,34691932.2
103,1648893600000.0,0.07577,0.07582,0.07526,0.07574,64181087.2
104,1648897200000.0,0.07574,0.07575,0.07486,0.0749,48737964.6
105,1648900800000.0,0.07491,0.07534,0.07426,0.07534,92441740.5
106,1648904400000.0,0.07533,0.07553,0.07495,0.07521,43143014.3
107,1648908000000.0,0.07521,0.07533,0.07451,0.07462,38219522.4
108,1648911600000.0,0.07461,0.07462,0.07336,0.07378,84944056.9
109,1648915200000.0,0.07378,0.07424,0.07361,0.07406,52258487.9
110,1648918800000.0,0.07405,0.07433,0.07381,0.07424,35227036.0
111,1648922400000.0,0.07424,0.07428,0.07279,0.07328,77206492.4
112,1648926000000.0,0.07328,0.07382,0.07321,0.07364,25605637.7
113,1648929600000.0,0.07364,0.0738,0.07333,0.07367,30233049.8
114,1648933200000.0,0.07366,0.07378,0.07328,0.07373,16327900.3
115,1648936800000.0,0.07373,0.07397,0.07355,0.07383,26192944.4
116,1648940400000.0,0.07384,0.07398,0.07305,0.07322,36846002.4
117,1648944000000.0,0.07323,0.07347,0.07283,0.07325,51201395.7
118,1648947600000.0,0.07325,0.07329,0.07208,0.07252,63513698.1
119,1648951200000.0,0.07251,0.07274,0.07219,0.07226,30850318.4
120,1648954800000.0,0.07226,0.07274,0.0722,0.07271,29416438.6
121,1648958400000.0,0.0727,0.07308,0.0727,0.07307,28855609.7
